time,open,high,low,close,tick_volume
1709908200,25.00000,30.00000,23.80000,23.80000,9700
1710163800,23.05000,23.05000,4.20000,5.32000,17200
1710250200,5.00000,6.80000,3.65000,4.00000,26000
1710336600,3.98300,5.75000,3.93000,5.70000,5700
1710423000,5.65000,8.30000,5.06000,7.25000,102600
1710509400,7.50000,7.50000,5.20000,5.51000,19400
1710768600,6.00000,6.20000,5.20000,5.60000,50800
1710855000,5.75000,6.00000,3.10300,5.00000,26800
1710941400,4.83000,7.40000,4.10000,4.66000,37000
1711027800,5.24000,5.75000,4.80000,5.00000,24700
1711114200,5.00000,5.00000,4.75000,4.82000,7100
1711373400,5.02000,5.05000,4.00000,4.37000,17700
1711459800,4.50000,4.55000,4.25000,4.50000,48900
1711546200,4.36000,4.45500,4.36000,4.45500,1000
1711632600,4.54000,5.15000,4.54000,5.15000,1000
1711978200,5.50000,5.77000,4.90000,4.90000,3500
1712064600,5.00000,5.41000,4.60000,4.85000,10900
1712151000,5.50000,5.50000,4.50000,5.15000,3000
1712237400,5.01000,5.07000,4.27000,4.50000,4400
1712323800,4.50000,4.50000,4.50000,4.50000,0
1712583000,4.85000,5.25000,4.54000,5.10000,10300
1712669400,5.00000,5.00000,4.50000,4.80000,7300
1712755800,4.97000,4.99000,4.40000,4.60000,8100
1712842200,4.50000,4.65000,4.44000,4.44000,2800
1712928600,4.95000,4.95000,4.36000,4.41000,7700
1713187800,4.44600,4.95000,4.42000,4.43000,17400
1713274200,4.45000,5.45000,4.45000,5.24000,77400
1713360600,5.38000,5.60000,4.78000,5.30000,32500
1713447000,4.75000,4.96000,2.75000,3.11000,3748300
1713533400,2.95000,3.24000,2.33000,3.14000,1487400
1713792600,3.17000,3.88000,3.00000,3.15000,1258200
1713879000,3.15000,3.42000,3.10000,3.17000,266500
1713965400,3.17000,3.28000,2.75000,2.82000,472300
1714051800,2.90000,3.04000,2.78200,3.04000,274500
1714138200,3.01000,3.15000,2.81000,2.99000,198900
1714397400,3.07000,3.07000,2.66000,2.66000,182700
1714483800,2.79000,2.84300,2.61000,2.66000,142700
1714570200,2.65000,2.82000,2.60000,2.71000,170400
1714656600,2.76000,2.76000,2.33000,2.38000,304500
1714743000,2.44000,2.64000,2.40000,2.44000,159200
1715002200,2.59000,2.71000,2.54000,2.67000,202400
1715088600,2.75000,2.79000,2.62000,2.66000,181200
1715175000,2.64000,2.72000,2.52000,2.72000,128600
1715261400,2.72000,3.22000,2.65000,2.88000,705700
1715347800,3.10000,3.23000,2.85100,3.03000,491300
1715607000,3.21000,3.38000,3.10000,3.34000,429600
1715693400,3.39000,3.95000,3.00000,3.85000,840900
1715779800,4.10000,4.10000,3.35000,3.48000,735200
1715866200,3.27000,3.35000,2.98000,3.16000,750500
1715952600,3.29000,3.39000,3.03000,3.24000,249000
1716211800,3.30000,3.42000,3.13600,3.20000,313700
1716298200,3.30000,3.30000,3.01000,3.10000,188900
1716384600,3.09000,3.11000,2.78000,2.92000,399600
1716471000,2.95000,2.97000,1.77000,2.37000,1255300
1716557400,2.37000,2.67500,2.20000,2.53000,321700
1716903000,2.77000,2.77000,2.53100,2.60000,146900
1716989400,2.72000,3.50000,2.60000,2.77000,2111000
1717075800,3.02000,3.96000,2.87000,3.04000,3646900
1717162200,3.25000,3.27000,2.75000,2.88000,1273000
