time,open,high,low,close,tick_volume
1472477400,4.15200,4.18100,4.10700,4.13900,3897000
1472563800,4.14200,4.15500,4.08800,4.12900,3927000
1472650200,4.11400,4.14100,4.08000,4.13600,6719000
1472736600,4.12000,4.14000,3.99100,4.06700,9715000
1472823000,4.09500,4.37800,4.09500,4.24200,14498000
1473168600,4.28200,4.35700,4.25000,4.31900,8102000
1473255000,4.34500,4.36800,4.23200,4.27800,5234000
1473341400,4.27000,4.34800,4.23900,4.32100,6511000
1473427800,4.26500,4.28250,4.07400,4.10400,9506000
1473687000,4.00800,4.23300,3.97800,4.16300,10295000
1473773400,4.11800,4.15400,3.99500,4.05700,5907000
1473859800,4.07400,4.17440,4.05600,4.09000,5796000
1473946200,4.12100,4.21000,4.07700,4.17700,5237000
1474032600,4.18600,4.18600,4.08100,4.14900,6893000
1474291800,4.19800,4.48700,4.17900,4.29500,16824000
1474378200,4.31300,4.33200,4.15200,4.24600,9732000
1474464600,4.29300,4.46500,4.27500,4.45000,10570000
1474551000,4.49900,4.52000,4.36000,4.38600,10216000
1474637400,4.38600,4.39700,4.28600,4.33500,6278000
1474896600,4.31200,4.34700,4.29000,4.32000,4230000
1474983000,4.31700,4.40000,4.30200,4.38700,4647000
1475069400,4.27000,4.31600,4.07400,4.27500,14682000
1475155800,4.30100,4.41200,4.26300,4.29600,6659000
1475242200,4.30300,4.33900,4.27700,4.29200,3848000
1475501400,4.32400,4.37600,4.22770,4.30300,5830000
1475587800,4.36700,4.40900,4.31400,4.34100,5605000
1475674200,4.38200,4.43000,4.32600,4.37700,4930000
1475760600,4.39400,4.39400,4.32100,4.36800,3130000
1475847000,4.40700,4.45400,4.35100,4.43600,7354000
1476106200,4.48700,4.50000,4.35300,4.37300,4308000
1476192600,4.43700,4.43700,4.19100,4.23000,5561000
1476279000,4.21200,4.27300,4.16700,4.23900,3380000
1476365400,4.20000,4.23300,4.01500,4.20900,9196000
1476451800,4.24700,4.36300,4.21500,4.28200,5013000
1476711000,4.22100,4.27500,4.16900,4.20200,4450000
