time,open,high,low,close,tick_volume
1472477400,80.61000,81.50000,80.61000,81.14000,3359000
1472563800,81.67000,81.90000,80.49000,80.64000,7873600
1472650200,80.15000,80.34000,78.63000,79.00000,8306100
1472736600,78.44000,79.13000,78.24000,78.96000,6705200
1472823000,79.25000,79.70000,78.51000,78.55000,4912100
1473168600,78.66000,78.95000,78.25000,78.78000,5560900
1473255000,78.83000,79.05000,78.48000,78.61000,3970700
1473341400,78.99000,79.76000,78.23000,79.38000,4845300
1473427800,78.76000,79.22000,77.56000,77.56000,7626600
1473687000,77.81000,79.27000,77.10000,78.80000,6343100
1473773400,77.98000,78.10000,76.88000,77.08000,7482000
1473859800,76.90000,77.90000,76.17000,76.37000,5190400
1473946200,76.16000,77.15000,76.09000,76.80000,5177400
1474032600,76.10000,77.10000,75.93000,76.33000,7243200
1474291800,76.84000,77.40000,75.93000,75.96000,5925000
1474378200,76.08000,76.20000,75.37000,75.37000,6821800
1474464600,76.00000,76.71000,75.86000,76.56000,7152500
1474551000,77.20000,77.64000,76.91000,77.01000,5639400
1474637400,76.69000,77.06000,75.57000,75.92000,6847400
1474896600,76.13000,76.61000,75.48000,75.58000,5499300
1474983000,75.13000,75.46000,74.33000,75.33000,6457200
1475069400,75.59000,78.10000,75.07000,78.01000,9420800
1475155800,78.11000,78.97000,77.37000,77.37000,9859500
1475242200,77.84000,78.99000,77.61000,78.64000,6485700
1475501400,78.82000,79.06000,78.35000,78.90000,4854700
1475587800,78.98000,79.10000,78.34000,78.54000,5211100
1475674200,79.41000,80.95000,79.06000,80.15000,7249400
1475760600,80.43000,81.59000,80.27000,81.42000,6469500
1475847000,81.79000,82.10000,80.98000,81.31000,5305300
1476106200,81.73000,82.44000,81.73000,82.33000,4565100
1476192600,82.08000,82.23000,81.16000,81.69000,5063000
1476279000,81.76000,81.79000,81.03000,81.44000,4059400
1476365400,81.02000,81.92000,80.62000,81.53000,4656600
1476451800,81.97000,82.36000,81.31000,81.32000,4681500
1476711000,81.32000,81.76000,80.69000,80.98000,3710900
1476797400,81.58000,81.80000,80.67000,81.39000,3956800
1476883800,82.00000,84.30000,82.00000,83.44000,9926100
1476970200,82.75000,83.36000,81.88000,82.99000,7773200
1477056600,81.85000,82.42000,79.68000,80.47000,10221800
1477315800,80.56000,80.74000,79.51000,80.31000,5617400
1477402200,80.35000,81.50000,79.92000,80.22000,5436600
1477488600,79.49000,80.65000,79.32000,80.02000,4238200
1477575000,80.40000,80.58000,79.53000,79.60000,3919600
1477661400,79.76000,80.19000,78.63000,79.20000,5001000
1477920600,78.88000,79.10000,78.03000,78.23000,6225100
1478007000,78.66000,78.81000,77.71000,78.70000,6825500
1478093400,78.08000,78.22000,76.92000,77.76000,6395900
1478179800,77.93000,78.66000,77.80000,78.46000,4935800
1478266200,78.52000,78.93000,77.66000,77.84000,5178300
1478529000,78.90000,79.80000,78.71000,79.75000,4756400
1478615400,79.33000,80.49000,79.13000,79.84000,4012600
1478701800,79.26000,80.43000,78.85000,79.94000,6737600
1478788200,79.48000,80.71000,79.48000,79.88000,6798600
1478874600,79.20000,79.43000,78.07000,78.66000,4955700
1479133800,78.40000,78.92000,77.48000,78.71000,6060900
1479220200,79.44000,81.56000,79.40000,81.16000,5833900
1479306600,81.02000,81.90000,80.77000,81.04000,4501300
1479393000,81.51000,81.87000,79.87000,80.10000,4733600
1479479400,80.10000,80.52000,79.72000,80.00000,3951100
1479738600,81.11000,81.91000,81.03000,81.71000,5202100
1479825000,81.98000,82.00000,80.28000,81.50000,4646400
1479911400,81.07000,81.92000,81.01000,81.40000,3122000
1480084200,81.03000,81.39000,80.75000,81.29000,1819700
1480343400,81.41000,82.03000,80.83000,81.06000,5909400
