time,open,high,low,close,tick_volume
1472477400,81.53000,82.23000,81.53000,81.70000,199700
1472563800,81.72000,82.65000,81.71000,82.58000,351800
1472650200,82.67000,82.92000,81.84000,82.80000,321900
1472736600,82.50000,82.92000,82.37000,82.58000,286900
1472823000,83.02000,83.11000,82.18000,83.07000,268900
1473168600,83.48000,83.59000,82.59000,82.86000,340200
1473255000,82.84000,82.84000,81.88000,82.47000,332900
1473341400,82.10000,82.52000,81.66000,81.68000,281200
1473427800,81.07000,81.07000,79.32000,79.32000,388000
1473687000,79.11000,80.67000,78.73000,80.55000,670200
1473773400,80.05000,80.36000,79.35000,79.64000,248000
1473859800,79.79000,79.98000,79.33000,79.74000,299900
1473946200,80.02000,80.57000,79.61000,80.22000,170800
1474032600,79.61000,80.36000,79.51000,79.81000,350400
1474291800,80.03000,80.58000,79.65000,80.35000,240500
1474378200,80.69000,81.11000,80.54000,80.66000,240000
1474464600,80.97000,81.43000,80.68000,81.27000,242000
1474551000,81.85000,82.54000,81.74000,82.26000,256400
1474637400,82.18000,82.48000,81.58000,81.60000,189700
1474896600,81.50000,82.14000,81.50000,81.76000,206900
1474983000,81.86000,83.05000,81.50000,83.02000,249300
1475069400,83.35000,83.67000,82.88000,83.62000,232300
1475155800,83.55000,83.73000,82.13000,82.38000,205800
1475242200,82.71000,83.47000,82.31000,83.27000,346700
1475501400,83.12000,83.19000,82.51000,83.08000,389400
1475587800,83.06000,83.57000,82.82000,83.03000,351400
1475674200,83.13000,83.46000,82.82000,82.95000,357100
1475760600,82.65000,84.16000,82.49000,84.06000,446300
1475847000,84.05000,84.14000,83.08000,83.48000,270700
1476106200,84.00000,84.45000,84.00000,84.19000,338100
1476192600,84.04000,84.04000,83.07000,83.55000,323400
1476279000,83.55000,86.08000,83.43000,85.37000,824700
1476365400,85.08000,86.27000,84.65000,85.59000,782100
1476451800,87.00000,87.00000,85.77000,85.80000,449900
1476711000,86.48000,86.75000,85.90000,86.04000,349100
1476797400,86.60000,86.86000,86.34000,86.64000,413300
1476883800,86.80000,87.01000,86.51000,87.01000,274900
1476970200,87.40000,88.86000,87.08000,88.54000,654700
1477056600,88.33000,88.71000,88.08000,88.63000,347600
1477315800,89.43000,89.43000,88.48000,88.66000,255800
1477402200,88.51000,88.55000,87.76000,88.08000,275100
1477488600,88.28000,88.94000,87.88000,88.62000,490400
1477575000,89.00000,89.10000,87.65000,88.00000,609400
1477661400,87.95000,88.90000,87.79000,88.27000,574600
1477920600,88.52000,88.76000,87.98000,88.09000,384600
1478007000,88.25000,88.38000,86.56000,87.44000,600700
1478093400,87.44000,87.99000,86.51000,86.90000,962000
1478179800,89.53000,89.98000,88.50000,88.67000,1302000
1478266200,88.69000,89.20000,86.94000,87.36000,715000
1478529000,88.66000,88.74000,87.58000,88.65000,512400
1478615400,88.69000,89.94000,88.53000,89.15000,1680300
1478701800,90.39000,91.66000,89.63000,90.45000,1544400
1478788200,91.18000,91.25000,83.97000,84.25000,1766500
1478874600,84.35000,85.09000,83.51000,84.95000,871000
1479133800,86.29000,86.95000,85.42000,86.94000,764700
1479220200,87.07000,87.65000,86.34000,86.89000,571300
1479306600,86.79000,87.76000,86.79000,87.66000,311300
1479393000,88.00000,88.39000,87.42000,88.16000,344800
1479479400,88.21000,88.34000,87.53000,88.14000,279700
1479738600,88.50000,89.29000,88.17000,88.39000,419300
1479825000,88.54000,90.25000,88.40000,90.16000,431000
1479911400,89.88000,90.49000,89.63000,90.21000,305100
1480084200,90.33000,91.04000,90.26000,90.45000,147300
1480343400,90.43000,90.63000,89.82000,90.17000,246100
1480429800,90.03000,91.96000,90.01000,91.61000,578300
1480516200,92.11000,93.00000,91.20000,91.27000,610500
1480602600,91.33000,91.58000,89.71000,90.34000,425000
1480689000,90.51000,91.15000,90.01000,91.11000,414400
1480948200,91.74000,91.93000,90.42000,91.08000,313800
1481034600,91.35000,91.35000,90.10000,90.83000,318300
1481121000,91.00000,93.00000,91.00000,92.84000,447200
1481207400,95.26000,98.60000,94.96000,96.86000,3138000
1481293800,97.15000,97.50000,95.42000,96.00000,817800
1481553000,96.10000,98.82000,95.26000,96.00000,480800
1481639400,95.90000,96.25000,94.76000,95.40000,660200
1481725800,95.49000,95.78000,94.27000,94.74000,616100
1481812200,94.65000,95.98000,94.12000,95.41000,389500
1481898600,95.40000,95.55000,94.80000,94.99000,681600
1482157800,95.30000,95.92000,94.26000,95.36000,328800
1482244200,95.01000,95.56000,94.26000,95.15000,571000
1482330600,95.32000,96.30000,95.26000,95.98000,441900
1482417000,96.00000,96.15000,95.01000,95.83000,289600
1482503400,95.64000,96.12000,95.12000,95.99000,200300
1482849000,96.02000,96.30000,95.29000,95.71000,242400
1482935400,95.71000,95.85000,94.35000,94.86000,334900
1483021800,95.00000,95.31000,94.39000,94.75000,288000
1483108200,94.64000,95.67000,94.43000,95.55000,379100
1483453800,96.29000,96.38000,94.43000,94.80000,355100
1483540200,95.18000,96.28000,94.84000,96.08000,369000
1483626600,96.02000,96.30000,95.30000,95.93000,280100
1483713000,96.23000,96.35000,95.37000,96.02000,344800
1483972200,95.90000,96.20000,94.56000,94.70000,407100
1484058600,94.63000,95.24000,93.80000,94.82000,392500
1484145000,93.74000,93.95000,92.49000,93.30000,675000
1484231400,92.91000,93.28000,92.45000,92.94000,326100
1484317800,93.14000,93.51000,92.83000,93.24000,343900
1484663400,93.25000,93.25000,92.38000,93.06000,653200
1484749800,93.59000,94.56000,93.07000,94.52000,432800
1484836200,94.83000,95.31000,93.19000,93.54000,293300
1484922600,93.78000,94.93000,93.78000,94.25000,254800
1485181800,94.48000,95.28000,94.25000,94.78000,402900
1485268200,95.33000,95.59000,94.82000,95.39000,355900
1485354600,95.77000,95.90000,94.94000,95.00000,344700
1485441000,95.30000,95.30000,93.91000,94.10000,446700
1485527400,94.27000,94.46000,93.50000,94.03000,352200
1485786600,94.05000,94.25000,92.74000,92.98000,567800
1485873000,95.00000,95.54000,91.86000,91.97000,1645600
1485959400,92.55000,92.56000,89.81000,90.94000,1091500
1486045800,90.79000,91.21000,88.72000,89.36000,871400
1486132200,89.50000,90.42000,88.61000,90.08000,917200
1486391400,89.66000,90.82000,89.25000,90.29000,611500
1486477800,90.44000,91.12000,90.06000,90.90000,602800
1486564200,90.85000,91.92000,90.65000,91.55000,536900
1486650600,91.55000,91.64000,90.90000,91.32000,607800
1486737000,91.61000,92.66000,91.52000,92.49000,380200
1486996200,92.61000,93.09000,91.69000,91.87000,612000
1487082600,91.96000,93.82000,91.53000,93.45000,534900
1487169000,93.70000,94.98000,93.50000,94.42000,535800
1487255400,94.42000,94.90000,93.73000,93.99000,444600
1487341800,94.05000,94.33000,93.41000,93.91000,416900
1487687400,94.58000,95.07000,94.25000,94.79000,549300
1487773800,94.66000,95.04000,93.54000,93.96000,568300
1487860200,94.45000,94.46000,92.56000,92.59000,492300
1487946600,91.78000,92.36000,90.21000,90.98000,905000
1488205800,90.99000,91.24000,89.93000,90.28000,438800
1488292200,90.29000,90.78000,90.04000,90.63000,614100
1488378600,91.31000,92.67000,91.31000,92.29000,426300
1488465000,92.40000,92.53000,90.69000,91.20000,488000
1488551400,91.06000,91.63000,90.65000,91.43000,328100
1488810600,90.93000,91.41000,90.59000,91.10000,276600
1488897000,91.10000,91.69000,90.79000,91.14000,358800
1488983400,91.19000,91.76000,90.90000,91.08000,279400
1489069800,91.05000,91.47000,90.51000,90.66000,201600
1489156200,91.17000,91.90000,90.98000,91.83000,309700
1489411800,91.83000,92.25000,91.39000,91.56000,228000
1489498200,91.25000,91.65000,90.98000,91.35000,244400
1489584600,91.77000,92.80000,91.50000,92.39000,330600
1489671000,92.77000,92.77000,91.84000,92.03000,184600
1489757400,92.00000,92.34000,91.88000,92.23000,502600
1490016600,92.50000,92.65000,91.76000,92.14000,329800
1490103000,92.27000,92.27000,90.63000,90.92000,334600
1490189400,90.93000,91.96000,90.54000,91.95000,277500
1490275800,91.80000,92.98000,91.69000,92.25000,254800
1490362200,92.66000,93.94000,92.21000,92.65000,463700
1490621400,91.81000,92.39000,90.99000,91.66000,331400
1490707800,91.65000,93.35000,91.41000,93.07000,379700
1490794200,92.85000,93.42000,92.50000,93.36000,264500
1490880600,93.39000,93.74000,93.09000,93.15000,333600
1490967000,92.83000,93.65000,92.83000,93.39000,266500
1491226200,93.54000,93.89000,92.56000,93.25000,475900
1491312600,93.12000,93.36000,92.51000,92.77000,295700
1491399000,92.95000,94.07000,91.83000,92.05000,451700
1491485400,92.51000,94.11000,91.95000,93.72000,301000
1491571800,93.51000,94.36000,93.16000,93.34000,263000
1491831000,93.59000,94.18000,93.40000,93.83000,221800
1491917400,93.66000,94.24000,93.00000,94.11000,315000
1492003800,94.09000,94.43000,93.30000,93.58000,359700
1492090200,93.71000,94.36000,93.23000,93.44000,317200
1492435800,94.16000,94.66000,93.45000,94.61000,220700
1492522200,94.82000,95.39000,94.02000,95.33000,247000
1492608600,95.69000,96.66000,95.60000,96.32000,410600
1492695000,96.68000,97.45000,96.32000,96.89000,522200
1492781400,97.00000,97.07000,95.90000,96.75000,430200
1493040600,97.29000,97.50000,96.57000,96.96000,523400
1493127000,97.32000,97.32000,96.83000,97.12000,435700
1493213400,97.09000,97.24000,96.61000,96.96000,397600
1493299800,97.00000,97.40000,96.75000,97.00000,578900
1493386200,97.18000,97.18000,96.15000,96.60000,269500
1493645400,96.73000,97.33000,95.75000,97.10000,496700
1493731800,93.20000,94.77000,91.15000,91.23000,1424100
1493818200,91.01000,91.26000,87.83000,88.80000,1187200
1493904600,88.81000,90.05000,88.54000,88.92000,581600
1493991000,89.18000,90.80000,89.01000,90.15000,573200
1494250200,90.20000,90.30000,89.28000,89.57000,494900
1494336600,89.55000,89.75000,88.38000,89.12000,496800
1494423000,89.14000,90.03000,88.56000,89.93000,387800
1494509400,89.49000,89.58000,87.03000,87.25000,673400
1494595800,87.25000,87.69000,86.65000,87.21000,576800
1494855000,87.50000,88.77000,87.21000,87.77000,571700
1494941400,87.67000,88.02000,87.22000,87.57000,480200
1495027800,87.57000,87.81000,86.47000,87.44000,440600
1495114200,87.04000,87.80000,86.90000,87.33000,352800
1495200600,87.62000,88.74000,87.29000,88.10000,362000
1495459800,88.81000,88.81000,87.80000,87.91000,331800
1495546200,88.36000,88.93000,87.13000,88.40000,390300
1495632600,87.96000,88.40000,87.02000,87.75000,320300
1495719000,87.96000,89.02000,87.69000,88.83000,392400
1495805400,88.84000,88.84000,87.42000,88.05000,305000
1496151000,88.04000,88.05000,86.38000,86.58000,847500
1496237400,87.13000,87.13000,86.07000,86.61000,422500
1496323800,86.95000,88.01000,86.40000,88.01000,434700
1496410200,88.12000,88.63000,87.58000,87.63000,302300
1496669400,87.64000,87.91000,86.17000,86.33000,475300
1496755800,86.12000,86.33000,83.31000,84.37000,1009100
1496842200,84.53000,85.08000,83.46000,84.88000,857800
1496928600,84.42000,84.49000,82.85000,83.56000,640900
1497015000,83.72000,84.64000,83.23000,83.37000,586100
1497274200,83.37000,84.43000,83.32000,83.86000,422500
1497360600,81.59000,89.86000,81.48000,89.83000,2265800
1497447000,89.19000,89.35000,86.60000,87.77000,755700
1497533400,87.10000,88.61000,86.84000,88.42000,509100
1497619800,88.42000,88.54000,86.75000,87.72000,714800
1497879000,87.78000,89.25000,87.52000,88.94000,470600
1497965400,88.70000,89.13000,88.47000,89.03000,411800
1498051800,89.11000,89.86000,88.14000,88.61000,280800
1498138200,88.62000,89.20000,87.94000,88.33000,265700
1498224600,88.28000,90.86000,88.00000,90.13000,584100
1498483800,90.21000,91.51000,89.25000,90.17000,469500
1498570200,90.22000,90.22000,88.27000,88.35000,329900
1498656600,88.75000,89.00000,87.49000,87.57000,602700
1498743000,87.57000,87.74000,86.50000,87.48000,857900
1498829400,88.00000,89.81000,88.00000,89.46000,635600
1499088600,89.88000,91.40000,89.81000,90.53000,280000
1499261400,90.53000,90.96000,89.97000,90.32000,321000
1499347800,90.01000,90.91000,89.60000,90.35000,412000
1499434200,90.44000,91.87000,90.00000,91.68000,302700
1499693400,91.69000,92.10000,90.96000,91.03000,467100
1499779800,91.02000,92.17000,90.95000,92.07000,390800
1499866200,92.35000,93.73000,92.29000,93.05000,496400
1499952600,93.14000,93.99000,92.36000,93.41000,275100
1500039000,93.40000,93.85000,93.13000,93.29000,286700
1500298200,93.75000,93.76000,92.74000,93.26000,519600
1500384600,93.00000,93.46000,92.53000,93.40000,237900
1500471000,93.48000,93.93000,93.25000,93.83000,371400
1500557400,94.00000,94.16000,92.24000,93.17000,335000
1500643800,93.21000,93.51000,92.91000,93.44000,142700
1500903000,93.48000,95.24000,93.34000,95.13000,436100
1500989400,95.68000,96.66000,95.37000,96.27000,607300
1501075800,96.08000,96.21000,94.40000,94.49000,354200
1501162200,94.73000,95.47000,94.33000,94.84000,428700
1501248600,94.75000,95.70000,94.63000,95.66000,269700
1501507800,95.84000,96.95000,95.32000,95.99000,690900
1501594200,98.57000,99.91000,92.89000,93.75000,1204000
1501680600,94.06000,96.06000,94.00000,95.68000,640100
1501767000,95.71000,96.89000,95.56000,95.68000,458400
1501853400,96.01000,97.10000,95.98000,96.94000,293000
1502112600,97.05000,97.41000,96.40000,97.27000,246500
1502199000,97.26000,97.26000,95.79000,96.18000,371000
1502285400,95.93000,96.39000,95.70000,96.01000,263500
1502371800,95.70000,96.43000,95.34000,95.41000,303300
1502458200,95.02000,96.26000,94.12000,95.38000,348200
1502717400,95.98000,97.33000,95.42000,96.51000,411200
1502803800,96.49000,97.00000,94.80000,96.47000,350900
1502890200,96.74000,97.22000,95.39000,95.95000,371700
1502976600,95.59000,96.14000,94.58000,94.71000,268700
1503063000,94.50000,95.24000,94.10000,94.66000,638400
1503322200,94.56000,95.00000,93.77000,94.74000,237500
1503408600,94.91000,95.58000,94.66000,95.47000,225000
1503495000,94.99000,95.17000,93.94000,93.96000,322500
1503581400,94.25000,94.58000,93.77000,94.26000,190100
1503667800,94.75000,95.07000,94.44000,94.73000,173300
1503927000,94.92000,94.92000,93.35000,94.30000,346600
1504013400,93.70000,94.44000,93.47000,94.18000,192400
1504099800,94.05000,95.07000,93.72000,94.76000,212000
1504186200,95.16000,95.65000,94.69000,95.59000,301000
1504272600,95.34000,95.53000,94.59000,95.07000,270800
1504618200,95.02000,95.43000,93.32000,93.96000,357300
1504704600,93.89000,94.11000,92.72000,93.89000,507500
1504791000,93.93000,94.34000,93.59000,94.03000,257700
1504877400,93.80000,94.62000,93.48000,94.25000,322400
1505136600,94.91000,95.21000,94.08000,94.30000,506500
1505223000,94.52000,95.16000,94.30000,94.84000,393600
1505309400,94.75000,95.04000,93.82000,94.26000,324200
1505395800,94.42000,95.10000,94.12000,95.07000,320400
1505482200,94.67000,95.60000,94.64000,95.37000,917200
1505741400,95.63000,96.31000,95.31000,95.77000,413200
1505827800,95.80000,96.84000,95.64000,96.52000,309800
1505914200,96.85000,97.29000,96.46000,96.92000,284800
1506000600,96.88000,97.72000,96.78000,96.82000,250400
1506087000,96.90000,97.15000,96.52000,96.63000,135900
1506346200,96.67000,97.37000,96.58000,97.11000,214300
1506432600,97.11000,97.35000,96.61000,96.91000,194200
1506519000,97.15000,97.39000,96.41000,96.99000,234200
1506605400,97.21000,97.80000,96.76000,97.37000,158600
1506691800,97.40000,97.81000,97.12000,97.34000,237300
1506951000,97.30000,98.40000,97.30000,98.34000,204300
1507037400,98.40000,99.48000,98.17000,99.41000,254100
1507123800,99.24000,99.99000,99.11000,99.54000,330300
1507210200,99.67000,99.90000,99.09000,99.33000,192200
1507296600,98.96000,99.15000,97.35000,97.68000,424200
1507555800,97.77000,97.94000,96.75000,96.85000,274700
1507642200,97.08000,97.41000,96.42000,97.03000,294800
1507728600,97.08000,98.40000,97.08000,98.28000,195100
1507815000,98.14000,99.42000,98.14000,98.95000,190400
1507901400,99.21000,100.23000,99.10000,99.59000,220800
1508160600,99.78000,100.02000,99.14000,99.75000,333200
1508247000,100.00000,100.02000,98.97000,99.15000,233600
1508333400,99.47000,101.00000,96.80000,99.62000,686400
1508419800,99.06000,99.30000,97.96000,98.33000,232200
1508506200,98.51000,99.03000,98.36000,98.70000,225900
1508765400,98.76000,99.42000,98.42000,98.57000,182800
1508851800,98.72000,99.76000,98.72000,99.38000,250000
1508938200,99.38000,99.97000,98.51000,99.49000,293900
1509024600,99.72000,100.20000,99.24000,99.42000,190200
1509111000,99.45000,99.45000,98.10000,98.78000,200800
1509370200,98.61000,98.88000,98.25000,98.81000,256800
1509456600,99.29000,100.07000,99.14000,99.62000,271400
