time,open,high,low,close,tick_volume
1472540400,1345.00000,1358.00000,1341.00000,1346.00000,1402910
1472626800,1344.00000,1352.00000,1340.73206,1341.00000,1584544
1472713200,1344.00000,1355.00000,1338.00000,1345.00000,2054247
1472799600,1350.00000,1376.00000,1343.00000,1372.00000,1593570
1473058800,1379.00000,1387.00000,1367.00000,1371.00000,685785
1473145200,1370.00000,1390.00000,1370.00000,1372.00000,1232608
1473231600,1375.00000,1392.00000,1373.00000,1382.00000,1384026
1473318000,1380.00000,1388.00000,1373.00000,1378.00000,881210
1473404400,1371.00000,1377.00000,1354.00000,1359.00000,814725
1473663600,1341.00000,1346.00000,1333.00000,1339.00000,1186027
1473750000,1345.00000,1355.00000,1338.12500,1339.00000,1244358
1473836400,1344.00000,1352.00000,1338.56201,1346.00000,1519145
1473922800,1342.00000,1358.00000,1341.00000,1354.00000,1356813
1474009200,1355.00000,1355.00000,1338.00000,1345.00000,1734834
1474268400,1359.00000,1368.00000,1344.72998,1367.00000,1039077
1474354800,1368.00000,1384.00000,1367.88000,1368.00000,764685
1474441200,1375.00000,1392.00000,1375.00000,1390.00000,2039161
1474527600,1402.00000,1421.32104,1396.00000,1415.00000,1005046
1474614000,1416.00000,1423.00000,1414.00000,1420.00000,1171604
1474873200,1417.00000,1418.00000,1398.00000,1403.00000,1293507
1474959600,1413.00000,1415.00000,1372.00000,1387.00000,1520970
1475046000,1426.00000,1447.00000,1396.00000,1443.00000,3933528
1475132400,1459.00000,1480.00000,1449.00000,1460.00000,2308278
1475218800,1447.00000,1464.43896,1438.00000,1464.00000,2605896
1475478000,1480.00000,1504.00000,1456.00000,1496.00000,2301815
1475564400,1502.00000,1519.00000,1496.00000,1510.00000,2427552
1475650800,1512.00000,1517.00000,1499.00000,1517.00000,1490061
1475737200,1521.00000,1543.00000,1512.00000,1512.00000,2960027
1475823600,1521.00000,1527.00000,1510.32605,1525.00000,1887492
1476082800,1533.00000,1536.00000,1523.00000,1528.00000,1152570
1476169200,1525.00000,1530.00000,1505.00000,1510.00000,1183243
1476255600,1511.00000,1511.00000,1478.00000,1485.00000,1875769
1476342000,1481.00000,1483.00000,1464.00000,1474.00000,1724457
1476428400,1476.00000,1484.00000,1472.00000,1480.00000,1600903
1476687600,1479.00000,1489.00000,1472.00000,1474.00000,1386086
1476774000,1483.00000,1489.00000,1477.74902,1484.00000,1941602
1476860400,1487.00000,1488.00000,1477.00000,1480.00000,1473391
1476946800,1453.00000,1468.75000,1428.28503,1436.00000,1715423
1477033200,1433.00000,1444.00000,1429.00000,1436.00000,1737874
1477292400,1446.00000,1457.00000,1439.00000,1444.00000,1287776
1477378800,1453.00000,1456.14600,1443.00000,1447.00000,1051068
1477465200,1442.00000,1446.00000,1422.00000,1433.00000,1285534
1477551600,1426.00000,1442.00000,1413.00000,1420.00000,1408538
1477638000,1425.00000,1429.00000,1393.00000,1427.00000,1584677
1477900800,1428.00000,1434.00000,1415.00000,1418.00000,1933618
1477987200,1428.00000,1428.00000,1397.00000,1401.00000,1623357
1478073600,1417.00000,1418.00000,1401.00000,1416.00000,1670653
1478160000,1416.00000,1417.00000,1398.25806,1400.00000,1532843
1478246400,1402.00000,1402.00000,1366.50000,1372.00000,1403050
1478505600,1394.00000,1404.00000,1385.00000,1395.00000,1561236
1478592000,1394.00000,1404.00000,1394.00000,1404.00000,929993
1478678400,1360.00000,1453.00000,1358.00000,1453.00000,2362332
1478764800,1464.00000,1489.00000,1440.00000,1446.00000,2718501
1478851200,1453.00000,1455.00000,1368.00000,1374.00000,1913184
1479110400,1390.00000,1405.00000,1377.00000,1384.00000,1500284
1479196800,1394.00000,1425.01001,1388.00000,1410.00000,1515477
1479283200,1420.00000,1420.00000,1383.00000,1389.00000,1630718
1479369600,1392.00000,1397.00000,1383.00000,1385.00000,974817
1479456000,1392.00000,1392.00000,1369.00000,1370.00000,1943235
1479715200,1376.00000,1385.00000,1363.00000,1370.00000,990760
1479801600,1385.00000,1387.00000,1373.00000,1380.00000,1057384
1479888000,1386.00000,1409.00000,1385.00000,1403.00000,1788700
1479974400,1405.00000,1418.45496,1393.00000,1403.00000,784996
1480060800,1400.00000,1407.00000,1393.00000,1401.00000,716040
