time,open,high,low,close,tick_volume
1472540400,1231.00000,1240.00000,1224.00000,1237.00000,3258246
1472626800,1232.00000,1235.00000,1225.00000,1229.00000,2922272
1472713200,1235.00000,1237.00000,1204.00000,1211.00000,2631425
1472799600,1218.00000,1243.00000,1214.00000,1241.00000,3898571
1473058800,1243.00000,1249.00000,1229.00000,1238.00000,1250071
1473145200,1245.00000,1245.00000,1231.00000,1236.00000,2180683
1473231600,1237.00000,1237.00000,1223.00000,1230.00000,2869998
1473318000,1227.00000,1234.00000,1218.00000,1225.00000,3022487
1473404400,1224.00000,1227.00000,1214.00000,1217.00000,2035660
1473663600,1205.00000,1220.76599,1196.00000,1214.00000,5303850
1473750000,1220.00000,1226.00000,1213.63599,1217.00000,4538988
1473836400,1218.00000,1227.00000,1218.00000,1224.00000,1664647
1473922800,1221.00000,1234.00000,1219.00000,1232.00000,2803295
1474009200,1232.00000,1241.00000,1227.00000,1230.00000,6185534
1474268400,1239.00000,1249.00000,1237.00000,1241.00000,3737686
1474354800,1242.00000,1255.00000,1239.00000,1248.00000,3148354
1474441200,1252.00000,1254.00000,1234.00000,1235.00000,2067428
1474527600,1245.00000,1264.17505,1241.00000,1263.00000,2777018
1474614000,1262.00000,1269.00000,1257.00000,1267.00000,1770764
1474873200,1265.00000,1265.00000,1238.00000,1238.00000,2188250
1474959600,1241.00000,1244.00000,1230.00000,1240.00000,1988434
1475046000,1241.00000,1256.00000,1241.00000,1252.00000,1561673
1475132400,1253.00000,1258.00000,1233.00000,1238.00000,2232882
1475218800,1230.00000,1244.00000,1223.00000,1244.00000,3282883
1475478000,1241.00000,1269.25403,1241.00000,1269.00000,5642735
1475564400,1270.00000,1291.36401,1267.23096,1281.00000,4338226
1475650800,1278.00000,1282.00000,1263.00000,1265.00000,2094993
1475737200,1248.00000,1251.00000,1213.00000,1222.00000,5766751
1475823600,1224.00000,1243.00000,1214.47400,1241.00000,5504142
1476082800,1245.00000,1249.00000,1233.00000,1249.00000,2604509
1476169200,1248.00000,1259.36401,1242.17896,1244.00000,2304319
1476255600,1242.00000,1242.09900,1213.00000,1217.00000,2416178
