time,open,high,low,close,tick_volume
1609770600,12.59000,12.59000,11.80000,12.20000,1371400
1609857000,12.15000,12.28000,12.09000,12.15000,1304000
1609943400,12.15000,12.20000,11.89000,12.12000,1105700
1610029800,12.20000,22.00000,12.05000,19.14000,64877000
1610116200,21.46000,22.00000,17.89000,18.74000,35657000
1610375400,19.37000,19.75000,18.65000,18.99000,11702200
1610461800,18.98000,19.19000,18.25000,18.45000,7138600
1610548200,18.90000,19.59000,18.53000,19.11000,8226400
1610634600,19.40000,19.45000,18.92000,19.16000,7705100
1610721000,19.32000,21.05000,19.11000,20.16000,13024900
1611066600,21.90000,24.22000,21.06000,22.59000,22266200
1611153000,23.86000,24.62000,22.11000,22.37000,10236100
1611239400,23.00000,23.05000,21.50000,22.39000,6971500
1611325800,22.09000,22.99000,21.19000,21.65000,6727300
1611585000,22.16000,22.85000,20.00000,20.48000,9701800
1611671400,20.40000,21.32000,19.50000,19.57000,9172400
1611757800,19.00000,19.25000,17.90000,18.18000,16297600
1611844200,20.42000,20.92000,19.10000,20.28000,12032100
1611930600,23.19000,26.97000,21.80000,25.14000,36434600
1612189800,25.85000,28.26000,25.14000,25.78000,18319100
1612276200,26.01000,26.18000,23.85000,24.33000,8973900
1612362600,24.80000,25.75000,24.51000,24.95000,4251500
1612449000,24.07000,25.12000,23.42000,25.06000,8449800
1612535400,24.29000,24.52000,22.90000,23.10000,12226800
1612794600,23.40000,24.39000,22.80000,23.00000,7344500
1612881000,22.93000,24.00000,22.75000,23.12000,6375300
1612967400,23.70000,23.79000,22.25000,22.99000,6308100
1613053800,23.00000,23.95000,22.32000,23.07000,8551100
1613140200,22.84000,24.48000,22.81000,23.90000,5847400
1613485800,24.45000,24.70000,23.56000,24.30000,6134900
1613572200,24.27000,24.30000,23.00000,23.88000,4731300
1613658600,22.60000,23.32000,22.26000,23.23000,5747000
1613745000,23.50000,23.60000,22.60000,22.69000,5138800
1614004200,22.50000,22.83700,21.02000,21.29000,6530300
1614090600,19.99000,20.60000,16.84000,20.12000,12561900
1614177000,20.00000,20.30000,19.00000,19.41000,7947300
1614263400,20.43000,21.00000,18.52500,18.72000,7962300
1614349800,18.85000,19.22000,17.76700,18.43000,9106700
1614609000,19.74000,19.85000,19.05000,19.34000,4422200
1614695400,19.40000,19.61000,18.62000,18.77000,3809000
1614781800,18.78000,19.00000,17.10000,17.22000,7175500
1614868200,17.30000,17.58000,14.75000,16.06000,15322900
1614954600,16.41000,17.88000,13.14000,17.72000,18226600
1615213800,16.84000,17.70000,15.76000,16.11000,7871800
1615300200,17.25000,18.39000,16.55000,17.48000,8573200
1615386600,18.28000,19.48000,17.80000,19.06000,7508200
1615473000,19.50000,19.82000,18.70000,19.36000,4959600
1615559400,18.38000,19.29000,18.14000,19.02000,2859100
1615815000,19.02000,19.58000,18.47000,19.48000,3515900
1615901400,19.27000,19.48000,18.01000,18.45000,3023700
1615987800,17.61000,19.35500,17.50000,19.15000,3651400
1616074200,18.50000,19.10000,18.05000,18.14000,2999200
1616160600,17.77000,18.43000,17.06000,18.25000,3667400
1616419800,18.28000,18.49000,17.82000,18.27000,2317000
1616506200,17.96000,18.18000,17.27000,17.90000,2939000
1616592600,17.56000,17.81900,16.25000,16.48000,4642100
1616679000,15.70000,16.79000,15.11000,16.63000,5364400
1616765400,17.14000,17.72000,16.52000,17.10000,4598700
1617024600,16.98000,17.09000,16.22000,16.44000,2827900
1617111000,16.27000,17.22000,15.90000,16.50000,2634400
1617197400,16.97000,17.36000,16.68000,17.15000,2665300
1617283800,17.51000,17.64000,16.91000,17.27000,2322600
1617629400,17.74000,17.84000,16.66000,16.72000,2506600
1617715800,16.51000,17.30300,16.50000,17.26000,1849500
1617802200,17.25000,17.37000,16.90000,17.20000,1988100
1617888600,17.03000,18.64000,17.02000,18.14000,2527700
1617975000,17.96000,18.26000,17.60000,17.77000,1655000
1618234200,17.87000,17.96000,16.85000,17.00000,2309300
1618320600,16.66000,17.05000,16.51000,16.83000,2235000
1618407000,16.94000,17.24000,16.46000,16.68000,2418200
1618493400,16.75000,16.87000,16.23000,16.28000,2088900
1618579800,16.14000,16.44000,15.93000,16.32000,2167000
1618839000,16.04000,16.12000,15.16000,15.39000,3816600
1618925400,15.50000,15.84000,14.74000,14.87000,3430900
1619011800,14.85000,15.78000,14.70000,15.21000,3494000
1619098200,15.94000,16.47000,15.40000,15.84000,3141200
1619184600,16.39000,16.63000,15.62000,16.17000,3029400
1619443800,16.48000,16.87000,16.02000,16.68000,1964800
1619530200,17.15000,17.55000,16.75000,17.40000,2583000
1619616600,17.25000,17.70000,17.06000,17.55000,1771200
1619703000,17.87000,17.87000,16.81500,17.43000,2095200
1619789400,17.00000,17.37000,16.94000,17.00000,1385100
1620048600,17.00000,17.15000,16.18000,16.37000,1636500
1620135000,16.19000,16.40000,15.71000,16.17000,1985800
1620221400,16.24000,16.30000,15.48000,15.54000,290200
1620307800,15.50000,15.55900,14.90000,15.00000,2630300
1620394200,15.20000,16.98800,14.87000,16.51000,5987800
1620653400,17.40000,17.55400,16.27000,16.37000,4997000
1620739800,15.15000,16.33000,15.08000,15.17000,5043000
1620826200,15.13000,15.55000,14.90000,15.05000,4218100
1620912600,15.20000,15.45000,14.14000,14.61000,3765200
1620999000,14.96000,15.49000,14.62000,14.94000,2838700
1621258200,15.02000,15.90000,14.95000,15.48000,2563400
1621344600,16.00000,17.40000,15.80000,16.80000,5163700
1621431000,16.31000,17.74000,16.20000,17.43000,4685700
1621517400,17.75000,18.75000,17.75000,18.40000,5498600
1621603800,18.70000,18.85000,18.28000,18.78000,3054800
1621863000,19.00000,20.08000,18.87000,19.78000,5276200
1621949400,20.50000,21.80000,19.84000,20.18000,9338500
1622035800,20.04000,20.28000,19.01000,19.90000,6073300
1622122200,19.88000,20.04000,19.25000,19.79000,4097900
1622208600,19.77000,20.65000,19.30000,20.15000,5370500
1622554200,21.97400,22.90000,20.43000,22.65000,9159400
1622640600,23.66000,24.95000,22.65000,23.21000,14678900
1622727000,22.84000,23.50000,22.35000,22.68000,5879000
1622813400,22.87100,22.87100,20.00000,20.82000,13434200
1623072600,20.70300,21.46600,20.31000,21.21000,4755400
1623159000,21.02000,24.20000,20.65000,23.89000,11306900
1623245400,24.25000,24.46000,22.23000,22.71000,9407300
1623331800,22.83000,23.40000,21.43000,23.02000,6526500
1623418200,23.10000,23.30000,22.15800,22.40000,2769400
1623677400,22.25000,22.58000,21.39000,21.82000,4099800
1623763800,21.59000,21.68000,20.69000,20.80000,3531200
1623850200,21.21000,22.64000,21.10000,21.83000,9596000
1623936600,22.00000,23.27000,21.40000,22.70000,7359600
1624023000,22.72000,23.68000,22.22000,23.04000,5991500
1624282200,22.82000,23.20000,22.22000,22.51000,3590300
1624368600,22.66000,22.82000,21.09000,21.20000,6586300
1624455000,21.33000,21.70000,20.90000,21.40000,5328500
1624541400,21.52000,21.65000,20.81000,20.87000,6475100
1624627800,19.77000,19.90000,18.50000,18.50000,36679200
1624887000,18.17000,19.97000,17.65000,19.26000,56821000
1624973400,20.52000,20.99000,18.64000,18.87000,57158300
1625059800,19.32600,19.80000,19.00000,19.17000,27479600
1625146200,19.23000,19.24000,18.16000,18.25000,19839100
1625232600,18.27500,18.58000,17.75000,18.08000,25687900
1625578200,18.08500,18.08500,17.22000,17.35000,20245500
1625664600,17.56000,17.58000,16.80000,16.94000,17530000
1625751000,16.30000,16.80000,16.10000,16.62000,18443700
1625837400,16.92000,17.30000,16.43000,16.45000,17663000
1626096600,16.51000,16.84000,16.22000,16.42000,14071000
1626183000,16.38000,16.62000,15.80000,16.00000,16623000
1626269400,16.04900,16.21500,15.37000,15.52000,19069000
1626355800,15.62000,16.42000,15.45000,15.99000,16186000
1626442200,16.10000,16.19000,15.22000,15.30000,14214600
1626701400,15.00000,15.53000,14.87000,15.17000,14780900
1626787800,15.18000,15.29000,14.93900,15.06000,11683000
1626874200,15.14000,16.65000,15.10400,16.56000,27892400
1626960600,16.49000,16.60000,15.71000,16.05000,18833300
1627047000,15.89000,16.04900,15.44000,15.70000,10370000
1627306200,15.76000,16.09000,15.48000,15.51000,8994900
1627392600,15.49000,15.50000,14.72000,14.92000,16735400
1627479000,15.12000,15.47900,15.08000,15.37000,10131600
1627565400,15.87500,16.24000,15.51000,15.60000,12748300
1627651800,15.35500,15.79000,15.35000,15.44000,6653700
1627911000,15.58000,16.32000,15.41000,15.73000,15097600
1627997400,15.77000,16.04900,15.01000,15.11000,16166800
1628083800,15.23000,16.58000,15.20000,16.39000,25718500
1628170200,16.60500,16.73000,15.88000,16.06000,14501500
1628256600,16.06000,16.94000,16.06000,16.71000,13993700
1628515800,16.99000,17.32000,16.56000,16.91000,15571300
1628602200,17.02000,17.27000,16.56000,16.99000,12830200
1628688600,17.16000,17.27000,16.51500,16.90000,17104700
1628775000,16.97000,17.52000,16.74000,17.46000,35861400
1628861400,15.35000,15.53000,14.91000,14.99000,59983500
1629120600,15.00500,15.14000,14.18000,14.29000,26155000
1629207000,14.08000,14.70000,13.56000,13.75000,31925000
