time,open,high,low,close,tick_volume
1472477400,51.51000,51.51000,51.14000,51.34000,4705000
1472563800,51.23000,51.56000,50.91000,50.96000,5579900
1472650200,50.96000,51.36000,50.84000,51.33000,6173400
1472736600,51.24000,51.37000,51.01000,51.18000,3613600
1472823000,51.20000,51.85000,51.15000,51.80000,3869300
1473168600,51.91000,52.45000,51.83000,52.13000,5491400
1473255000,52.16000,52.34000,51.94000,52.22000,3564500
1473341400,52.26000,52.51000,52.08000,52.47000,4375900
1473427800,52.08000,52.17000,50.80000,50.87000,6415800
1473687000,50.78000,52.10000,50.77000,51.96000,10137000
1473773400,51.78000,51.87000,50.90000,51.26000,7083900
1473859800,51.40000,51.71000,51.11000,51.35000,5147900
1473946200,51.27000,51.62000,51.16000,51.46000,4984800
1474032600,51.62000,52.14000,51.28000,51.97000,16959300
1474291800,52.10000,52.46000,52.00000,52.43000,4464900
1474378200,52.52000,52.66000,52.13000,52.14000,3429100
1474464600,52.09000,53.21000,51.85000,53.18000,4880000
1474551000,53.36000,53.56000,53.09000,53.48000,4134100
1474637400,53.33000,53.63000,53.25000,53.53000,4282700
1474896600,53.55000,53.63000,53.28000,53.31000,4689600
1474983000,53.52000,53.73000,52.76000,52.84000,5774100
1475069400,52.95000,53.02000,52.51000,52.70000,5819700
1475155800,52.51000,52.59000,51.82000,52.05000,5877900
1475242200,52.08000,52.38000,51.11000,51.30000,7048700
1475501400,51.21000,51.27000,50.34000,50.72000,5459100
1475587800,50.66000,50.66000,49.54000,49.84000,10301300
1475674200,49.89000,50.24000,49.41000,49.52000,5617300
1475760600,49.37000,49.72000,49.14000,49.43000,6087200
1475847000,49.84000,50.08000,49.16000,49.16000,5247100
1476106200,49.28000,49.78000,49.17000,49.75000,4510200
1476192600,49.58000,49.72000,49.16000,49.41000,5868600
1476279000,49.69000,50.15000,49.49000,50.03000,5651400
1476365400,50.10000,51.07000,50.06000,50.76000,5275400
1476451800,50.64000,51.03000,50.44000,50.56000,3947800
1476711000,50.68000,50.90000,50.58000,50.69000,3054200
1476797400,50.98000,51.26000,50.33000,51.09000,4333300
1476883800,51.05000,51.13000,50.59000,50.73000,4769800
1476970200,50.85000,51.21000,50.58000,50.72000,3180500
1477056600,50.50000,50.78000,50.30000,50.53000,3342700
1477315800,50.75000,50.92000,50.37000,50.85000,3335100
1477402200,50.76000,51.07000,50.68000,50.97000,3587000
1477488600,50.96000,51.06000,50.56000,50.97000,3983900
1477575000,50.84000,50.93000,50.38000,50.76000,4776700
1477661400,50.84000,50.99000,50.49000,50.70000,5012700
1477920600,50.85000,52.23000,50.67000,51.57000,6497900
1478007000,51.62000,51.68000,50.29000,50.48000,6475800
1478093400,50.32000,50.40000,49.52000,50.19000,6211100
1478179800,50.23000,50.63000,50.01000,50.39000,4428800
1478266200,50.56000,50.77000,50.00000,50.11000,4807200
1478529000,50.26000,50.63000,49.44000,50.62000,6570700
1478615400,50.75000,51.04000,50.53000,50.76000,5678000
1478701800,49.71000,49.88000,48.92000,49.22000,13795200
1478788200,49.02000,49.02000,47.08000,47.91000,11719200
1478874600,47.95000,48.23000,47.57000,47.78000,6956300
1479133800,47.51000,47.72000,46.82000,47.63000,7942000
1479220200,48.15000,48.53000,47.87000,48.34000,5828500
1479306600,48.50000,48.61000,47.92000,48.43000,7003800
1479393000,47.79000,47.84000,47.45000,47.50000,5224300
1479479400,47.56000,47.65000,46.89000,47.13000,5611600
1479738600,47.25000,47.62000,47.05000,47.54000,5330100
1479825000,47.48000,47.73000,47.19000,47.60000,4976800
1479911400,47.23000,47.56000,47.09000,47.23000,4562700
1480084200,47.41000,47.95000,47.41000,47.78000,2486200
1480343400,47.83000,48.38000,47.80000,48.31000,5546900
1480429800,48.17000,48.71000,48.10000,48.31000,7445800
1480516200,47.85000,47.85000,46.79000,46.82000,9665800
1480602600,46.73000,46.74000,46.20000,46.59000,5569200
1480689000,46.92000,47.17000,46.52000,46.76000,4386200
1480948200,46.60000,46.88000,46.24000,46.87000,5010000
1481034600,47.15000,47.15000,46.76000,46.93000,4573200
1481121000,47.00000,47.42000,47.00000,47.15000,5727200
1481207400,46.89000,47.46000,46.58000,47.41000,5520100
1481293800,47.41000,47.95000,47.32000,47.94000,5025300
1481553000,47.83000,48.75000,47.81000,48.72000,5017600
1481639400,48.82000,49.21000,48.63000,49.19000,5624500
1481725800,49.36000,49.64000,48.40000,48.48000,6903800
1481812200,48.03000,48.57000,47.79000,48.46000,6247800
1481898600,48.50000,49.00000,48.41000,48.92000,6843500
1482157800,49.05000,49.29000,48.68000,49.09000,2990700
1482244200,49.09000,49.38000,48.90000,49.20000,2949400
1482330600,49.26000,49.55000,49.20000,49.24000,2837400
1482417000,49.15000,49.38000,48.96000,49.36000,2953300
1482503400,49.36000,49.50000,49.20000,49.33000,1923900
1482849000,49.32000,49.46000,49.09000,49.30000,1992900
1482935400,49.36000,49.44000,48.80000,48.90000,2520600
1483021800,49.19000,49.44000,48.91000,49.37000,2766600
1483108200,49.44000,49.55000,49.03000,49.19000,3484300
1483453800,49.15000,49.25000,48.67000,49.04000,3974400
