time,open,high,low,close,tick_volume
1472540400,4447.00000,4482.00000,4363.00000,4374.00000,125901
1472626800,4378.00000,4378.00000,4316.00000,4334.00000,172237
1472713200,4351.00000,4368.00000,4318.00000,4332.00000,123977
1472799600,4364.00000,4443.00000,4337.00000,4401.00000,150609
1473058800,4424.00000,4434.00000,4368.00000,4404.00000,59984
1473145200,4450.00000,4450.00000,4385.00000,4404.00000,93854
1473231600,4392.00000,4427.00000,4385.00000,4405.00000,86875
1473318000,4424.00000,4427.00000,4379.00000,4386.00000,86274
1473404400,4368.00000,4375.00000,4313.00000,4328.00000,99583
1473663600,4300.00000,4301.00000,4211.91992,4301.00000,222837
1473750000,4324.00000,4341.00000,4278.00000,4286.00000,157980
1473836400,4291.00000,4392.00000,4290.00000,4365.00000,204387
1473922800,4382.00000,4433.00000,4342.83008,4428.00000,121317
1474009200,4406.00000,4461.00000,4391.00000,4417.00000,219582
1474268400,4468.00000,4468.00000,4412.00000,4454.00000,65380
1474354800,4562.00000,4562.00000,4457.00000,4490.00000,114432
1474441200,4529.00000,4550.00000,4455.00000,4463.00000,71517
1474527600,4511.00000,4523.00000,4473.00000,4501.00000,142130
1474614000,4488.00000,4488.00000,4450.00000,4472.00000,65167
1474873200,4436.00000,4440.00000,4370.00000,4413.00000,125011
1474959600,4449.00000,4449.00000,4331.00000,4412.00000,142058
1475046000,4398.00000,4459.00000,4398.00000,4447.00000,96290
1475132400,4502.00000,4509.00000,4458.00000,4490.00000,105977
1475218800,4426.00000,4495.00000,4416.00000,4495.00000,121315
1475478000,4471.00000,4551.00000,4401.00000,4536.00000,110113
1475564400,4555.00000,4745.00000,4555.00000,4669.00000,282652
1475650800,4642.00000,4680.00000,4595.00000,4595.00000,160017
1475737200,4593.00000,4634.00000,4561.00000,4578.00000,145505
1475823600,4572.00000,4627.00000,4556.00000,4561.00000,192550
1476082800,4603.00000,4630.00000,4580.00000,4585.00000,120945
1476169200,4606.00000,4688.00000,4561.00000,4572.00000,123678
1476255600,4579.00000,4602.00000,4540.00000,4553.00000,130719
1476342000,4542.00000,4543.00000,4423.96191,4513.00000,147281
1476428400,4516.00000,4572.00000,4516.00000,4562.00000,111966
1476687600,4546.00000,4573.00000,4504.00000,4551.00000,103310
1476774000,4551.00000,4632.00000,4533.00000,4617.00000,137061
1476860400,4630.00000,4652.00000,4578.00000,4612.00000,140764
1476946800,4618.00000,4626.00000,4514.00000,4539.00000,182504
1477033200,4546.00000,4602.00000,4546.00000,4567.00000,102347
1477292400,4569.00000,4621.00000,4528.00000,4541.00000,82611
1477378800,4552.00000,4574.00000,4485.00000,4495.00000,156046
