time,open,high,low,close,tick_volume
1472477400,52.41500,52.70500,52.20500,52.37500,2418400
1472563800,52.47500,52.68500,51.86500,52.02500,2198200
1472650200,52.05000,52.36500,51.81000,52.31500,2554800
1472736600,52.35000,52.43500,51.69000,51.85000,1692000
1472823000,51.87000,52.44500,51.62000,52.15000,1816200
1473168600,52.30000,53.07000,52.09500,53.04500,3043000
1473255000,52.90000,53.04000,52.77500,53.02000,1599600
1473341400,52.77500,53.66000,52.77500,53.53000,2659400
1473427800,53.15000,53.33000,51.43500,51.45000,3729600
1473687000,51.30500,52.43000,51.18500,52.26500,3495200
1473773400,52.18000,52.18000,51.07500,51.26500,2197000
1473859800,51.39000,52.07500,51.17500,52.06500,4183200
1473946200,52.01500,52.78000,51.83000,52.60000,3376200
1474032600,52.66000,53.38500,52.18500,53.31000,9917000
1474291800,53.39500,54.04000,53.24500,53.97000,3207200
1474378200,54.09000,54.74500,54.08000,54.21000,2936000
1474464600,54.03500,55.16000,54.03500,55.13500,2944600
1474551000,55.38500,55.70000,54.91500,55.29000,1784800
1474637400,55.01000,55.23500,54.86500,54.95500,2147000
1474896600,54.99500,55.48500,54.76000,55.38000,3322600
1474983000,55.18500,55.57000,53.96000,54.09000,2624600
1475069400,54.21500,54.50500,53.68500,54.32500,1685200
1475155800,54.20500,54.26500,53.34500,53.47500,2208600
1475242200,53.76500,53.97500,53.46500,53.59500,3626800
1475501400,53.50000,53.50000,52.28000,52.54000,2434600
1475587800,52.39500,52.39500,50.96000,51.36000,3163000
1475674200,51.50500,52.11500,51.21500,51.36500,3177000
1475760600,51.22500,51.74500,50.85000,51.54500,1780600
1475847000,51.72000,52.27500,51.28500,51.33000,2400200
1476106200,51.50500,52.21000,51.48000,52.15500,1929400
1476192600,51.97500,51.97500,51.10500,51.38500,2279000
1476279000,51.52500,51.87500,51.35000,51.74500,2221800
1476365400,51.82000,52.61500,51.57000,52.30000,2084400
1476451800,52.60500,52.60500,51.84000,52.00500,1950000
1476711000,52.09500,52.29000,51.97000,52.23000,1548800
1476797400,52.60000,52.76500,51.95000,52.53000,1164200
1476883800,52.60000,52.70000,52.29000,52.32500,1619800
1476970200,52.39000,52.78500,52.33000,52.67500,2034000
1477056600,52.41500,52.58500,52.18000,52.42500,1393000
1477315800,52.69500,52.90500,52.31500,52.60500,1991000
1477402200,52.49500,53.21500,52.42000,53.20500,1368800
1477488600,53.10500,54.71000,52.48500,52.67500,3398800
1477575000,52.40500,52.61500,51.68000,52.28500,2516600
1477661400,52.40500,52.92000,52.07500,52.55000,1365800
1477920600,52.83500,53.82000,52.73000,53.55000,2405200
1478007000,53.55000,53.55000,52.27000,52.42500,2113600
1478093400,52.42500,52.61000,49.53500,49.68000,8669200
1478179800,49.54000,50.65000,49.34500,50.49000,2805600
1478266200,50.73500,51.71500,50.73500,51.05000,3888200
1478529000,51.37000,52.05500,50.96500,52.03500,2843600
1478615400,52.05000,52.47000,51.86000,52.19000,1421600
1478701800,51.34500,51.34500,49.01500,49.83500,7853600
1478788200,49.37000,49.52000,48.28000,48.62000,4787200
1478874600,48.61000,48.99500,47.70000,47.84500,3566600
1479133800,47.88500,47.88500,46.47500,47.37000,7300600
1479220200,47.66500,48.78000,47.42500,48.52500,3833200
1479306600,48.64000,49.17500,48.26500,49.15500,3703600
1479393000,49.02000,49.86500,49.02000,49.76500,3419000
1479479400,49.73000,50.32500,49.64000,49.91000,3948800
1479738600,50.12500,50.16000,49.43000,49.85500,2563800
1479825000,49.97500,50.38000,49.83000,50.09500,1978000
1479911400,50.00000,50.17000,49.06000,49.34000,2654600
1480084200,49.49500,49.98000,49.41500,49.73000,856200
1480343400,49.82500,50.89000,49.82500,50.62500,3664400
1480429800,50.43000,51.18500,50.07000,50.63500,2432000
1480516200,50.63500,50.82000,49.80000,49.90000,2979800
1480602600,49.59000,49.89000,49.30500,49.67500,1690200
1480689000,49.93000,50.76500,49.77500,49.95000,1451600
1480948200,49.69500,49.75500,49.06000,49.45500,1881000
1481034600,49.71000,49.93500,49.29500,49.33000,2557200
1481121000,49.44500,49.82500,49.36000,49.76000,2468000
1481207400,49.51000,49.88000,49.24500,49.79000,1629800
1481293800,49.85500,50.52500,49.76500,50.35500,2231600
1481553000,50.15500,51.56500,50.10500,51.49500,2328200
1481639400,51.71000,52.35000,51.64000,51.98500,2112000
1481725800,52.04000,52.31500,50.24500,50.32500,2027600
1481812200,50.13500,50.58000,49.74000,50.38500,1675400
1481898600,50.41000,51.17000,50.36500,51.07000,4457200
1482157800,51.48000,51.98500,51.01000,51.76000,2570200
1482244200,51.63000,51.90500,51.45500,51.55000,1577400
1482330600,51.50500,51.74000,50.91500,50.92000,2201600
1482417000,51.06500,51.28000,50.80000,51.06500,1827600
1482503400,51.10000,51.26000,50.67500,50.83500,949600
1482849000,50.39000,50.71500,50.16500,50.61500,933600
1482935400,50.71500,50.71500,49.88500,49.96000,958000
1483021800,50.21500,50.75000,50.06500,50.49500,1527000
1483108200,50.47500,50.63500,50.17500,50.32000,1879600
1483453800,50.46500,50.63000,49.92500,50.56500,2226400
1483540200,50.69500,51.57000,50.58500,51.00000,2778200
1483626600,51.00000,51.13000,50.06000,50.88000,4016200
1483713000,50.72500,51.58000,50.60500,51.46000,1869200
1483972200,51.46500,51.81500,50.64000,50.69000,2010200
1484058600,50.52000,50.85000,50.04500,50.53000,1858600
1484145000,50.46000,51.26000,50.40000,51.06500,2938400
1484231400,51.07000,51.45000,50.64000,50.92000,1613600
1484317800,50.79500,51.16500,50.58500,50.88500,1272000
1484663400,50.99500,51.74000,50.84000,51.70000,1543400
1484749800,51.75000,52.12500,51.70500,51.89000,2030800
1484836200,51.81000,51.81000,50.88500,51.04000,1480400
1484922600,51.11000,51.47500,50.80000,51.22000,1579800
1485181800,51.31000,51.74000,50.99000,51.10000,2415400
1485268200,51.05000,51.44500,50.93500,51.33500,2457800
1485354600,51.32500,51.34500,50.79500,51.28500,2026800
1485441000,51.19500,51.50500,50.80000,51.14000,1690800
1485527400,51.29000,51.29500,50.56000,50.72000,1152200
1485786600,50.89000,50.89000,49.85500,50.41000,2303200
1485873000,50.46500,51.25500,50.32000,51.19500,1895200
1485959400,50.79500,51.11000,50.39500,50.71000,1362000
1486045800,50.79500,51.38000,50.40000,51.36000,1274000
1486132200,51.48500,51.61500,51.32000,51.39500,1143600
1486391400,51.50000,51.64000,50.98000,51.30000,923800
1486477800,51.32500,51.48000,51.04500,51.27500,1066600
1486564200,51.25000,52.21500,51.25000,52.10500,1591600
1486650600,52.14000,52.32000,51.75000,51.82500,1502200
1486737000,51.67500,52.26000,51.67500,52.17500,1264400
1486996200,52.19500,52.61000,52.14500,52.58000,1076600
1487082600,52.38000,52.58500,51.90500,52.16500,1153400
1487169000,51.67000,52.18500,51.59500,52.16000,1381600
1487255400,52.27500,52.96000,52.22500,52.95000,1324200
1487341800,52.95500,53.07000,52.44000,52.92500,1787400
1487687400,52.81000,53.36000,52.65000,53.24000,1555200
1487773800,53.31500,53.78500,53.10500,53.57500,1274600
1487860200,53.81500,54.56000,53.66000,54.25500,1842000
1487946600,54.18500,54.66500,54.18500,54.54500,2165600
1488205800,54.54500,54.55000,54.16500,54.40500,1759200
1488292200,54.55500,55.47500,54.33500,55.14500,4115800
1488378600,54.93000,55.32500,54.36500,54.82500,2365200
1488465000,54.64000,55.14000,54.48000,54.87500,2304800
1488551400,54.91000,54.91000,54.17000,54.61500,1542200
1488810600,54.47000,54.98000,54.31500,54.97000,2067000
1488897000,54.89500,55.51000,54.76000,55.29000,2245400
1488983400,54.64500,54.88000,54.13000,54.22000,1717400
1489069800,54.26000,54.69500,53.94500,54.02500,1512400
1489156200,54.45500,54.77000,54.17000,54.70000,1624200
1489411800,54.70000,54.96000,54.53500,54.88000,1291800
1489498200,54.63000,54.93000,54.42500,54.58000,1048800
1489584600,54.83000,55.91500,54.73000,55.61500,1833200
1489671000,55.78000,55.78000,54.83500,55.08000,1582200
1489757400,55.22000,55.75500,55.20000,55.38000,2722800
1490016600,55.45500,55.62500,54.90000,55.19500,1803000
1490103000,54.82500,55.79000,54.61500,55.63000,2004000
1490189400,55.81000,56.28500,55.69500,55.97000,2208600
1490275800,56.01500,56.54000,55.59500,55.79000,1953400
1490362200,55.81500,56.39500,55.70000,56.23500,1880200
1490621400,56.11500,56.57500,55.62500,55.80000,1539800
1490707800,55.75000,56.09000,55.66500,56.03500,1573800
1490794200,55.88000,56.00000,55.55000,55.64000,1624400
1490880600,55.39500,55.44000,55.04500,55.11500,1772400
1490967000,55.04500,55.58000,55.04500,55.25000,2542600
1491226200,55.24000,55.39000,54.58000,54.93000,2602800
1491312600,54.99500,55.42500,54.86000,55.19000,1716800
1491399000,55.25000,55.32500,53.93000,54.72000,4966000
1491485400,54.63000,54.93000,54.35000,54.87500,2863400
1491571800,54.99000,55.46000,54.80500,54.84000,2679000
1491831000,54.84000,55.43500,54.68000,55.32500,2214200
1491917400,55.25000,55.42500,54.87000,55.24000,1584200
1492003800,55.04000,55.75000,54.96500,55.73000,1898600
1492090200,55.67500,55.99000,55.43500,55.75000,1969600
1492435800,55.76500,56.13000,55.47000,56.13000,2452200
1492522200,56.17500,56.28000,55.85500,56.25000,2108600
1492608600,56.19000,56.40500,55.61000,55.75000,3090400
1492695000,55.75000,56.38500,55.12500,56.14500,4763600
1492781400,56.17500,56.64000,56.15500,56.26000,2943800
1493040600,56.37000,56.82000,55.98500,56.65000,2701400
1493127000,56.45500,56.84000,56.38500,56.80500,1798600
1493213400,56.52500,56.97000,56.45500,56.49500,2030800
1493299800,56.45000,56.98000,56.45000,56.70500,2000200
1493386200,56.66500,56.75000,56.22000,56.51000,2465800
1493645400,56.59500,56.68500,55.70000,55.89500,2088400
1493731800,55.99000,56.17000,55.77500,56.07000,1314000
1493818200,55.94500,56.19000,55.67000,55.71000,1370800
1493904600,55.51500,55.82500,55.36500,55.68500,1798400
1493991000,55.94000,56.14500,55.80500,56.07500,2529400
1494250200,56.04000,56.19000,55.73000,55.97000,2085000
1494336600,55.94500,56.43000,55.57000,55.76500,1631200
1494423000,55.85500,56.46500,55.46500,55.82500,2974200
1494509400,55.66000,55.71000,55.20500,55.68500,1657000
1494595800,55.66000,56.02000,55.65500,55.80500,2014600
1494855000,55.78000,56.11500,55.67000,55.98000,1774200
1494941400,56.04000,56.24500,55.29000,55.31000,1460800
1495027800,55.31000,55.72000,55.01500,55.28000,5067400
1495114200,55.46000,55.96000,55.06500,55.38000,2800000
1495200600,55.24500,55.82000,55.10000,55.75000,5179000
1495459800,55.78500,56.51500,55.72000,56.43500,2351000
1495546200,56.47500,57.01500,56.15500,56.63500,4789000
1495632600,56.65500,56.92500,56.65000,56.88000,1967600
1495719000,56.83500,57.41000,56.78500,57.27500,1371600
1495805400,57.27500,57.38500,57.06500,57.24000,1120400
1496151000,57.19000,58.28500,57.09000,57.83000,3864200
1496237400,57.95500,58.48000,57.95000,58.24500,2926800
1496323800,58.23500,58.57500,58.12500,58.57000,1848400
1496410200,58.85500,58.96000,58.58500,58.75000,1809800
1496669400,58.69500,58.90500,58.42000,58.71500,2313200
1496755800,58.79500,58.79500,58.43500,58.53500,2449800
1496842200,58.56500,58.98500,58.51500,58.73000,3689800
1496928600,58.73000,58.73000,57.53500,57.76500,5186600
1497015000,57.58500,57.96000,56.93500,57.50000,7983600
1497274200,57.56000,57.65500,57.25000,57.35500,3838000
1497360600,57.36000,57.36000,56.93500,57.22500,1957400
1497447000,57.65500,57.93000,56.96000,57.20500,3422400
1497533400,57.07000,57.58500,57.04500,57.49000,3714200
1497619800,57.68000,58.23500,57.61500,58.19500,3056800
1497879000,58.21000,58.21000,57.71500,57.99000,1872200
1497965400,58.00000,58.12000,57.72000,57.76000,1701000
1498051800,57.82000,57.82000,56.71500,56.94000,3819800
1498138200,56.93000,57.01000,56.64500,56.68500,1740200
1498224600,56.60500,56.87500,56.35500,56.40500,2589600
1498483800,56.41500,57.11000,56.28000,57.02000,3123600
1498570200,56.79500,57.36000,56.58500,56.86000,4076400
1498656600,57.19500,57.42500,56.55500,56.59000,2244200
1498743000,56.29000,56.81000,56.05500,56.49500,2282800
1498829400,56.54500,57.03500,56.37000,56.37500,2017200
1499088600,56.56500,56.56500,56.01500,56.09000,913600
1499261400,55.71500,55.85000,55.34000,55.57000,1724400
1499347800,55.44000,55.64500,55.29000,55.46000,1458600
1499434200,55.56500,55.58000,55.17500,55.26500,1696400
