time,open,high,low,close,tick_volume
1472477400,165.88000,166.92999,165.74001,166.80000,674400
1472563800,166.06000,167.20000,165.03000,166.14999,855800
1472650200,165.92000,165.92000,163.50999,164.05000,1247900
1472736600,163.87000,165.13000,163.87000,164.80000,622700
1472823000,166.12000,167.89000,165.67999,167.00000,545900
1473168600,167.00000,167.49001,166.30000,166.85001,790100
1473255000,166.23000,167.00000,164.84000,165.99001,744000
1473341400,166.00000,166.42000,164.12000,165.55000,1073800
1473427800,164.34000,165.21001,162.35001,162.35001,1282400
1473687000,162.35001,165.05000,162.35001,164.87000,1013800
1473773400,164.60001,164.86000,160.50999,161.31000,1545200
1473859800,161.81000,163.14999,161.39000,162.62000,822300
1473946200,163.00000,166.94000,163.00000,166.47000,1355300
1474032600,165.14999,165.99001,162.52000,164.61000,1744900
1474291800,164.64000,165.35001,162.24001,162.67999,1320600
1474378200,163.77000,164.17000,162.85001,162.85001,794200
1474464600,164.14999,165.99001,163.23000,165.78999,1050000
1474551000,166.13000,167.03000,165.50999,166.02000,1063700
1474637400,165.75999,167.32001,165.03999,166.63000,711400
1474896600,166.00000,166.91000,165.50999,165.58000,911900
1474983000,165.69000,166.92000,165.08000,165.96001,978000
1475069400,164.81000,165.78000,163.13000,165.30000,982200
1475155800,164.88000,164.96001,163.10001,163.67000,1001700
1475242200,164.69000,168.67999,163.12000,166.49001,1659700
1475501400,166.45000,166.46001,164.78999,165.50999,1240400
1475587800,165.83000,166.88000,165.10001,165.85001,1502400
1475674200,172.92999,173.55000,167.88000,168.60001,4498600
1475760600,169.00000,171.77000,168.22000,171.03000,2157700
1475847000,171.55000,171.92999,167.70000,168.84000,1751000
1476106200,169.80000,171.82001,169.80000,171.24001,1309100
1476192600,171.06000,171.16000,168.24001,169.71001,1200000
1476279000,169.71001,170.95000,169.27000,170.00000,849500
1476365400,169.03999,169.61000,168.28000,168.94000,993300
1476451800,169.27000,169.92999,168.39000,169.46001,890900
1476711000,170.00000,170.39999,166.69000,167.13000,1516500
1476797400,167.89000,168.64999,167.16000,167.20000,689000
1476883800,167.30000,167.83000,166.13000,167.35001,991900
1476970200,168.16000,168.16000,166.45000,166.97000,1079700
1477056600,167.49001,167.53000,165.59000,167.41000,951300
1477315800,168.05000,170.10001,167.83000,169.57001,1039100
1477402200,169.07001,169.09000,167.97000,168.14000,834900
1477488600,167.78999,167.99001,166.03999,166.50999,854000
1477575000,167.13000,167.59000,165.60001,165.63000,585800
1477661400,165.73000,167.62000,165.34000,166.02000,2021000
1477920600,166.61000,168.50000,166.17000,167.12000,931400
1478007000,166.89999,167.70000,162.87000,163.45000,1566900
1478093400,163.38000,164.42000,163.22000,163.70000,1363800
1478179800,164.13000,164.13000,159.64999,160.07001,1781400
1478266200,159.67000,161.02000,157.91000,159.59000,1634300
1478529000,162.34000,166.02000,161.72000,165.92999,1937300
1478615400,165.56000,167.86000,164.96001,166.55000,1465800
1478701800,152.84000,157.37000,150.78999,153.91000,7633900
1478788200,154.17999,155.14999,146.89999,152.87000,5944700
1478874600,151.02000,153.05000,149.57001,152.39000,2771200
1479133800,151.80000,153.00000,147.44000,147.94000,3434900
1479220200,148.60001,153.86000,148.19000,152.42999,3453100
1479306600,151.69000,154.75000,151.69000,153.34000,2000900
1479393000,154.03000,155.25000,153.45000,154.80000,1517500
1479479400,154.74001,155.74001,154.05000,155.16000,1875600
1479738600,155.16000,158.00000,155.16000,157.39000,1742200
1479825000,157.75000,158.19000,155.22000,156.50999,1430400
1479911400,156.17000,156.96001,153.94000,154.57001,1297900
1480084200,154.55000,156.52000,154.00000,156.42000,594000
1480343400,155.99001,157.16000,155.91000,156.27000,980900
1480429800,156.08000,156.97000,155.48000,155.80000,1338200
1480516200,155.84000,155.91000,150.91000,151.14000,3313700
1480602600,150.32001,150.85001,145.00999,145.34000,3603600
1480689000,144.89999,148.64000,144.00000,146.02000,2641400
1480948200,146.17999,149.09000,146.17999,148.88000,2010700
1481034600,148.50000,149.52000,147.30000,147.98000,1573300
1481121000,148.25000,150.58000,147.61000,149.89999,1650800
1481207400,148.66000,151.53999,148.53000,151.09000,1262600
1481293800,150.97000,153.62000,150.97000,152.82001,1575300
1481553000,152.83000,154.25999,152.58000,153.41000,1097000
1481639400,153.82001,155.58000,153.50000,155.21001,1376200
1481725800,155.89000,157.59000,154.89999,155.59000,1669300
1481812200,155.00000,156.89999,154.82001,156.24001,1225700
1481898600,156.91000,158.17999,156.66000,157.77000,2441200
1482157800,157.72000,158.32001,156.62000,156.77000,1580700
1482244200,156.70000,156.75999,150.16000,150.45000,3201300
1482330600,151.55000,152.95000,150.20000,151.71001,1274400
1482417000,150.25000,150.67000,147.25000,148.74001,2416100
1482503400,149.30000,151.44000,149.00000,150.78999,1247300
1482849000,151.00000,151.74001,150.58000,151.14000,757400
1482935400,151.20000,152.58000,150.57001,152.39000,1019800
1483021800,152.74001,153.92000,152.64000,153.74001,947600
1483108200,153.67999,154.12000,152.88000,153.31000,1145200
1483453800,155.00999,155.31000,153.31000,154.75000,1991400
1483540200,157.14999,158.35001,156.25999,157.99001,2972300
1483626600,150.55000,151.35001,144.00000,146.75000,10511800
1483713000,146.99001,150.07001,146.39999,149.44000,4441900
1483972200,150.00000,150.89999,149.10001,150.27000,2129600
1484058600,150.00000,150.27000,149.08000,149.24001,2152800
1484145000,149.00000,150.14999,148.42000,149.00000,1835800
1484231400,148.50000,148.50000,146.71001,147.53000,1973700
1484317800,147.71001,149.69000,147.35001,149.28000,1721700
1484663400,151.28999,156.75000,151.28999,153.73000,3708600
1484749800,153.64999,154.19000,150.34000,150.48000,2263100
1484836200,150.92999,150.92999,149.08000,149.59000,1560100
1484922600,149.53999,150.34000,148.32001,150.08000,1973800
1485181800,150.10001,153.66000,150.05000,151.55000,2470200
1485268200,151.28999,153.37000,150.59000,153.05000,1899500
1485354600,153.38000,154.36000,152.70000,154.09000,2177500
