time,open,high,low,close,tick_volume
1472477400,26.95000,27.29000,26.86000,27.17000,3761600
1472563800,27.25000,27.37000,27.05500,27.30000,3362700
1472650200,27.31000,27.84000,27.22000,27.83000,7819300
1472736600,27.83000,28.01000,27.39500,27.76000,5099200
1472823000,27.86000,27.90500,27.58000,27.80000,3544500
1473168600,27.77000,27.83000,27.54500,27.61000,4833400
1473255000,27.48000,27.84000,27.35000,27.81000,2803100
1473341400,27.60000,27.69000,27.28000,27.34000,9421800
1473427800,27.31000,27.68000,26.93000,26.93000,6698300
1473687000,26.78000,27.49000,26.68000,27.41000,6655000
1473773400,27.08000,27.17000,26.53000,26.72000,8611500
1473859800,26.72000,26.98000,26.55000,26.83000,6645300
1473946200,26.76000,27.17000,26.62000,27.05000,5053300
1474032600,26.85000,26.97000,26.67000,26.91000,13467200
1474291800,27.03000,27.16000,26.89000,27.04000,5030900
1474378200,27.21000,27.21000,26.79000,26.80000,3696300
1474464600,26.95000,27.23000,26.75000,27.06000,6989700
1474551000,27.16000,27.56000,26.95000,27.48000,6321900
1474637400,27.33000,27.75000,27.30000,27.39000,5886600
1474896600,27.15000,27.61500,27.00000,27.30000,7150600
1474983000,27.26000,27.85500,27.18000,27.81000,5904000
1475069400,27.81000,27.95000,27.58500,27.82000,4815400
1475155800,27.77000,27.89000,27.02000,27.37000,5794200
1475242200,27.63000,28.11500,27.49000,28.00000,7039800
1475501400,27.84000,28.13000,27.51000,27.58000,7193600
1475587800,27.70000,27.92000,27.29000,27.33000,9736500
1475674200,27.40000,28.02000,27.29000,27.94000,8118600
1475760600,27.85000,27.91000,26.93500,26.99000,11432300
1475847000,27.10000,27.42000,26.49000,26.67000,11058200
1476106200,26.93000,26.99000,26.45000,26.73000,14337400
1476192600,26.73000,26.86000,26.47500,26.54000,7960300
1476279000,26.49000,26.63000,26.42000,26.51000,5161800
1476365400,26.30000,26.53000,26.09000,26.37000,5588500
1476451800,26.64000,26.94000,26.52500,26.70000,6678400
1476711000,26.66000,26.82000,26.39000,26.42000,5834100
1476797400,26.74000,26.81000,26.55000,26.64000,6983700
1476883800,26.53000,27.11000,26.53000,27.00000,4252100
1476970200,27.05000,27.37000,26.94000,27.13000,10757400
1477056600,27.87000,28.38000,27.64000,28.23000,13331900
1477315800,28.41000,29.02000,28.41000,28.79000,9113400
1477402200,28.73000,28.89000,28.45000,28.58000,5785600
1477488600,28.39000,28.86500,28.29500,28.70000,5130800
1477575000,28.85000,29.12500,28.77000,28.94000,5431600
1477661400,29.03000,29.32500,28.76000,29.10000,7759600
1477920600,29.29000,29.29000,28.57000,28.59000,6857200
1478007000,28.77000,29.02000,28.34000,28.56000,7629200
1478093400,28.55000,28.81000,28.38000,28.42000,6112400
1478179800,28.48000,28.48000,28.08000,28.13000,4990500
1478266200,28.26000,28.60000,28.00000,28.22000,5915100
1478529000,28.82000,29.11500,28.63000,29.11000,6653400
1478615400,28.89000,29.00000,28.40000,28.70000,5314700
1478701800,28.95000,30.30000,28.84000,30.22000,11493400
1478788200,30.56000,31.74000,30.51000,31.61000,11400100
1478874600,31.45000,32.61000,31.40000,32.48000,16845100
1479133800,32.77000,33.81000,32.75000,33.72000,12338700
1479220200,33.63000,33.63000,32.64000,33.34000,10573000
1479306600,33.08000,33.24000,32.56000,32.61000,9114600
1479393000,32.83000,33.47000,32.43000,33.43000,10709700
1479479400,33.49000,33.69000,33.16000,33.62000,7069500
1479738600,33.72000,33.85000,33.29000,33.62000,7134600
1479825000,33.84000,34.33000,33.75000,33.97000,8149800
1479911400,34.00000,35.02000,33.93000,34.96000,11393300
1480084200,34.99000,35.02000,34.65000,34.70000,3022500
1480343400,34.48000,34.48000,33.79000,33.90000,6247700
1480429800,34.05000,34.16000,33.80000,33.80000,4282500
1480516200,34.19000,34.67000,33.98000,34.56000,8560700
1480602600,34.68000,35.45000,34.57000,35.07000,9961900
1480689000,35.05000,35.10000,34.45500,34.49000,7112600
1480948200,34.85000,35.52000,34.81000,35.11000,5922700
1481034600,35.27000,35.70000,34.91500,35.66000,5031200
1481121000,35.23000,36.27000,34.98000,36.18000,6103300
1481207400,36.28000,36.77000,36.08400,36.65000,6651600
1481293800,36.54000,36.77000,36.22000,36.53000,5659600
1481553000,36.45000,36.68000,35.80000,35.94000,6647500
1481639400,36.13000,36.39000,35.58000,36.27000,7663400
1481725800,35.97000,36.42000,35.57000,35.94000,9938400
1481812200,36.26000,37.13000,35.94000,36.93000,11704400
1481898600,37.09000,37.10000,36.51500,36.63000,7620700
1482157800,36.57000,36.96000,36.51000,36.90000,5526600
1482244200,37.06000,37.26000,36.85000,37.26000,5100600
1482330600,37.31000,37.31000,36.95000,37.10000,2778300
1482417000,37.10000,37.10000,36.67000,36.88000,3958900
1482503400,36.81000,36.97000,36.67000,36.97000,2970500
1482849000,37.13000,37.18000,36.92000,37.00000,2208400
1482935400,37.07000,37.10000,36.20000,36.24000,4830700
1483021800,36.39000,36.66000,35.92000,36.09000,3529800
1483108200,36.13000,36.46000,36.08000,36.27000,3452600
1483453800,36.75000,37.17000,36.59000,37.06000,6058100
1483540200,37.30000,38.05500,37.14500,37.93000,6040100
1483626600,37.66000,37.74000,36.40000,36.91000,6850800
1483713000,37.09000,37.48000,36.88000,37.13000,5110200
1483972200,36.91000,37.07500,36.52000,36.90000,3955400
1484058600,37.03000,37.49000,36.72500,36.96000,5033200
1484145000,36.81000,36.81000,35.66000,36.36000,11639100
1484231400,36.16000,36.19500,35.60000,36.13000,6484300
1484317800,36.34000,36.83000,36.06500,36.32000,4401200
1484663400,36.10000,36.23000,35.37000,35.51000,4701300
1484749800,35.79000,35.92000,35.17000,35.90000,3943600
1484836200,35.96000,36.14000,35.56000,35.61000,6150000
1484922600,35.98000,36.85000,35.85000,36.24000,8954500
1485181800,36.03000,36.49000,35.61000,35.77000,6846600
1485268200,35.97000,36.37000,35.88000,36.08000,4117800
1485354600,36.39000,36.49500,35.75000,35.91000,6387200
1485441000,36.02000,36.70000,35.88000,36.69000,7572200
1485527400,36.69000,36.79000,36.35000,36.63000,5956700
1485786600,36.45000,36.53000,36.00000,36.47000,4665100
1485873000,36.30000,36.53500,35.56000,35.82000,5993100
1485959400,36.06000,36.58000,35.88500,36.00000,5258000
1486045800,35.64000,35.81000,35.19000,35.34000,5636500
1486132200,35.95000,36.73500,35.65000,36.51000,7493400
1486391400,36.25000,36.55000,36.16000,36.45000,4385600
1486477800,36.64000,36.78000,35.96000,36.05000,5583400
1486564200,35.88000,35.88000,35.38000,35.77000,4228700
1486650600,35.77000,36.59500,35.68000,36.49000,4838600
1486737000,36.73000,36.80000,36.15000,36.22000,5527100
1486996200,36.43000,36.79000,36.32000,36.65000,7151700
1487082600,36.63000,37.40000,36.54000,37.32000,4626200
1487169000,37.33000,37.75000,37.17000,37.28000,4296900
1487255400,37.19000,37.29000,36.55000,36.85000,3616200
1487341800,36.58000,36.76000,36.05500,36.68000,5917000
1487687400,37.11000,37.34000,36.86000,36.86000,3842900
