time,open,high,low,close,tick_volume
1472477400,114.44000,116.39000,114.43000,116.28000,1668600
1472563800,116.11000,116.69000,115.44000,115.94000,874300
1472650200,115.91000,116.38000,115.14000,115.66000,814900
1472736600,115.90000,115.90000,114.41000,115.23000,939400
1472823000,116.35000,116.35000,115.24000,115.60000,866100
1473168600,115.60000,116.89000,115.00000,116.89000,1144200
1473255000,116.44000,116.80000,114.85000,115.17000,1202000
1473341400,114.79000,115.58000,114.64000,114.87000,1372400
1473427800,114.10000,114.13000,110.43000,110.54000,2486300
1473687000,110.22000,112.86000,110.22000,112.70000,1740600
1473773400,112.21000,112.66000,110.32000,110.52000,1064900
1473859800,110.32000,111.24000,110.13000,111.01000,1361900
1473946200,110.95000,114.12000,110.61000,113.50000,1985700
1474032600,113.71000,114.42000,113.00000,114.32000,2436900
1474291800,114.35000,115.58000,114.19000,114.42000,1133400
1474378200,115.10000,115.29000,114.54000,114.60000,990300
1474464600,114.68000,116.56000,114.67000,116.44000,1090800
1474551000,116.82000,118.90000,116.38000,118.44000,1964900
1474637400,118.06000,118.20000,116.98000,117.76000,1235100
1474896600,117.18000,117.48000,115.96000,116.21000,1387000
1474983000,116.64000,117.80000,116.09000,117.80000,1156200
1475069400,117.42000,117.55000,116.48000,117.31000,918600
1475155800,116.89000,117.22000,115.11000,115.70000,662100
1475242200,116.31000,116.91000,115.97000,116.41000,1196900
1475501400,115.86000,116.54000,115.29000,116.45000,805100
1475587800,116.48000,116.92000,115.73000,116.26000,1074100
1475674200,116.34000,116.97000,116.05000,116.66000,1151900
1475760600,116.59000,117.14000,115.93000,116.65000,781500
1475847000,117.13000,117.37000,115.59000,116.31000,920100
1476106200,116.90000,118.09000,116.67000,117.85000,756000
1476192600,117.59000,117.68000,113.14000,113.73000,1433400
1476279000,113.90000,114.48000,113.59000,113.92000,829200
1476365400,113.37000,113.90000,112.52000,113.58000,892500
1476451800,116.18000,116.18000,113.61000,113.65000,1253600
1476711000,113.79000,113.85000,113.21000,113.57000,721700
1476797400,114.52000,115.09000,113.49000,114.81000,677600
1476883800,115.13000,115.20000,114.25000,114.33000,681000
1476970200,114.43000,114.87000,113.81000,114.55000,613400
1477056600,114.00000,114.23000,112.93000,113.71000,832300
1477315800,114.40000,115.20000,114.21000,114.73000,674300
1477402200,114.77000,114.82000,113.08000,113.19000,1023600
1477488600,112.26000,112.47000,109.84000,109.89000,2098700
1477575000,110.50000,110.62000,109.31000,109.72000,1751600
1477661400,111.52000,117.96000,110.60000,114.27000,3264800
1477920600,113.60000,115.59000,111.35000,115.35000,2301300
1478007000,115.99000,116.63000,114.13000,114.79000,1806700
1478093400,114.93000,116.76000,114.51000,115.50000,1489700
1478179800,115.84000,116.35000,115.40000,115.65000,1456600
1478266200,116.00000,117.50000,115.78000,117.15000,1758800
1478529000,118.60000,120.40000,118.52000,119.68000,1497200
1478615400,119.61000,121.84000,119.01000,120.85000,1531600
1478701800,119.78000,121.62000,113.30000,116.24000,3632400
1478788200,117.28000,117.28000,112.17000,114.03000,4375000
1478874600,113.37000,113.98000,110.08000,110.36000,2504200
1479133800,110.33000,110.79000,106.48000,106.68000,3684200
1479220200,107.35000,110.70000,107.13000,109.74000,2744100
1479306600,109.75000,110.06000,108.38000,109.39000,1096400
1479393000,109.32000,111.33000,108.56000,110.65000,1918300
1479479400,110.57000,111.51000,110.21000,111.44000,1501500
1479738600,111.43000,112.56000,111.04000,111.47000,1186600
1479825000,110.10000,111.05000,108.29000,110.70000,2946000
1479911400,110.18000,111.85000,110.00000,111.75000,1421400
1480084200,112.45000,113.10000,111.89000,112.84000,559300
1480343400,112.50000,113.46000,112.50000,112.95000,1323900
1480429800,114.18000,117.91000,113.74000,115.41000,1873900
1480516200,115.13000,115.55000,113.66000,113.66000,1844300
1480602600,113.36000,114.07000,110.91000,111.75000,1323000
1480689000,112.20000,113.11000,111.84000,112.08000,1210300
1480948200,112.57000,112.69000,111.57000,112.01000,1324700
1481034600,112.63000,113.17000,111.47000,112.59000,1236800
1481121000,112.19000,113.71000,111.22000,113.67000,1352000
1481207400,113.28000,115.70000,113.00000,115.51000,1405300
1481293800,115.75000,116.84000,115.75000,116.50000,1040700
1481553000,116.42000,118.18000,116.42000,117.58000,1181000
1481639400,117.74000,118.59000,117.00000,117.63000,997000
1481725800,117.97000,118.38000,116.27000,116.73000,1914300
1481812200,118.00000,119.02000,116.79000,118.82000,1657000
1481898600,119.23000,119.36000,118.29000,118.75000,2196800
1482157800,118.77000,119.16000,118.40000,118.81000,871800
1482244200,118.99000,119.94000,118.72000,119.51000,1028700
1482330600,119.41000,119.93000,118.86000,119.40000,877400
1482417000,119.35000,120.76000,119.11000,120.48000,1190300
1482503400,120.30000,121.10000,120.20000,120.76000,523300
1482849000,121.06000,121.50000,120.67000,120.85000,443600
1482935400,120.26000,120.99000,119.85000,119.88000,961400
1483021800,120.31000,121.09000,120.01000,120.52000,674700
1483108200,120.66000,120.86000,119.35000,119.81000,988100
1483453800,119.81000,119.86000,117.86000,119.43000,1831500
1483540200,119.64000,120.65000,119.36000,120.10000,1504800
1483626600,120.10000,120.40000,118.40000,118.78000,1772200
1483713000,117.50000,118.38000,116.50000,117.75000,2464200
1483972200,117.88000,119.65000,117.64000,119.02000,1355700
1484058600,119.56000,122.72000,119.05000,121.90000,2310300
1484145000,121.90000,127.23000,121.90000,123.66000,3140900
1484231400,122.86000,123.37000,121.84000,123.26000,1417300
1484317800,123.22000,124.00000,122.60000,122.92000,1665100
1484663400,122.12000,122.99000,121.68000,122.55000,1923900
1484749800,122.93000,123.09000,122.15000,122.40000,1195400
1484836200,122.00000,122.62000,121.39000,122.13000,1016100
1484922600,122.52000,123.08000,121.45000,121.75000,1196600
1485181800,121.56000,122.29000,120.84000,121.41000,1391700
1485268200,121.51000,122.36000,120.64000,121.50000,1546500
1485354600,122.18000,124.95000,121.05000,121.11000,2562300
1485441000,121.11000,121.11000,119.17000,120.83000,1891600
1485527400,121.03000,123.67000,120.73000,123.29000,1497600
1485786600,123.27000,123.27000,121.94000,122.51000,1249300
1485873000,122.13000,123.59000,122.00000,123.53000,1148500
1485959400,123.43000,123.82000,122.42000,123.12000,1586900
1486045800,122.88000,123.47000,122.30000,123.39000,1330900
1486132200,123.72000,124.25000,122.78000,123.36000,986000
1486391400,123.08000,123.29000,121.86000,122.33000,1171300
1486477800,122.36000,122.84000,122.16000,122.51000,1726400
1486564200,122.34000,122.95000,122.01000,122.41000,689500
1486650600,122.41000,123.58000,122.28000,123.32000,1492700
1486737000,123.28000,123.71000,122.78000,123.31000,841600
1486996200,123.44000,124.76000,123.34000,124.33000,1121200
1487082600,124.43000,125.51000,123.84000,125.26000,1125200
1487169000,124.70000,125.98000,124.61000,125.76000,1039000
1487255400,125.59000,125.77000,124.89000,125.75000,887600
1487341800,125.65000,126.37000,125.12000,126.34000,863100
1487687400,126.01000,127.79000,126.00000,127.16000,1358200
