time,open,high,low,close,tick_volume
1625059800,46.00000,46.50000,41.11000,42.50000,20587300
1625146200,44.28000,44.75000,39.94000,40.04000,6293400
1625232600,42.11000,45.20000,41.33000,44.59000,4635000
1625578200,45.81000,50.59000,45.53000,49.50000,7135800
1625664600,52.98000,54.05000,49.80000,51.49000,7092800
1625751000,50.00000,50.98000,45.25000,50.00000,3722200
1625837400,51.38000,51.80000,48.25000,49.24000,1495700
1626096600,50.50000,51.17000,48.41000,50.58000,1445000
1626183000,50.63000,51.04000,47.33000,49.01000,1468000
1626269400,49.01000,50.14000,44.99000,46.00000,2561600
1626355800,47.06000,47.24000,42.80000,43.40000,1686000
1626442200,43.50000,47.35000,43.21000,44.15000,1608500
1626701400,43.91000,47.82000,43.02000,47.00000,1757400
1626787800,47.24000,47.75000,45.26300,47.45000,988400
1626874200,47.45000,49.31000,46.55000,47.10000,931600
1626960600,46.35000,48.70000,45.82100,47.77000,1011600
1627047000,48.09000,49.20000,46.06000,46.56000,753000
1627306200,48.49000,50.38000,47.72000,49.50000,1793300
1627392600,49.75000,50.03000,46.67000,47.60000,1003700
1627479000,48.00000,50.87000,48.00000,49.81000,1288300
1627565400,50.40000,51.74000,49.67400,50.56000,1066900
1627651800,50.00000,55.29000,48.59000,49.31000,2361100
1627911000,50.70000,53.03000,50.17100,51.97000,1174800
1627997400,52.12000,53.50000,51.37000,51.87000,1271300
1628083800,51.50000,51.96000,49.63000,50.06000,1232300
1628170200,50.00000,52.70000,49.75000,52.50000,1421000
1628256600,52.53000,53.09000,50.35400,50.89000,921900
1628515800,51.08000,51.96000,49.70000,50.61000,730600
1628602200,50.59000,51.25000,49.01000,49.31000,1040600
1628688600,49.01000,49.12500,46.57000,46.64000,1371700
1628775000,47.10000,50.33000,46.65000,49.68000,929800
1628861400,49.68000,50.95000,48.88500,50.36000,580500
1629120600,49.49000,50.28000,47.54000,49.35000,887200
1629207000,48.50000,48.50000,46.25000,47.02000,1319000
1629293400,47.24000,49.78000,47.24000,48.70000,608800
1629379800,47.99000,51.50000,47.78000,50.36000,925300
1629466200,50.01000,51.36000,49.13000,51.29000,706900
1629725400,51.20000,56.00000,51.20000,53.13000,2008800
1629811800,54.97000,59.12000,54.50000,56.70000,2206100
1629898200,57.70000,60.11000,55.86000,59.39000,1341000
1629984600,59.64000,64.03000,59.46000,61.01000,2035000
1630071000,62.50000,66.00000,62.35000,64.90000,1705900
1630330200,65.03000,66.66000,64.18000,65.19000,1432900
1630416600,64.73000,65.56000,63.83000,63.93000,1420300
1630503000,63.43000,68.70000,63.31000,67.26000,1806200
1630589400,68.61000,68.77000,64.33600,64.78000,1420500
1630675800,64.68000,69.42200,64.64000,69.04000,1372600
1631021400,69.48000,73.47000,69.48000,71.01000,2958200
1631107800,70.18000,70.65000,65.51000,68.24000,4258500
1631194200,69.11000,72.95000,62.04000,66.04000,5642500
1631280600,67.00000,68.00000,62.01000,63.75000,3897800
1631539800,64.18000,64.44000,58.52000,61.00000,3800100
1631626200,61.50000,62.88700,61.09000,62.10000,1969700
1631712600,61.50000,67.55000,61.35000,67.51000,2537600
1631799000,67.06000,72.76000,66.76000,72.75000,3405600
1631885400,71.70000,72.40000,66.81000,69.25000,7317900
1632144600,64.00000,66.66000,62.00000,63.88000,3454600
1632231000,64.81000,65.19000,61.80000,64.16000,3106900
1632317400,64.62000,65.52000,62.50000,64.36000,1983500
1632403800,64.53000,65.00000,60.10000,60.87000,3075000
1632490200,60.01000,62.34000,60.00000,61.06000,1886000
1632749400,60.05000,60.53500,56.41000,57.10000,3273900
1632835800,55.38000,56.96000,53.85000,55.65000,11096600
1632922200,55.80000,58.77000,54.38000,54.38000,5155900
1633008600,55.16000,56.28000,52.96000,53.57000,3183500
1633095000,54.03000,55.90000,52.09000,55.24000,2991500
1633354200,55.32000,55.49500,50.58000,51.37000,2839900
1633440600,51.50000,53.88000,50.99000,51.35000,1721500
1633527000,50.50000,53.94000,50.49100,53.49000,2454300
1633613400,54.51000,59.00000,54.30000,56.76000,2475800
1633699800,57.32000,57.94000,54.65000,54.65000,1310100
1633959000,54.03000,54.94000,52.15000,52.39000,1199600
1634045400,53.56000,56.49000,52.82000,54.94000,1784200
1634131800,55.28000,59.75000,55.28000,59.06000,1873100
1634218200,61.06000,62.94000,59.38000,60.00000,1808600
1634304600,61.05000,61.12000,58.20000,59.58000,936800
1634563800,59.61000,63.66000,59.58000,62.64000,1328400
1634650200,63.61000,64.98000,61.26000,62.49000,1472300
1634736600,63.00000,63.80000,61.23000,62.56000,839100
1634823000,62.78000,67.96000,62.50000,65.76000,1483900
1634909400,66.13000,66.27000,63.01000,63.79000,982100
1635168600,64.07000,66.50000,63.19000,65.26000,942500
1635255000,66.36000,67.78000,63.82000,66.00000,1263800
1635341400,66.11000,68.50000,63.51000,63.79000,1096200
1635427800,63.70000,64.79800,61.81000,64.01000,1077400
1635514200,64.00000,67.25000,63.90000,66.40000,1010600
1635773400,66.68000,67.20000,63.69000,66.97000,1169000
1635859800,67.00000,70.67000,62.76000,64.23000,1627400
1635946200,64.14000,66.30000,63.25000,65.83000,782300
1636032600,65.79000,69.88000,65.31000,69.27000,1671600
1636119000,69.50000,69.50000,63.88000,66.91000,2038300
1636381800,66.78000,70.29900,66.47000,69.89000,1662600
1636468200,70.52000,75.49000,68.61000,74.87000,3345700
1636554600,72.58000,74.39000,68.50000,70.72000,2741600
1636641000,72.17000,74.09000,71.51000,73.15000,1069000
1636727400,74.37000,78.53000,74.34700,76.30000,1927600
1636986600,76.87000,78.28000,71.15000,71.55000,1775300
1637073000,72.00000,75.52000,71.78000,74.69000,1301800
1637159400,75.00000,75.12500,71.36000,73.71000,884800
1637245800,74.54000,74.88000,70.13000,72.13000,1062100
1637332200,72.87000,75.50000,70.07000,70.30000,1299400
1637591400,70.63000,70.80000,62.15000,64.03000,2783500
1637677800,63.01000,65.59000,58.01000,58.26000,3863900
1637764200,57.56000,59.72000,55.65000,58.44000,3608100
1637937000,57.79000,59.99000,56.59000,57.63000,1309400
1638196200,59.00000,59.44000,55.64700,58.07000,2324800
1638282600,58.00000,59.54000,52.50000,53.97000,3574800
1638369000,55.42000,55.97300,48.40000,48.57000,3032500
1638455400,49.01000,52.04700,46.78000,50.04000,5120700
1638541800,50.16000,50.50000,44.10200,46.23000,3756700
1638801000,46.22000,46.87000,43.00000,45.01000,3111200
1638887400,47.43000,52.40000,47.38000,51.04000,7505000
1638973800,45.10000,49.37000,43.04000,48.60000,12237300
1639060200,46.73000,48.88000,46.26000,48.11000,13924400
1639146600,47.90000,50.45000,47.51000,50.30000,8192200
1639405800,49.50000,50.34000,46.72000,47.16000,8528400
1639492200,45.00000,47.11000,44.71000,46.47000,5718300
1639578600,46.82000,50.55000,45.89000,50.09000,5823400
1639665000,50.08000,51.50000,46.55000,47.37000,5246600
1639751400,45.62000,48.47000,43.32000,47.97000,6576800
1640010600,46.58000,49.61000,45.65000,49.15000,3433400
1640097000,49.50000,51.08000,47.67000,50.30000,3430300
1640183400,50.11000,52.81000,49.71000,51.69000,3632800
1640269800,51.97000,52.52000,48.94000,51.60000,2544000
1640615400,52.00000,53.97000,51.61000,53.20000,1991300
1640701800,53.30000,53.55000,51.14000,52.22000,1493600
1640788200,51.99000,52.17000,49.13000,50.63000,2061300
1640874600,50.54000,53.29000,49.88000,52.31000,1753600
1640961000,52.05000,53.15000,50.25000,50.49000,2399900
1641220200,52.00000,52.29000,46.67000,47.62000,6302600
1641306600,47.22000,47.75000,44.51000,46.56000,3665400
1641393000,46.03000,47.00000,43.35000,43.61000,3919700
1641479400,42.86000,44.99900,41.42000,43.34000,5350800
1641565800,43.46000,45.44000,42.63600,44.33000,3526200
1641825000,42.76000,46.10000,40.74000,45.87000,5173700
1641911400,44.54000,49.03000,44.00000,48.88000,3459800
1641997800,49.15000,50.10600,46.85000,46.99000,3777400
1642084200,47.12000,47.40000,41.84000,42.21000,4409100
1642170600,41.97000,43.20800,41.25000,42.68000,3177500
1642516200,41.65000,43.48000,40.84000,41.20000,3003300
1642602600,41.05000,43.00000,40.65000,41.38000,2282200
1642689000,42.56000,44.80000,41.72000,41.84000,4032900
1642775400,41.23000,42.48000,39.79000,40.11000,6309600
1643034600,38.48000,41.60500,35.90000,41.49000,5315800
1643121000,39.51000,41.30000,37.50000,39.26000,3828500
1643207400,40.93000,44.80000,39.60000,39.93000,4692200
1643293800,41.38000,41.68700,38.33000,38.44000,2321900
1643380200,38.83000,40.67000,36.60000,40.54000,2582400
1643639400,41.88000,44.95000,41.50000,44.75000,2669000
1643725800,44.96000,46.94000,43.27000,46.89000,2418700
1643812200,45.41000,46.27000,43.22000,43.89000,2763100
1643898600,41.81000,43.21000,40.90000,40.90000,2384600
1643985000,41.43000,43.62000,40.90000,42.85000,2050600
1644244200,43.00000,46.19000,42.95000,43.67000,2263900
1644330600,42.37000,44.03000,41.75000,43.34000,4225800
1644417000,43.70000,46.98500,43.66000,46.56000,3963700
1644503400,43.79000,48.46000,42.81000,46.43000,4671900
1644589800,46.37000,47.17000,44.42000,45.08000,2786000
1644849000,44.07000,46.00000,43.04000,44.20000,2666300
1644935400,44.50000,46.02000,43.35000,45.99000,3353200
1645021800,46.05000,46.14000,44.05000,44.88000,2540700
1645108200,44.10000,44.63000,41.01000,41.26000,2891200
1645194600,41.50000,42.24000,38.58000,38.99000,7466500
1645540200,38.53000,40.22000,37.33500,37.51000,2618600
1645626600,35.82000,38.15000,34.03000,34.09000,6661500
1645713000,32.09000,39.42000,31.83000,39.13000,7522800
1645799400,38.10000,40.17000,37.55000,38.82000,4027500
1646058600,39.57000,42.22000,38.77000,41.50000,4542500
1646145000,42.42000,44.74000,41.87000,42.02000,4256700
1646231400,42.19000,43.02000,40.12900,42.77000,3438900
1646317800,42.09000,42.30000,39.42000,41.05000,3747000
1646404200,39.00000,39.80000,36.27000,36.74000,5617100
1646663400,37.50000,38.58000,33.68000,33.92000,4542300
1646749800,34.00000,34.52000,32.10000,32.29000,5336600
1646836200,32.73000,35.03000,32.17000,34.64000,6544600
1646922600,34.75000,36.15000,33.89000,35.24000,5604500
1647009000,34.42000,35.28000,32.61000,32.91000,4710700
1647264600,32.95000,33.73000,29.30000,29.55000,9201500
1647351000,30.51000,31.75000,29.67000,30.89000,9695000
1647437400,30.77000,36.83000,30.77000,35.05000,14845600
1647523800,33.58000,38.00000,33.58000,37.67000,8896900
1647610200,37.09000,40.67000,36.92000,40.57000,27709100
1647869400,39.12000,40.30000,37.82700,38.48000,6007700
1647955800,39.56000,42.10000,38.60000,41.27000,5099400
1648042200,40.20000,42.29500,39.16000,41.70000,3761700
1648128600,41.44000,42.80000,40.33000,42.38000,2425600
1648215000,42.84000,42.84000,39.04000,40.48000,3178500
1648474200,40.54000,41.53000,39.55900,40.46000,2118100
1648560600,40.16000,41.15000,38.26000,40.78000,4468300
1648647000,40.41000,41.00000,38.55000,38.87000,2945700
1648733400,38.93000,40.53000,37.94000,38.74000,2021000
1648819800,38.81000,39.41000,38.10000,38.88000,2396600
1649079000,39.38000,41.68000,39.06000,41.54000,4644200
1649165400,41.54000,41.55000,37.65000,38.22000,4318300
1649251800,37.41000,37.43000,34.56000,35.45000,4714400
1649338200,35.75000,36.95400,34.74000,35.28000,3409500
1649424600,35.07000,35.15000,33.92000,34.02000,3546000
1649683800,33.27000,34.91000,32.79000,34.05000,5572000
1649770200,34.84000,35.98000,33.98000,34.04000,3573500
1649856600,34.04000,38.57000,33.70000,38.35000,4263900
1649943000,37.60000,37.95000,36.74000,37.12000,2810500
1650288600,37.00000,37.79000,35.78000,36.49000,2951400
1650375000,36.40000,38.31000,35.73000,37.93000,1903800
1650461400,38.19000,38.29000,35.61000,36.23000,2824900
1650547800,36.50000,37.36000,33.18500,33.53000,3517000
1650634200,33.80000,34.50000,32.56000,32.68000,2448200
1650893400,32.07000,35.64000,31.96100,35.38000,4191800
1650979800,34.83000,35.34000,33.73000,34.11000,2925200
1651066200,34.13000,35.32500,32.68000,33.30000,3210600
