time,open,high,low,close,tick_volume
1472477400,47.45000,47.50000,46.80000,47.14000,2643200
1472563800,47.45000,47.93000,47.11000,47.35000,2633800
1472650200,47.57000,47.72000,47.00000,47.35000,4571600
1472736600,47.05000,49.16000,46.98000,48.96000,11643400
1472823000,48.85000,49.43000,47.64000,47.90000,6345100
1473168600,46.50000,47.25000,44.85000,45.96000,13945300
1473255000,45.63000,45.82000,44.75000,44.95000,18836300
1473341400,45.09000,45.88000,44.90000,45.36000,9093200
1473427800,45.10000,45.20000,43.71000,44.14000,10302000
1473687000,43.47000,44.46000,43.13000,44.32000,5272700
1473773400,44.32000,44.48000,42.76000,43.08000,5216400
1473859800,42.88000,43.51000,42.65000,42.83000,4269400
1473946200,43.15000,43.97000,42.71000,43.75000,5412500
1474032600,43.75000,43.81000,43.13000,43.67000,3922700
1474291800,43.99000,44.28000,43.63000,43.77000,3290200
1474378200,43.77000,44.30000,43.77000,44.09000,3482900
1474464600,44.42000,45.51000,44.15000,45.33000,5957500
1474551000,45.35000,46.11000,45.35000,46.10000,6894500
1474637400,46.00000,46.34000,45.75000,46.02000,4894700
1474896600,45.76000,46.05000,45.41000,45.55000,3045100
1474983000,45.76000,46.28000,45.51000,46.25000,3012500
1475069400,46.18000,47.00000,46.13000,46.95000,3082800
1475155800,46.66000,47.25000,46.63000,46.79000,3761700
1475242200,46.80000,46.99000,46.46000,46.57000,3303600
1475501400,46.57000,47.03000,46.44000,46.95000,3493000
1475587800,47.03000,47.30000,46.62000,47.03000,3626500
1475674200,47.29000,47.68000,47.05000,47.45000,4740600
1475760600,47.62000,47.78000,46.70000,47.59000,6678200
1475847000,47.54000,47.58000,46.95000,47.08000,2363900
1476106200,47.00000,48.50000,46.76000,48.16000,3676600
1476192600,47.94000,47.96000,46.48000,46.77000,4292300
1476279000,46.62000,47.13000,46.23000,46.35000,3083900
1476365400,45.85000,46.35000,45.23000,46.31000,4196700
1476451800,46.99000,47.45000,46.50000,46.57000,2211200
1476711000,46.65000,46.70000,46.18000,46.29000,1755900
1476797400,46.96000,47.82000,46.75000,47.06000,3757000
1476883800,47.13000,47.52000,47.13000,47.24000,2168700
1476970200,47.25000,47.42000,46.81000,47.25000,2139200
1477056600,47.14000,47.70000,46.94000,47.61000,1492900
1477315800,47.66000,48.41000,47.66000,48.20000,3105300
1477402200,48.20000,49.62000,47.89000,48.00000,4683500
1477488600,48.00000,48.02000,46.62000,46.69000,2926300
1477575000,46.81000,46.91000,44.77000,45.47000,5360100
1477661400,45.30000,46.20000,44.51000,44.73000,3655200
1477920600,44.77000,45.09000,43.98000,44.15000,4268400
1478007000,44.39000,44.42000,42.95000,43.41000,3677600
1478093400,43.64000,43.68000,42.02000,42.34000,4871900
1478179800,42.31000,43.04000,42.26000,42.45000,2182200
1478266200,42.00000,42.73000,41.84000,42.44000,2784400
1478529000,43.24000,44.04000,43.14000,43.54000,3379200
1478615400,43.67000,44.05000,43.05000,43.57000,2286200
1478701800,42.75000,43.50000,41.99000,42.29000,4180900
1478788200,43.01000,43.85000,40.84000,40.98000,5428500
1478874600,40.70000,41.25000,40.02000,41.10000,7053500
1479133800,41.37000,41.56000,40.24000,40.62000,2919900
1479220200,41.37000,42.10000,41.00000,42.02000,7057900
1479306600,40.78000,42.33000,40.32000,42.16000,3641600
1479393000,42.01000,42.65000,42.00000,42.31000,2165100
1479479400,42.31000,42.73000,41.46000,42.02000,2409800
1479738600,42.02000,42.63000,41.64000,42.26000,3785100
1479825000,42.50000,42.50000,41.56000,41.87000,3874800
