time,open,high,low,close,tick_volume
1472477400,63.46000,63.90000,63.25000,63.40000,1193800
1472563800,63.49000,64.02000,63.30000,63.44000,1713200
1472650200,63.36000,63.64000,63.18000,63.57000,1768100
1472736600,63.28000,63.75000,62.79000,63.18000,1242800
1472823000,63.50000,63.75000,63.28000,63.64000,943800
1473168600,63.56000,63.56000,62.57000,62.72000,1632400
1473255000,62.80000,63.25000,62.75000,63.25000,1428800
1473341400,62.99000,63.05000,62.67000,62.77000,1359400
1473427800,62.24000,62.42000,60.78000,60.98000,1498200
1473687000,60.61000,61.86000,60.38000,61.62000,1243300
1473773400,61.21000,61.67000,60.60000,60.86000,1283800
1473859800,60.81000,61.33000,60.60000,60.82000,1258600
1473946200,60.81000,62.00000,60.77000,61.89000,1220800
1474032600,61.54000,61.70000,60.96000,61.50000,1927300
1474291800,61.91000,62.68000,61.80000,62.29000,1730200
1474378200,62.59000,63.12000,62.43000,62.95000,2476900
1474464600,63.30000,64.00000,62.93000,63.91000,1851100
1474551000,64.07000,64.54000,63.99000,64.41000,1944000
1474637400,64.17000,64.21000,63.80000,63.88000,1235600
1474896600,63.52000,63.87000,63.33000,63.49000,906200
1474983000,63.48000,64.55000,63.14000,64.54000,1179400
1475069400,64.69000,64.86000,63.94000,64.31000,961100
1475155800,63.94000,64.44000,63.19000,63.31000,1025100
1475242200,63.68000,64.60000,63.53000,64.38000,1602000
1475501400,64.17000,64.35000,63.48000,63.59000,1173400
1475587800,63.67000,64.46000,63.39000,63.75000,1089200
1475674200,64.11000,64.98000,63.83000,64.65000,1266700
1475760600,64.44000,64.93000,63.97000,64.79000,1270900
1475847000,64.66000,64.74000,63.63000,63.92000,1285500
1476106200,64.24000,64.63000,63.73000,63.76000,578500
1476192600,63.65000,63.92000,62.50000,62.75000,1159300
1476279000,62.68000,62.93000,62.07000,62.19000,904300
1476365400,61.64000,61.78000,60.59000,61.35000,1046900
1476451800,61.79000,62.10000,61.07000,61.11000,968500
1476711000,61.14000,61.35000,60.88000,61.03000,1020800
1476797400,61.68000,61.79000,61.08000,61.29000,1180300
1476883800,61.45000,62.17000,61.04000,61.97000,950900
1476970200,61.90000,62.15000,61.54000,62.05000,831400
1477056600,61.55000,62.04000,61.07000,61.78000,933600
1477315800,62.32000,62.88000,62.32000,62.82000,1220800
1477402200,62.82000,62.82000,61.30000,61.90000,1486900
1477488600,61.73000,63.27000,61.54000,62.79000,1263100
1477575000,62.91000,63.20000,62.03000,62.14000,1022800
1477661400,62.26000,62.86000,62.05000,62.36000,931000
1477920600,62.64000,62.96000,62.25000,62.87000,1517300
1478007000,63.05000,63.50000,62.54000,63.29000,2895700
1478093400,64.24000,65.47000,62.87000,62.92000,2704300
1478179800,62.92000,63.44000,62.29000,62.41000,1476600
1478266200,62.41000,63.12000,62.22000,62.63000,808700
1478529000,63.38000,64.74000,63.32000,64.71000,1194700
1478615400,64.50000,65.61000,64.46000,65.35000,1133900
1478701800,64.32000,66.24000,63.43000,65.95000,1829800
1478788200,66.37000,67.44000,66.11000,66.77000,1678200
1478874600,66.41000,67.01000,66.13000,66.90000,1428600
1479133800,67.10000,67.50000,66.45000,66.74000,2098300
1479220200,66.87000,67.43000,66.47000,67.25000,1705100
1479306600,66.90000,67.35000,66.48000,66.82000,1360200
1479393000,66.81000,67.30000,66.46000,67.17000,1170200
1479479400,67.07000,67.08000,66.51000,66.67000,1077300
1479738600,67.00000,67.31000,66.54000,66.75000,1092400
1479825000,66.17000,67.00000,66.14000,66.92000,1258100
1479911400,66.81000,67.37000,66.67000,67.35000,1111600
