time,open,high,low,close,tick_volume
1472477400,51.39000,51.49000,50.42000,50.75000,6221100
1472563800,50.60000,50.95000,50.38000,50.56000,5867300
1472650200,50.62000,50.62000,50.17000,50.39000,6549900
1472736600,50.18000,51.21000,50.15000,50.90000,7272800
1472823000,51.94000,51.94000,50.68000,51.22000,5682200
1473168600,51.26000,51.80000,51.04000,51.33000,7258800
1473255000,51.11000,51.45000,50.67000,51.29000,5737800
1473341400,51.35000,51.79000,50.93000,51.04000,4862800
1473427800,50.74000,50.88000,50.15000,50.21000,5846600
1473687000,50.20000,51.79000,50.15000,51.56000,4640100
1473773400,51.37000,51.68000,50.85000,51.54000,3518100
1473859800,51.81000,52.66000,51.62000,51.95000,5628500
1473946200,52.02000,52.28000,51.40000,51.90000,3524500
1474032600,51.89000,52.01000,51.45000,51.74000,4650700
1474291800,51.51000,51.61000,50.58000,50.70000,3598100
1474378200,50.86000,50.89000,50.36000,50.36000,3440600
1474464600,50.33000,50.71000,50.04000,50.48000,3351400
1474551000,50.65000,51.45000,50.60000,51.23000,2970000
1474637400,51.01000,51.51000,50.85000,51.47000,3127600
1474896600,51.11000,51.15000,50.12000,50.27000,4241500
1474983000,50.06000,50.57000,49.30000,49.47000,6099400
1475069400,49.68000,49.86000,48.48000,48.68000,9151600
1475155800,48.82000,48.88000,46.08000,46.29000,20781000
1475242200,46.36000,46.76000,45.76000,46.01000,13279500
1475501400,46.34000,46.51000,45.44000,45.68000,8181100
1475587800,46.01000,46.09000,44.98000,45.26000,7439300
1475674200,45.79000,45.95000,44.60000,45.19000,9511800
1475760600,45.30000,45.60000,44.92000,45.40000,5954000
1475847000,45.54000,45.71000,44.96000,45.06000,4526200
1476106200,45.76000,45.85000,44.89000,45.04000,6864600
1476192600,45.06000,45.14000,44.23000,44.56000,6088900
1476279000,44.51000,44.76000,44.00000,44.12000,4586700
1476365400,43.82000,44.64000,43.80000,44.28000,6948200
1476451800,44.49000,44.49000,42.95000,42.96000,7360800
1476711000,42.98000,43.13000,41.67000,41.79000,11290700
1476797400,42.01000,43.43000,41.92000,43.26000,11232800
1476883800,43.22000,43.47000,42.83000,43.34000,7220600
1476970200,43.29000,44.32000,43.13000,44.21000,9170100
1477056600,44.08000,44.30000,43.55000,44.00000,5860700
1477315800,43.71000,44.15000,43.34000,43.50000,6470700
1477402200,43.34000,44.42000,43.29000,43.85000,12979300
1477488600,43.76000,44.26000,43.27000,43.36000,3594200
1477575000,43.73000,43.81000,43.03000,43.15000,4736800
1477661400,43.00000,43.10000,42.11000,42.32000,6195100
1477920600,41.94000,42.76000,41.75000,42.74000,27345500
1478007000,42.70000,43.55000,42.55000,43.12000,7778000
1478093400,43.15000,44.13000,43.08000,43.33000,7977500
1478179800,43.34000,43.46000,37.82000,39.20000,40938000
1478266200,39.76000,40.78000,39.20000,40.24000,16322700
1478529000,40.50000,40.95000,40.11000,40.78000,8565100
1478615400,39.45000,39.65000,38.60000,38.77000,14442200
1478701800,42.49000,42.90000,39.69000,39.97000,30730100
1478788200,40.54000,41.63000,40.02000,40.06000,12173500
1478874600,40.38000,40.80000,39.59000,40.65000,5830200
1479133800,40.22000,41.19000,39.92000,41.03000,11175900
1479220200,39.48000,39.50000,37.25000,37.60000,27149300
1479306600,37.78000,38.49000,37.40000,38.07000,18397000
1479393000,38.26000,39.41000,38.01000,38.89000,9721600
1479479400,39.00000,39.08000,38.50000,38.56000,6477100
1479738600,38.68000,38.89000,38.46000,38.80000,6112300
1479825000,38.50000,38.69000,37.56000,37.83000,10562800
1479911400,37.48000,38.11000,37.12000,38.11000,6554900
1480084200,38.20000,38.48000,38.01000,38.21000,2320800
1480343400,38.16000,38.40000,38.04000,38.15000,4883100
1480429800,38.17000,38.49000,37.71000,37.86000,5516900
1480516200,37.79000,38.38000,37.40000,37.70000,10812600
1480602600,37.40000,37.68000,36.56000,36.57000,6557800
1480689000,36.70000,37.11000,36.41000,36.53000,6924100
1480948200,36.65000,37.18000,36.40000,37.04000,6751500
1481034600,35.33000,35.95000,34.57000,35.03000,30830700
1481121000,35.29000,35.32000,34.62000,35.27000,10408200
1481207400,35.40000,36.48000,35.22000,35.91000,11320900
1481293800,36.22000,36.86000,36.15000,36.30000,7696100
1481553000,36.37000,37.69000,36.36000,37.25000,8814300
1481639400,37.58000,37.79000,37.39000,37.66000,6750200
1481725800,37.30000,37.51000,36.54000,37.00000,10609100
1481812200,36.78000,37.56000,36.42000,36.73000,6696400
1481898600,36.96000,36.98000,36.30000,36.51000,5486400
1482157800,36.48000,36.87000,36.40000,36.57000,5114200
1482244200,36.63000,36.78000,36.03000,36.25000,4664200
1482330600,36.25000,36.48000,36.03000,36.37000,3549000
1482417000,36.49000,37.39000,36.35000,36.91000,5832800
1482503400,36.91000,36.95000,36.46000,36.82000,2814400
1482849000,36.64000,36.82000,36.26000,36.34000,4335100
1482935400,36.32000,36.46000,35.85000,35.93000,4658700
1483021800,35.85000,36.26000,35.81000,36.08000,3618100
1483108200,36.00000,36.43000,35.92000,36.25000,4944800
1483453800,36.69000,37.48000,36.45000,37.48000,6946200
1483540200,38.06000,38.31000,37.58000,37.74000,6624700
1483626600,37.96000,38.15000,37.29000,37.96000,4983700
1483713000,36.90000,36.98000,35.00000,35.10000,33846500
1483972200,35.15000,35.44000,34.93000,35.06000,11741900
1484058600,35.05000,35.26000,34.60000,35.20000,11956900
1484145000,35.16000,35.49000,33.56000,34.28000,15639600
1484231400,34.27000,34.69000,33.93000,33.94000,10755500
1484317800,34.25000,34.47000,33.86000,33.97000,12592100
1484663400,34.05000,34.12000,33.62000,33.75000,9978900
1484749800,33.90000,34.20000,33.73000,34.10000,10017900
1484836200,33.98000,34.09000,33.46000,33.47000,7498400
1484922600,33.42000,33.57000,33.16000,33.23000,8444300
1485181800,33.08000,33.10000,32.11000,32.71000,14135000
1485268200,32.79000,32.94000,32.34000,32.60000,10457300
1485354600,32.68000,33.99000,32.62000,33.68000,12863700
1485441000,33.90000,34.21000,33.58000,33.93000,10699100
1485527400,34.05000,34.77000,34.01000,34.59000,10950900
1485786600,34.48000,34.99000,34.20000,34.52000,7659700
1485873000,32.35000,33.69000,32.19000,33.43000,36904000
1485959400,34.20000,34.76000,33.71000,34.69000,17253400
1486045800,34.30000,34.53000,33.95000,34.19000,10763700
1486132200,34.48000,34.58000,34.01000,34.44000,7294100
1486391400,34.20000,34.49000,34.01000,34.35000,5628700
1486477800,33.50000,33.52000,32.08000,32.19000,35906700
1486564200,32.20000,32.96000,31.90000,32.38000,15233600
1486650600,32.38000,32.85000,32.19000,32.25000,9257600
1486737000,32.00000,32.50000,31.92000,32.19000,13823800
1486996200,33.43000,34.95000,33.25000,34.00000,22869900
1487082600,33.83000,35.08000,33.65000,34.90000,16688100
1487169000,34.94000,37.02000,34.92000,36.77000,21671000
1487255400,36.40000,36.59000,35.52000,35.81000,14532800
1487341800,35.82000,36.01000,35.17000,35.20000,7883800
1487687400,37.47000,37.94000,36.10000,36.65000,25866500
1487773800,36.50000,36.69000,35.96000,35.97000,6933500
1487860200,35.83000,36.20000,35.67000,35.82000,6348800
1487946600,35.80000,35.91000,35.27000,35.38000,6115400
1488205800,35.40000,35.88000,35.22000,35.75000,5735100
1488292200,35.25000,35.48000,34.86000,35.02000,6448700
1488378600,35.51000,35.64000,34.92000,35.01000,7782300
1488465000,34.75000,35.01000,34.66000,34.80000,5054300
1488551400,34.97000,35.05000,34.47000,34.70000,6850600
1488810600,34.43000,34.49000,33.31000,33.39000,11790100
1488897000,33.39000,33.39000,32.55000,33.18000,9297700
1488983400,33.45000,33.55000,32.70000,32.83000,7743100
1489069800,32.96000,33.34000,32.78000,32.96000,7186400
1489156200,33.35000,33.54000,33.07000,33.39000,4234300
1489411800,33.52000,33.54000,32.92000,33.30000,3987000
1489498200,33.13000,33.74000,33.07000,33.65000,5186200
1489584600,33.84000,34.52000,33.80000,34.34000,9118200
1489671000,34.19000,34.38000,33.65000,33.93000,4717700
1489757400,33.97000,34.09000,33.64000,33.64000,4486600
1490016600,33.69000,33.75000,33.39000,33.59000,4477400
1490103000,33.56000,33.68000,32.35000,32.53000,9261800
1490189400,32.60000,32.68000,32.16000,32.61000,5526300
1490275800,32.71000,33.25000,32.65000,32.73000,4850900
1490362200,32.71000,32.85000,32.34000,32.76000,4130400
1490621400,32.36000,33.19000,32.26000,33.03000,5676600
1490707800,33.00000,33.20000,32.79000,32.96000,4598200
1490794200,32.95000,33.24000,32.84000,33.05000,4336800
