time,open,high,low,close,tick_volume
1472477400,38.11000,38.28000,37.87000,38.09000,3373200
1472563800,38.19000,38.34000,38.07000,38.33000,2919500
1472650200,38.42000,38.51000,38.05000,38.50000,4281100
1472736600,38.60000,38.65000,37.97000,38.32000,3889900
1472823000,38.17000,38.55000,38.17000,38.49000,3003200
1473168600,38.39000,38.48000,37.78000,37.85000,4288400
1473255000,37.77000,37.92000,37.61000,37.86000,8663400
1473341400,37.92000,38.27000,37.77000,38.23000,4240900
1473427800,38.16000,38.47000,38.08000,38.20000,7638500
1473687000,38.09000,38.81000,37.92000,38.71000,7196400
1473773400,38.24000,38.39000,37.49000,37.77000,6176200
1473859800,37.73000,37.84000,37.37000,37.43000,3954800
1473946200,37.27000,38.18000,37.15000,38.11000,5070500
1474032600,37.84000,37.95000,37.60000,37.84000,5540700
1474291800,38.09000,38.38000,37.92000,38.08000,3184800
1474378200,38.38000,38.39000,37.89000,37.95000,3043300
1474464600,38.20000,38.45000,37.92000,38.27000,4215900
1474551000,38.43000,38.48000,38.02000,38.14000,4892600
1474637400,38.03000,38.41000,37.87000,37.87000,6215300
1474896600,37.57000,37.67000,36.99000,37.03000,5744300
1474983000,36.93000,37.44000,36.80000,37.40000,4250900
1475069400,37.45000,37.67000,37.25000,37.65000,3133900
1475155800,37.51000,37.99000,37.13000,37.28000,4157400
1475242200,37.54000,37.90000,37.34000,37.72000,4264500
1475501400,37.58000,37.84000,37.44000,37.61000,2513600
1475587800,37.72000,38.35000,37.42000,38.28000,10280200
1475674200,38.50000,38.99000,38.38000,38.84000,6977400
1475760600,38.88000,39.01000,38.60000,38.96000,3793900
1475847000,38.94000,39.05000,38.49000,38.89000,3702300
1476106200,39.23000,39.26000,39.02000,39.19000,3282200
1476192600,39.06000,39.42000,38.66000,38.75000,7485200
1476279000,38.79000,39.00000,38.66000,38.71000,4066900
1476365400,38.33000,38.34000,37.55000,37.87000,4525400
1476451800,38.40000,38.48000,37.64000,37.89000,7965900
1476711000,37.95000,38.03000,37.40000,37.43000,4684500
1476797400,37.79000,37.97000,37.45000,37.89000,4850500
1476883800,38.32000,38.97000,37.61000,38.77000,9843000
1476970200,38.88000,39.19000,38.50000,38.96000,7822300
1477056600,38.61000,38.93000,38.49000,38.80000,5636300
1477315800,39.03000,39.18000,38.91000,38.92000,4018700
1477402200,38.84000,39.12000,38.74000,38.88000,3450300
1477488600,38.76000,39.21000,38.71000,39.06000,4143300
1477575000,39.29000,39.63000,39.18000,39.33000,4423600
1477661400,39.39000,39.43000,38.89000,39.15000,5242700
1477920600,39.31000,39.49000,39.19000,39.20000,3511500
1478007000,39.30000,39.43000,38.68000,39.03000,5341300
1478093400,38.82000,38.91000,38.43000,38.62000,5572800
1478179800,38.72000,38.98000,38.43000,38.51000,5870700
1478266200,38.57000,38.71000,38.23000,38.25000,4514600
1478529000,39.00000,39.34000,38.88000,39.34000,5678000
1478615400,39.02000,39.09000,38.70000,38.88000,5386400
1478701800,39.47000,40.89000,39.24000,40.61000,10663800
1478788200,41.15000,42.12000,41.08000,41.42000,14267600
1478874600,41.32000,42.00000,41.25000,41.85000,10197300
1479133800,42.00000,43.20000,41.96000,42.85000,9672100
1479220200,42.44000,42.98000,41.95000,42.98000,8574200
1479306600,41.60000,43.16000,41.60000,42.82000,9903100
1479393000,42.91000,44.11000,42.84000,44.01000,9424900
1479479400,44.00000,44.55000,43.81000,44.49000,7578100
1479738600,44.60000,44.73000,44.30000,44.62000,5704900
1479825000,44.70000,44.88000,44.19000,44.50000,6328800
1479911400,44.61000,44.86000,44.38000,44.61000,4201100
1480084200,44.61000,44.72000,44.51000,44.65000,1936200
1480343400,44.38000,44.57000,43.99000,44.04000,4308200
1480429800,44.14000,44.33000,43.99000,44.15000,3170500
1480516200,44.60000,45.31000,44.59000,45.25000,6956900
1480602600,45.34000,46.15000,45.12000,45.84000,7133000
1480689000,45.75000,45.76000,45.04000,45.21000,4719000
1480948200,45.66000,45.84000,45.40000,45.53000,5334700
1481034600,45.76000,46.03000,45.49000,46.00000,4213900
1481121000,46.00000,46.54000,45.71000,46.49000,4449900
1481207400,46.65000,47.30000,46.62000,46.98000,5620400
1481293800,46.86000,47.25000,46.35000,47.25000,5052100
1481553000,46.98000,47.62000,46.74000,46.87000,4758700
1481639400,47.08000,47.29000,46.71000,47.06000,3967700
1481725800,46.59000,47.47000,46.37000,46.78000,7596300
1481812200,47.01000,47.37000,46.62000,46.96000,4495700
1481898600,47.19000,47.32000,46.54000,46.59000,5081800
1482157800,46.64000,46.88000,46.41000,46.86000,2754700
1482244200,47.14000,47.65000,47.06000,47.65000,3107400
1482330600,47.80000,47.85000,47.20000,47.40000,3552900
1482417000,47.33000,47.45000,47.05000,47.31000,3573100
1482503400,47.39000,47.56000,47.19000,47.54000,2635100
1482849000,47.58000,47.76000,47.51000,47.71000,1869200
1482935400,47.73000,47.76000,47.11000,47.20000,2716000
1483021800,47.22000,47.27000,46.54000,46.72000,2811500
1483108200,46.95000,47.13000,46.72000,47.02000,3467500
1483453800,47.45000,47.64000,46.69000,46.98000,5674200
1483540200,47.08000,47.42000,47.00000,47.34000,4539800
1483626600,47.15000,47.40000,46.53000,46.73000,3619500
1483713000,46.95000,47.14000,46.66000,47.04000,3374500
1483972200,46.85000,47.05000,46.51000,46.73000,3289100
1484058600,46.77000,47.14000,46.51000,46.66000,4964300
1484145000,46.50000,46.79000,46.37000,46.77000,9262600
1484231400,46.60000,46.75000,46.13000,46.34000,6288700
1484317800,46.62000,47.18000,46.41000,46.52000,4145500
1484663400,46.14000,46.14000,45.42000,45.56000,8281700
1484749800,45.71000,46.26000,45.29000,46.20000,7225700
1484836200,46.06000,46.12000,44.81000,45.29000,7012100
1484922600,45.48000,45.90000,45.24000,45.42000,4466700
1485181800,45.32000,45.75000,45.15000,45.40000,4494500
1485268200,45.64000,46.26000,45.42000,45.96000,5619200
1485354600,46.57000,47.02000,46.36000,46.98000,4992700
1485441000,47.02000,47.34000,46.88000,47.22000,4147800
1485527400,47.00000,47.25000,46.85000,46.97000,3339300
1485786600,46.56000,46.79000,45.99000,46.48000,4738400
1485873000,46.25000,46.62000,45.98000,46.19000,4107400
1485959400,46.61000,46.88000,45.85000,45.95000,5641300
1486045800,45.61000,45.95000,45.41000,45.81000,3461600
1486132200,46.68000,46.84000,46.15000,46.61000,5359800
1486391400,46.23000,46.73000,46.14000,46.43000,3214500
1486477800,46.64000,46.67000,46.30000,46.39000,3458400
1486564200,45.65000,45.89000,45.50000,45.79000,4193500
1486650600,45.98000,46.50000,45.75000,46.41000,3796200
1486737000,46.65000,46.75000,46.39000,46.63000,2814300
1486996200,46.75000,47.43000,46.75000,46.98000,6355200
1487082600,47.05000,47.93000,46.93000,47.87000,4474100
1487169000,48.01000,48.36000,47.76000,48.26000,4298000
1487255400,48.13000,48.25000,47.61000,48.00000,3938300
1487341800,47.65000,47.96000,47.41000,47.96000,2635800
1487687400,48.11000,48.32000,47.76000,47.99000,3044400
1487773800,47.60000,48.43000,47.55000,48.15000,2889400
1487860200,48.20000,48.53000,47.73000,48.53000,4300800
1487946600,48.11000,48.47000,47.88000,48.11000,5928700
1488205800,48.04000,48.37000,48.01000,48.18000,5541200
1488292200,47.83000,48.33000,47.82000,48.22000,4610600
1488378600,49.15000,49.88000,49.10000,49.70000,5426600
1488465000,49.67000,49.70000,48.53000,48.56000,4128500
1488551400,48.53000,48.81000,48.48000,48.64000,4560100
1488810600,48.22000,48.39000,47.92000,48.23000,3688200
1488897000,48.08000,48.36000,47.90000,47.93000,3744500
1488983400,48.57000,48.66000,47.94000,48.00000,4060600
1489069800,48.15000,48.61000,47.99000,48.08000,4119800
1489156200,48.35000,48.43000,47.49000,47.71000,4827900
1489411800,47.70000,47.93000,47.57000,47.68000,3492600
1489498200,47.36000,47.61000,47.01000,47.53000,3294900
1489584600,47.81000,47.97000,46.90000,47.02000,5658600
1489671000,47.30000,47.64000,47.15000,47.31000,5887500
1489757400,47.36000,47.48000,46.69000,46.83000,7872100
1490016600,46.71000,46.78000,46.20000,46.23000,4607200
1490103000,46.54000,46.60000,43.87000,44.00000,8864100
1490189400,43.77000,44.35000,43.10000,44.09000,5919000
1490275800,44.02000,44.72000,43.85000,44.32000,5540100
