time,open,high,low,close,tick_volume
1472477400,152.28000,154.11000,152.17000,153.50999,986700
1472563800,153.80000,154.03999,152.06000,153.16000,966500
1472650200,153.17000,153.39999,151.56000,152.19000,1053800
1472736600,152.64999,152.83000,150.39999,150.95000,1306000
1472823000,151.23000,151.84000,150.67000,151.17999,1104200
1473168600,151.25000,151.39000,150.67000,151.00000,1498000
1473255000,150.63000,151.42999,150.28999,150.50000,1527300
1473341400,150.39999,151.24001,150.38000,150.64999,1399400
1473427800,148.09000,148.52000,143.67999,143.67999,2995200
1473687000,143.19000,146.75999,143.00999,146.39999,1932500
1473773400,145.25000,145.86000,143.11000,145.14999,1933900
1473859800,145.00999,147.87000,145.00999,147.85001,3221700
1473946200,148.37000,150.81000,147.95000,150.00000,2085500
1474032600,150.17000,150.39000,148.95000,150.05000,1985500
1474291800,150.17999,151.28000,149.91000,150.00000,1058900
1474378200,151.37000,152.53000,150.46001,151.62000,1488200
1474464600,152.46001,155.62000,152.12000,155.42000,1791200
1474551000,156.41000,158.11000,155.67999,157.66000,1599000
1474637400,156.85001,158.14999,156.71001,157.66000,1626200
1474896600,156.98000,156.98000,155.61000,156.16000,1650500
1474983000,156.45000,159.02000,155.83000,158.88000,1874200
1475069400,159.09000,159.09000,157.14000,158.64000,946700
1475155800,158.63000,159.27000,155.34000,156.06000,1473900
1475242200,156.70000,159.53000,156.70000,159.06000,1985900
1475501400,157.95000,159.22000,157.57001,159.12000,1304500
1475587800,158.98000,159.44000,156.47000,157.57001,1124700
1475674200,158.41000,158.80000,157.67999,158.28000,1171500
1475760600,158.50999,158.50999,157.21001,158.44000,998100
1475847000,159.00000,159.00000,157.00000,158.21001,1087000
1476106200,159.24001,160.10001,158.55000,159.11000,927800
1476192600,156.00000,156.59000,153.78999,154.89999,2697500
1476279000,154.99001,155.25999,153.59000,153.80000,1088600
1476365400,152.75000,153.14000,151.11000,152.03000,2191800
1476451800,152.89000,152.92999,151.50000,151.71001,1477900
1476711000,151.85001,151.85001,150.30000,150.78000,1614000
1476797400,152.19000,152.32001,151.06000,151.67000,1727300
1476883800,151.11000,152.03000,151.00999,151.80000,1859500
1476970200,151.81000,152.12000,151.09000,151.66000,2005200
1477056600,150.70000,150.78999,149.75999,150.66000,1589500
1477315800,151.73000,153.39999,150.96001,153.11000,2098500
1477402200,149.35001,150.66000,147.75000,147.97000,2431300
1477488600,147.17000,148.14000,146.14999,148.03999,3958100
1477575000,151.99001,153.28000,148.53000,149.22000,2999800
1477661400,149.50000,149.74001,147.03999,147.21001,1805900
1477920600,147.45000,148.41000,146.96001,147.03000,1345800
1478007000,148.00000,148.00000,144.34000,146.02000,1900600
1478093400,145.75999,146.96001,145.52000,145.80000,1791000
1478179800,145.83000,146.85001,145.70000,146.08000,1821200
1478266200,146.21001,147.67999,146.21001,146.57001,1365700
1478529000,148.88000,152.39000,148.17000,151.81000,2027200
1478615400,151.41000,154.03999,150.58000,152.56000,1620000
1478701800,154.64000,157.02000,149.45000,152.05000,2441500
1478788200,153.80000,155.60001,152.87000,154.35001,2247900
1478874600,153.39000,153.59000,150.66000,151.25000,1766300
1479133800,152.52000,153.05000,147.73000,148.02000,2517100
1479220200,148.49001,149.05000,147.06000,148.66000,2114300
1479306600,148.88000,150.12000,148.63000,149.49001,1591500
1479393000,149.59000,149.87000,148.42000,148.88000,1552100
1479479400,148.77000,149.20000,145.63000,145.81000,2631700
1479738600,146.49001,146.50000,144.74001,146.17000,2975500
1479825000,146.55000,146.55000,141.75000,143.00000,3277500
1479911400,142.10001,143.61000,141.46001,143.50999,2582700
1480084200,143.47000,144.21001,142.72000,144.17999,803900
1480343400,142.94000,143.38000,139.53000,140.32001,3667300
1480429800,140.70000,142.00000,139.74001,141.27000,2576600
1480516200,142.03000,142.42000,139.94000,140.11000,2166600
1480602600,140.47000,140.66000,139.07001,139.63000,2703400
1480689000,139.60001,143.16000,139.32001,141.91000,3166100
1480948200,143.05000,144.85001,141.14000,141.38000,2920800
1481034600,141.57001,144.42000,141.28000,143.59000,3759200
1481121000,142.88000,142.92000,140.06000,141.85001,2413500
1481207400,141.78000,143.78000,140.99001,143.07001,1819400
1481293800,143.81000,145.64999,143.75000,145.41000,1620400
1481553000,144.27000,146.05000,144.27000,145.17999,1390800
1481639400,145.56000,146.48000,145.21001,145.89999,1254300
1481725800,145.57001,146.03000,143.23000,143.80000,1657300
1481812200,144.00000,144.33000,142.87000,143.50000,1849300
1481898600,143.48000,145.31000,142.25000,142.53999,2710500
1482157800,142.34000,143.41000,140.72000,141.25000,1591400
1482244200,141.58000,142.59000,140.71001,141.80000,1871300
1482330600,141.74001,141.80000,140.42000,140.77000,1502600
1482417000,140.95000,141.09000,139.88000,140.52000,1191100
1482503400,140.85001,141.99001,139.88000,141.84000,1047700
1482849000,142.17000,143.19000,141.87000,142.41000,879500
1482935400,142.56000,142.78000,141.11000,141.22000,1015300
1483021800,141.00999,142.38000,141.00000,141.48000,771600
1483108200,142.16000,142.34000,140.45000,141.10001,1063200
1483453800,142.39000,143.83000,142.23000,143.67000,1966400
1483540200,143.95000,146.06000,143.28999,145.16000,2167200
1483626600,145.38000,145.77000,144.78000,145.38000,1683500
1483713000,145.28000,147.49001,145.14000,147.27000,2016200
1483972200,147.00999,148.64000,147.00999,147.49001,1967200
1484058600,147.80000,149.32001,147.30000,147.78000,1806600
1484145000,147.78999,148.33000,143.87000,146.22000,2764300
1484231400,146.17999,146.99001,145.13000,145.97000,2239600
1484317800,146.09000,147.03000,145.52000,146.28999,1839600
1484663400,145.67000,145.87000,144.55000,145.05000,1651500
1484749800,145.84000,146.00000,143.56000,144.66000,1377100
1484836200,144.38000,144.72000,143.44000,144.32001,1435900
1484922600,144.91000,145.14000,143.32001,143.50999,1750000
1485181800,143.16000,144.42000,142.57001,142.78999,1508600
1485268200,143.23000,143.66000,140.00000,140.98000,2988500
1485354600,141.50000,143.02000,140.77000,142.42999,2224900
1485441000,142.52000,143.47000,141.97000,143.10001,2934000
1485527400,144.00999,145.86000,143.75999,145.45000,2107800
1485786600,145.53000,145.56000,142.66000,143.28999,3158600
1485873000,146.64999,152.50000,146.08000,152.39000,5340700
1485959400,152.27000,155.10001,151.48000,152.94000,3601900
1486045800,152.41000,152.41000,150.23000,151.67000,1751200
1486132200,152.14999,152.37000,150.39000,151.42999,1817100
1486391400,151.06000,152.14999,150.42000,152.08000,1624900
1486477800,152.12000,153.20000,151.78999,153.00999,1479300
1486564200,152.38000,154.23000,151.69000,153.50000,1467100
1486650600,153.50000,155.27000,153.38000,154.74001,1505000
1486737000,154.67999,155.49001,154.27000,154.89000,1482900
1486996200,155.00000,156.80000,154.49001,156.35001,1635900
1487082600,155.94000,157.33000,155.42000,157.28000,1429700
1487169000,156.49001,158.37000,156.48000,158.25999,1423300
1487255400,158.00999,158.55000,157.44000,157.71001,1252700
1487341800,157.62000,159.30000,157.39000,158.64000,1207400
1487687400,158.64000,159.41000,157.96001,158.63000,1242200
1487773800,158.34000,159.10001,157.69000,158.02000,1283000
1487860200,158.59000,159.12000,157.70000,158.73000,1124900
1487946600,158.34000,158.98000,157.58000,158.98000,832800
1488205800,158.36000,159.28999,158.02000,158.48000,1220200
1488292200,158.20000,159.25000,157.52000,157.67999,1674200
1488378600,159.47000,160.89000,158.91000,159.82001,1722600
1488465000,160.00000,160.00000,158.98000,159.20000,1414300
1488551400,158.72000,160.42000,158.66000,160.16000,1204000
1488810600,158.71001,159.28999,157.55000,157.71001,1413400
1488897000,156.99001,157.94000,156.59000,157.25999,1166700
1488983400,157.39000,157.96001,156.64000,157.50000,1105400
1489069800,157.72000,158.24001,157.08000,157.78000,1102500
1489156200,158.17999,159.47000,158.14999,159.33000,1206300
1489411800,159.31000,159.31000,157.66000,159.03999,1324300
1489498200,158.49001,158.70000,157.96001,158.34000,1036500
1489584600,158.59000,161.66000,158.36000,161.05000,2548200
1489671000,158.03000,159.50000,156.85001,158.02000,3208700
1489757400,158.53999,159.09000,156.38000,157.89000,2654100
1490016600,158.14000,158.39999,156.36000,156.74001,1280600
1490103000,157.47000,157.70000,154.36000,155.53999,1593400
1490189400,155.78999,156.50000,154.33000,155.33000,1309600
1490275800,155.30000,155.95000,154.02000,154.64999,1643400
1490362200,154.42999,155.67000,153.69000,154.03999,1939000
1490621400,153.44000,155.35001,152.61000,154.59000,1418600
1490707800,154.64000,155.38000,153.53999,154.64000,1113900
1490794200,154.35001,154.59000,152.94000,153.98000,1075000
1490880600,154.10001,154.71001,153.45000,153.91000,1054200
1490967000,153.39000,154.14999,153.22000,153.60001,1219100
1491226200,153.60001,155.21001,153.50000,154.58000,2084800
1491312600,154.47000,154.96001,152.50999,152.72000,2701200
1491399000,153.27000,154.09000,152.63000,152.75999,2013000
1491485400,152.78000,153.52000,152.20000,152.95000,2431000
1491571800,153.07001,153.71001,152.57001,153.11000,1323700
1491831000,153.22000,154.75999,153.22000,153.45000,1019600
1491917400,152.89000,153.69000,151.91000,152.87000,986000
1492003800,152.86000,152.95000,151.74001,152.46001,1253700
1492090200,151.94000,152.96001,151.77000,152.17999,934600
1492435800,152.77000,153.92000,152.33000,153.70000,1274500
1492522200,153.03999,153.88000,152.30000,153.27000,886600
1492608600,153.97000,154.66000,152.92000,154.46001,1291100
1492695000,154.77000,155.86000,153.82001,155.36000,1592700
1492781400,155.27000,155.83000,154.59000,155.03999,1992300
1493040600,156.53000,157.64000,156.03000,157.34000,1198300
1493127000,158.42999,159.42999,158.12000,158.81000,2171300
1493213400,162.13000,168.12000,160.99001,168.00999,4182900
1493299800,168.67999,168.75999,166.00000,166.70000,2287900
1493386200,166.53000,166.60001,164.77000,165.33000,1507000
1493645400,166.37000,167.53999,166.02000,166.62000,1431200
1493731800,166.60001,167.50000,165.75000,167.25000,1561700
1493818200,167.25000,168.61000,166.91000,168.32001,1785200
1493904600,168.36000,170.24001,168.11000,170.12000,1247400
1493991000,170.08000,171.14999,169.64000,171.06000,1681300
1494250200,171.42999,171.67000,169.78999,170.39000,3636100
