time,open,high,low,close,tick_volume
1472477400,46.64000,47.18000,46.50000,46.73000,2613200
1472563800,46.81000,46.99000,45.98000,46.10000,2569200
1472650200,46.00000,46.46000,45.82000,46.34000,2432800
1472736600,46.41000,46.94000,46.21000,46.25000,2643500
1472823000,46.75000,47.30000,46.71000,47.29000,2542400
1473168600,47.15000,47.38000,46.80000,47.21000,2507800
1473255000,46.98000,47.07000,46.44000,46.73000,2894600
1473341400,46.64000,46.95000,46.42000,46.71000,2426500
1473427800,46.09000,46.44000,44.62000,44.64000,3543700
1473687000,44.50000,46.13000,44.35000,45.93000,3798700
1473773400,45.70000,45.95000,44.74000,45.34000,3797000
1473859800,45.35000,46.29000,45.32000,45.87000,3981400
1473946200,46.00000,47.46000,45.89000,47.18000,2894600
1474032600,47.06000,47.67000,46.32000,46.55000,5424600
1474291800,46.61000,46.73000,45.73000,45.93000,1935900
1474378200,46.25000,46.25000,44.49000,44.50000,5297700
1474464600,45.01000,46.04000,44.60000,45.88000,3909800
1474551000,46.14000,47.11000,45.72000,47.03000,3308800
1474637400,46.98000,47.44000,46.85000,47.29000,2678900
1474896600,46.77000,47.12000,46.65000,46.92000,2069700
1474983000,46.89000,47.27000,46.68000,46.90000,3388500
1475069400,46.78000,46.96000,46.41000,46.81000,1720800
1475155800,46.71000,46.84000,46.22000,46.46000,2458500
1475242200,46.46000,47.22000,46.19000,46.72000,3805900
1475501400,46.54000,47.11000,46.29000,46.88000,2103500
1475587800,46.77000,47.25000,46.63000,46.75000,3490900
1475674200,46.94000,46.94000,46.02000,46.07000,2371700
1475760600,45.90000,46.10000,45.26000,45.50000,3072600
1475847000,45.74000,45.74000,44.91000,45.27000,2932600
1476106200,45.30000,46.23000,45.20000,46.15000,2227000
1476192600,46.18000,46.18000,45.22000,45.61000,1986100
1476279000,45.61000,46.15000,45.52000,46.03000,1394900
1476365400,45.59000,46.03000,45.07000,46.01000,3005400
1476451800,46.05000,47.00000,45.90000,46.23000,2231000
1476711000,46.09000,46.54000,46.04000,46.52000,1700100
1476797400,46.91000,47.52000,46.85000,47.35000,2836000
1476883800,47.09000,47.39000,46.77000,47.32000,2955700
1476970200,47.03000,47.15000,46.49000,47.05000,2373000
1477056600,46.86000,47.28000,46.58000,46.75000,5837900
1477315800,48.32000,51.35000,48.32000,51.19000,21198300
1477402200,51.17000,51.65000,49.43000,49.60000,11909500
1477488600,49.68000,50.40000,49.35000,49.50000,11194000
1477575000,49.55000,49.75000,48.95000,49.50000,4161600
1477661400,49.24000,49.97000,49.08000,49.35000,3227800
1477920600,49.63000,50.01000,49.32000,49.73000,3529000
1478007000,49.68000,49.82000,48.83000,49.29000,2804400
1478093400,49.25000,49.77000,48.76000,49.18000,3279600
1478179800,49.27000,49.91000,49.21000,49.52000,4088300
1478266200,48.79000,50.59000,48.79000,49.35000,3261000
1478529000,50.39000,50.88000,50.00000,50.35000,3851400
1478615400,50.46000,50.75000,50.15000,50.46000,1867900
1478701800,49.19000,53.09000,49.05000,53.01000,7569500
1478788200,53.00000,53.15000,51.00000,52.18000,10527700
1478874600,52.02000,52.91000,51.54000,52.54000,3596300
1479133800,51.87000,53.91000,51.87000,52.92000,6746800
1479220200,52.94000,53.62000,52.41000,53.46000,4366200
1479306600,52.64000,52.94000,52.13000,52.73000,4223300
1479393000,52.62000,53.51000,52.49000,53.39000,2805800
1479479400,53.13000,53.75000,53.09000,53.59000,1768400
1479738600,53.50000,53.97000,53.10000,53.72000,3442200
1479825000,53.65000,54.66000,53.65000,54.24000,3741100
1479911400,54.19000,54.69000,53.30000,54.34000,4273300
1480084200,54.30000,54.93000,54.12000,54.59000,1381000
1480343400,54.68000,55.03000,54.02000,54.98000,4237000
1480429800,54.98000,55.84000,54.78000,55.39000,3816900
1480516200,55.46000,56.09000,54.21000,54.21000,5207000
