time,open,high,low,close,tick_volume
1472477400,27.45000,27.59000,27.42000,27.50000,879100
1472563800,27.56000,27.71000,27.27000,27.46000,689200
1472650200,27.44000,27.51000,27.30000,27.40000,794000
1472736600,27.37000,27.51000,27.14000,27.34000,1180600
1472823000,27.39000,27.58000,27.22000,27.43000,1195400
1473168600,27.47000,27.55000,27.17000,27.55000,1358200
1473255000,27.44000,27.73000,27.30000,27.42000,755500
1473341400,27.35000,27.37000,27.02000,27.03000,1071600
1473427800,26.88000,27.08000,25.94000,26.00000,1379100
1473687000,25.99000,26.66000,25.87000,26.61000,1370800
1473773400,26.53000,26.58000,26.14000,26.20000,1205800
1473859800,26.27000,26.37000,25.96000,26.10000,895400
1473946200,26.10000,26.66000,26.10000,26.56000,511500
1474032600,26.50000,26.50000,26.10000,26.16000,2032600
1474291800,26.36000,26.79000,26.02000,26.68000,1369500
1474378200,26.87000,27.11000,26.57000,26.86000,1758500
1474464600,27.03000,27.45000,26.91000,27.40000,1092900
1474551000,27.50000,27.85000,27.41000,27.70000,1298400
1474637400,27.55000,28.01000,27.40000,27.96000,1579000
1474896600,27.88000,28.18000,27.73000,27.95000,1242100
1474983000,27.88000,28.23000,27.82000,28.19000,720100
1475069400,28.30000,28.48000,28.09000,28.47000,880700
1475155800,28.39000,28.49000,27.92000,28.12000,876300
1475242200,28.31000,28.72000,28.25000,28.56000,1200200
1475501400,28.51000,28.59000,28.22000,28.38000,976900
1475587800,28.48000,28.62000,28.33000,28.40000,1237300
1475674200,28.54000,28.70000,28.29000,28.64000,1350800
1475760600,28.57000,28.85000,28.36000,28.81000,896800
1475847000,28.89000,28.89000,28.16000,28.47000,1239600
1476106200,28.62000,28.99000,28.58000,28.60000,726000
1476192600,28.67000,28.68000,27.95000,28.15000,863600
1476279000,28.09000,28.45000,27.95000,28.22000,1194400
1476365400,27.96000,28.45000,27.63000,28.42000,1346400
1476451800,28.51000,28.82000,28.42000,28.52000,2282300
1476711000,28.53000,29.03000,28.42000,29.03000,2757600
1476797400,29.33000,29.38000,28.96000,29.30000,1248400
1476883800,29.27000,29.56000,29.09000,29.50000,1395100
1476970200,29.43000,29.70000,29.27000,29.49000,1122900
1477056600,29.30000,29.38000,29.14000,29.31000,683900
1477315800,29.49000,29.79000,29.21000,29.38000,664000
1477402200,29.31000,29.45000,28.61000,28.64000,1331000
1477488600,28.48000,29.10000,28.39000,28.70000,1222900
1477575000,28.57000,28.77000,27.74000,27.84000,1719400
1477661400,27.80000,27.92000,27.36000,27.55000,1978100
1477920600,27.64000,27.80000,27.34000,27.64000,1557500
1478007000,27.70000,27.99000,26.92000,26.98000,2510000
1478093400,26.02000,27.00000,25.67000,25.68000,3551700
1478179800,25.60000,25.99000,25.31000,25.34000,2006400
1478266200,25.35000,26.23000,25.30000,25.87000,2790400
1478529000,26.30000,26.80000,26.16000,26.79000,1937700
1478615400,26.89000,27.15000,26.27000,26.66000,1274700
1478701800,26.57000,27.82000,26.49000,27.49000,4136500
1478788200,27.87000,28.20000,27.13000,27.14000,3313700
1478874600,27.00000,27.56000,26.88000,27.40000,2907500
1479133800,27.50000,28.52000,27.46000,28.48000,2480400
1479220200,28.56000,28.94000,27.80000,28.66000,3489600
1479306600,28.57000,28.78000,27.95000,28.01000,2108400
1479393000,28.14000,28.18000,27.90000,27.95000,857400
1479479400,28.26000,28.26000,27.50000,27.51000,901700
1479738600,27.65000,27.82000,27.44000,27.52000,1382100
1479825000,27.57000,27.70000,27.37000,27.52000,1646000
1479911400,27.41000,28.35000,27.18000,28.29000,1951000
1480084200,28.29000,28.85000,28.02000,28.76000,812600
1480343400,28.60000,28.80000,28.32000,28.43000,1168300
1480429800,28.40000,28.53000,28.29000,28.34000,1413100
1480516200,28.50000,28.61000,28.19000,28.19000,1212000
1480602600,28.23000,28.46000,27.61000,27.67000,1757200
1480689000,27.74000,28.42000,27.74000,28.09000,1419300
1480948200,28.23000,29.20000,28.23000,29.00000,1753800
1481034600,28.91000,29.31000,28.75000,29.23000,1394500
1481121000,29.13000,30.53000,29.08000,30.26000,2598500
1481207400,30.35000,30.53000,29.67000,29.77000,1642700
1481293800,29.80000,29.86000,29.35000,29.39000,975400
1481553000,29.31000,29.57000,28.94000,29.37000,1078400
1481639400,29.45000,29.93000,29.45000,29.89000,1087300
1481725800,29.92000,30.10000,29.65000,29.72000,1638000
1481812200,29.78000,30.48000,29.62000,30.25000,1390500
1481898600,30.40000,30.80000,30.21000,30.59000,3749600
1482157800,30.52000,30.72000,30.23000,30.58000,1009900
1482244200,30.70000,30.79000,30.36000,30.66000,889300
1482330600,30.72000,30.83000,30.45000,30.50000,1308900
1482417000,30.48000,30.63000,30.12000,30.27000,956500
1482503400,30.24000,30.47000,30.24000,30.42000,613400
1482849000,30.45000,30.80000,30.27000,30.73000,424700
1482935400,30.78000,30.85000,30.16000,30.17000,537600
1483021800,30.24000,30.44000,29.99000,30.22000,714700
1483108200,30.40000,30.42000,30.02000,30.15000,943000
1483453800,30.37000,30.81000,30.02000,30.27000,1697700
1483540200,30.30000,31.11000,30.25000,30.97000,1374900
1483626600,30.90000,31.05000,30.38000,30.49000,1415500
1483713000,30.56000,30.60000,30.27000,30.44000,949700
1483972200,30.46000,30.62000,30.16000,30.25000,992500
1484058600,30.26000,30.43000,30.16000,30.31000,1161600
1484145000,30.29000,30.43000,30.18000,30.35000,1102800
1484231400,30.26000,30.62000,29.87000,30.59000,636300
1484317800,30.52000,30.97000,30.11000,30.95000,717400
1484663400,30.84000,30.84000,30.26000,30.33000,806400
1484749800,30.45000,30.80000,30.22000,30.49000,554200
1484836200,30.50000,30.83000,29.87000,29.96000,1065200
1484922600,30.08000,30.24000,29.78000,29.95000,1303700
1485181800,29.80000,29.96000,29.40000,29.55000,1663800
1485268200,29.70000,30.11000,29.51000,29.95000,1505900
1485354600,30.13000,30.38000,29.93000,30.09000,1481500
1485441000,30.05000,30.25000,29.55000,29.77000,1290800
1485527400,29.87000,30.10000,29.73000,29.97000,574500
1485786600,29.43000,29.43000,28.61000,29.34000,1740000
1485873000,29.29000,29.68000,29.08000,29.62000,1108400
1485959400,29.84000,29.91000,29.19000,29.62000,832800
1486045800,29.50000,29.91000,29.40000,29.84000,989600
1486132200,30.00000,30.42000,29.99000,30.26000,780000
1486391400,30.12000,30.20000,29.72000,29.89000,637000
1486477800,29.92000,30.11000,29.74000,30.05000,953200
1486564200,30.01000,30.24000,29.71000,30.24000,1441200
1486650600,30.59000,32.19000,30.59000,31.70000,2153400
1486737000,31.92000,32.06000,31.28000,31.34000,1471600
1486996200,31.36000,31.92000,31.21000,31.41000,1188900
1487082600,31.30000,31.50000,31.02000,31.30000,817600
1487169000,31.26000,31.27000,30.88000,31.00000,985800
1487255400,31.00000,31.03000,30.60000,30.86000,1088600
1487341800,30.59000,31.18000,30.59000,31.18000,1864800
1487687400,31.30000,31.54000,31.20000,31.46000,1034600
1487773800,31.40000,31.46000,31.21000,31.46000,856800
1487860200,31.50000,31.54000,31.20000,31.42000,740600
1487946600,31.07000,31.40000,31.07000,31.40000,632600
1488205800,31.40000,31.49000,31.17000,31.48000,1387800
1488292200,31.40000,31.49000,30.99000,31.03000,1406700
1488378600,31.50000,32.03000,31.23000,32.01000,1302900
1488465000,32.00000,32.02000,31.64000,31.80000,1094800
1488551400,31.71000,31.84000,31.53000,31.80000,827200
1488810600,31.51000,31.75000,31.41000,31.67000,880900
1488897000,31.66000,31.74000,31.34000,31.52000,937900
1488983400,31.66000,31.66000,31.40000,31.57000,943300
1489069800,31.60000,31.70000,31.33000,31.37000,1032100
1489156200,31.61000,31.74000,31.40000,31.48000,1375200
1489411800,31.57000,31.69000,31.12000,31.58000,557600
1489498200,31.45000,31.60000,31.22000,31.51000,501600
1489584600,31.65000,31.97000,31.55000,31.80000,981200
1489671000,31.85000,32.11000,31.69000,31.81000,628000
1489757400,31.88000,31.91000,31.50000,31.72000,2314000
1490016600,31.67000,31.75000,31.39000,31.73000,784100
1490103000,31.91000,31.91000,30.94000,31.05000,1397200
1490189400,30.96000,31.20000,30.85000,31.17000,697800
1490275800,31.18000,31.45000,30.91000,31.24000,746300
1490362200,31.33000,31.74000,31.15000,31.32000,761300
1490621400,30.87000,31.42000,30.87000,31.35000,739900
1490707800,31.35000,31.84000,31.26000,31.71000,707100
1490794200,31.75000,31.79000,31.51000,31.67000,529200
1490880600,31.71000,32.34000,31.70000,32.20000,1004400
1490967000,32.11000,32.16000,31.85000,32.01000,1479900
1491226200,32.07000,32.19000,31.44000,31.75000,991800
1491312600,31.56000,31.88000,31.09000,31.27000,1801400
1491399000,31.44000,31.66000,30.97000,31.00000,1386800
1491485400,31.06000,31.48000,30.90000,31.38000,413500
1491571800,31.29000,31.47000,31.15000,31.21000,697300
1491831000,31.38000,31.68000,31.08000,31.25000,495600
1491917400,31.12000,31.46000,30.92000,31.45000,935000
1492003800,31.39000,31.39000,30.76000,30.84000,649000
1492090200,30.79000,31.07000,30.45000,30.46000,815000
1492435800,30.58000,30.84000,30.53000,30.69000,808100
1492522200,30.55000,30.90000,30.55000,30.87000,594400
1492608600,31.02000,31.18000,30.76000,30.91000,587500
1492695000,31.12000,31.33000,30.82000,31.10000,962800
1492781400,31.19000,31.27000,30.92000,30.95000,1269300
1493040600,31.45000,32.07000,31.22000,32.05000,1091700
1493127000,32.35000,32.92000,32.24000,32.74000,1525400
1493213400,32.75000,32.75000,32.27000,32.34000,763300
1493299800,32.43000,32.73000,32.29000,32.62000,1160100
1493386200,34.04000,35.66000,33.97000,35.43000,4177900
1493645400,35.47000,36.06000,35.43000,35.83000,1563600
1493731800,35.70000,36.15000,35.61000,36.04000,2109700
1493818200,35.72000,36.10000,35.49000,35.61000,1569600
1493904600,35.61000,35.89000,35.44000,35.67000,1193200
1493991000,35.69000,36.02000,35.48000,36.00000,1209800
1494250200,35.92000,36.14000,35.66000,35.91000,1279900
1494336600,35.91000,36.13000,35.60000,35.67000,1058000
1494423000,35.67000,35.89000,35.59000,35.83000,920100
1494509400,35.69000,35.88000,35.31000,35.65000,1016900
1494595800,35.55000,35.69000,35.36000,35.58000,691400
1494855000,35.71000,35.84000,35.46000,35.63000,1088100
1494941400,35.65000,35.72000,35.19000,35.59000,987200
1495027800,35.06000,35.29000,34.41000,34.46000,995500
1495114200,34.24000,34.48000,33.83000,34.35000,1780700
1495200600,34.63000,35.81000,34.37000,35.53000,1355400
1495459800,35.58000,35.90000,34.51000,35.67000,712300
1495546200,35.77000,35.93000,35.42000,35.86000,697200
1495632600,35.98000,36.02000,35.59000,35.69000,534500
1495719000,35.80000,36.03000,35.65000,35.79000,476300
1495805400,35.81000,35.92000,35.61000,35.76000,476300
1496151000,35.67000,35.98000,35.50000,35.86000,405900
1496237400,36.00000,36.28000,35.28000,36.04000,1166000
