time,open,high,low,close,tick_volume
1472477400,28.58000,28.77000,28.56000,28.70000,3143900
1472563800,28.59000,28.69000,28.53000,28.62000,5001800
1472650200,28.76000,28.98000,28.67000,28.74000,4674700
1472736600,28.69000,29.03000,28.63000,28.96000,6066600
1472823000,29.10000,29.21000,29.03000,29.14000,6050200
1473168600,29.51000,29.72000,29.30000,29.49000,6433000
1473255000,30.35000,30.55000,29.78000,29.82000,14429800
1473341400,29.90000,29.92000,29.64000,29.79000,6361600
1473427800,29.30000,29.33000,28.55000,28.59000,8325600
1473687000,28.55000,29.04000,28.20000,28.99000,5844500
1473773400,28.71000,28.78000,28.31000,28.49000,6857800
1473859800,28.52000,28.76000,28.36000,28.62000,5088700
1473946200,28.61000,29.27000,28.61000,29.18000,6305100
1474032600,29.13000,29.22000,28.77000,28.91000,7329300
1474291800,29.91000,30.12000,29.87000,29.93000,7696400
1474378200,30.16000,30.24000,29.89000,29.90000,5763300
1474464600,30.09000,30.56000,30.05000,30.50000,8097200
1474551000,30.76000,30.95000,30.51000,30.66000,5329000
1474637400,30.65000,30.67000,30.02000,30.12000,7959800
1474896600,30.02000,30.07000,29.71000,29.84000,4363300
1474983000,29.80000,30.43000,29.65000,30.40000,5707200
1475069400,30.47000,30.50000,30.13000,30.33000,4125100
1475155800,30.31000,30.65000,30.17000,30.40000,5985800
1475242200,30.29000,30.68000,30.23000,30.59000,5725700
1475501400,30.64000,30.81000,30.57000,30.72000,4198500
1475587800,30.82000,30.92000,30.36000,30.39000,5104800
1475674200,30.67000,30.71000,30.50000,30.53000,6205000
1475760600,30.70000,30.81000,30.38000,30.77000,4099900
1475847000,30.88000,31.21000,30.65000,31.18000,5753400
1476106200,31.19000,31.48000,31.16000,31.28000,7810500
1476192600,30.99000,30.99000,30.51000,30.73000,10157600
1476279000,30.90000,31.41000,30.70000,31.35000,9587000
1476365400,30.93000,30.93000,29.52000,30.53000,17323000
1476451800,31.06000,31.27000,30.57000,30.66000,9822900
1476711000,30.52000,30.76000,30.38000,30.57000,7598400
1476797400,30.91000,30.98000,30.69000,30.86000,5487500
1476883800,30.95000,31.04000,30.66000,30.98000,6733000
1476970200,30.93000,31.15000,30.80000,31.06000,7329800
1477056600,30.92000,31.14000,30.76000,31.08000,3817100
1477315800,31.14000,31.41000,31.08000,31.41000,3768900
1477402200,31.40000,31.62000,31.38000,31.55000,3214700
1477488600,31.19000,31.43000,31.07000,31.21000,4121500
1477575000,31.23000,31.26000,30.75000,30.77000,6243200
1477661400,30.94000,31.10000,30.76000,30.77000,5210800
1477920600,30.93000,31.13000,30.84000,31.10000,3212300
1478007000,31.12000,31.20000,30.48000,30.71000,5815800
1478093400,30.67000,30.73000,30.24000,30.39000,5274700
1478179800,30.35000,30.50000,30.18000,30.28000,4890800
1478266200,30.21000,30.45000,30.02000,30.24000,4431900
1478529000,30.72000,31.38000,30.68000,31.35000,3981800
1478615400,31.20000,31.50000,31.01000,31.34000,4077100
1478701800,30.64000,30.99000,30.31000,30.59000,8996700
1478788200,30.55000,30.55000,29.37000,29.44000,10104300
1478874600,29.06000,30.08000,28.76000,29.93000,7506800
1479133800,29.28000,29.60000,28.81000,28.85000,8551400
1479220200,29.31000,29.44000,28.77000,29.20000,11135600
1479306600,29.09000,29.90000,29.09000,29.86000,8802600
