time,open,high,low,close,tick_volume
1472477400,75.06000,76.15000,75.02000,76.03000,2157100
1472563800,75.88000,75.88000,75.11000,75.43000,1677400
1472650200,75.23000,75.69000,74.98000,75.57000,1775600
1472736600,75.58000,75.60000,74.87000,75.48000,1871600
1472823000,75.54000,76.91000,75.54000,76.44000,2309400
1473168600,76.63000,77.05000,75.23000,76.08000,2999900
1473255000,75.72000,75.95000,74.66000,75.28000,2403700
1473341400,75.02000,75.14000,74.51000,74.70000,2067000
1473427800,74.20000,74.20000,72.26000,72.26000,2882100
1473687000,72.38000,73.97000,72.34000,73.83000,2987300
1473773400,73.70000,74.18000,73.28000,73.37000,2238500
1473859800,73.52000,73.80000,72.88000,73.10000,2633900
1473946200,72.99000,73.71000,72.50000,73.60000,2145700
1474032600,73.38000,73.71000,72.93000,73.25000,8192600
1474291800,73.91000,74.81000,73.48000,74.23000,2876100
1474378200,74.59000,75.00000,74.39000,74.56000,2291800
1474464600,74.46000,75.87000,74.44000,75.69000,2126900
1474551000,75.97000,76.81000,75.81000,76.76000,2245100
1474637400,76.66000,76.93000,76.24000,76.26000,2175200
1474896600,76.20000,76.28000,75.65000,75.88000,1886000
1474983000,75.91000,76.14000,75.37000,75.72000,1986300
1475069400,75.71000,76.10000,75.51000,76.02000,1872500
1475155800,76.17000,76.38000,74.75000,74.83000,3207900
1475242200,75.20000,75.55000,74.42000,74.67000,2591200
1475501400,74.58000,75.24000,74.08000,75.10000,2192800
1475587800,75.13000,75.33000,73.60000,73.67000,2702400
1475674200,73.80000,74.09000,73.03000,73.77000,3206300
1475760600,73.71000,74.65000,73.57000,74.38000,1978900
1475847000,70.48000,70.77000,65.85000,67.75000,19872500
1476106200,69.00000,70.80000,68.60000,70.50000,5460500
1476192600,70.95000,71.96000,70.75000,71.38000,3849500
1476279000,71.38000,71.76000,70.81000,71.56000,2265200
1476365400,71.52000,72.52000,71.20000,72.03000,2904600
1476451800,72.15000,72.88000,71.58000,71.58000,2250600
1476711000,71.70000,72.27000,71.46000,71.55000,1767900
1476797400,72.10000,72.36000,71.54000,71.56000,1691400
1476883800,71.97000,71.97000,70.29000,70.47000,3590000
1476970200,70.55000,71.11000,69.55000,69.81000,2625900
1477056600,69.44000,70.14000,69.17000,69.54000,2679900
1477315800,69.95000,70.27000,69.50000,69.83000,2958100
1477402200,69.64000,69.96000,69.00000,69.04000,2755800
1477488600,69.05000,69.32000,68.55000,68.67000,1872200
1477575000,68.61000,69.41000,67.90000,68.91000,2528600
1477661400,68.95000,70.09000,68.92000,69.74000,2150100
1477920600,69.89000,70.89000,69.60000,70.85000,2468000
1478007000,70.53000,71.62000,70.51000,71.09000,3035700
1478093400,71.16000,71.26000,70.28000,70.31000,2261400
1478179800,70.49000,70.64000,69.89000,69.97000,1805700
1478266200,70.05000,70.19000,66.56000,67.18000,5402900
1478529000,67.82000,69.46000,67.51000,69.39000,3386600
1478615400,69.41000,71.14000,69.23000,70.30000,2727100
1478701800,68.70000,69.93000,66.41000,69.52000,4854600
1478788200,69.60000,70.01000,66.01000,66.24000,3945200
1478874600,66.19000,67.16000,65.21000,66.54000,3897700
1479133800,66.73000,69.06000,66.38000,68.48000,2930800
1479220200,68.74000,69.66000,68.26000,68.80000,3187400
1479306600,68.81000,69.84000,68.65000,69.02000,2241800
1479393000,68.57000,68.57000,64.37000,66.70000,6172100
1479479400,66.44000,68.18000,66.34000,67.36000,3917500
1479738600,67.36000,67.36000,55.72000,57.60000,30092100
1479825000,57.97000,59.93000,57.10000,58.96000,12523800
1479911400,58.78000,59.53000,58.03000,58.66000,6815300
1480084200,58.74000,59.69000,58.74000,59.65000,2783900
1480343400,59.49000,59.74000,58.13000,58.34000,5531600
1480429800,58.28000,59.75000,58.18000,58.96000,5667600
1480516200,59.28000,59.28000,56.80000,56.81000,6788500
1480602600,56.81000,57.18000,55.94000,56.17000,4595200
1480689000,56.86000,57.24000,56.40000,57.05000,3617900
1480948200,57.01000,57.96000,56.84000,57.27000,4349600
1481034600,57.23000,57.87000,56.95000,57.39000,3809100
1481121000,57.58000,59.05000,57.05000,58.82000,4464200
1481207400,59.00000,61.77000,58.88000,61.59000,7665300
1481293800,61.56000,61.94000,60.55000,61.92000,4484000
1481553000,62.01000,63.33000,61.83000,62.15000,3714800
