time,open,high,low,close,tick_volume
1474464600,2.87500,3.04000,2.78000,3.01000,63438000
1474551000,3.10000,3.17000,2.84100,2.89000,22728000
1474637400,2.88500,2.89000,2.68400,2.76600,10587000
1474896600,2.71000,2.84200,2.70000,2.77700,3061000
1474983000,2.83300,3.08480,2.73400,2.99800,10158000
1475069400,3.07300,3.34000,3.00200,3.33900,20565000
1475155800,3.26000,3.31950,2.88000,2.89900,17033000
1475242200,2.93500,3.09500,2.91900,2.92100,9490000
1475501400,2.91200,2.93170,2.61900,2.63800,10804000
1475587800,2.63900,2.72500,2.36300,2.38300,13381000
1475674200,2.44200,2.52000,2.35000,2.47800,9634000
1475760600,2.51200,2.69400,2.46130,2.60800,8553000
1475847000,2.52800,2.64900,2.50200,2.62600,4485000
1476106200,2.57700,2.63700,2.51010,2.52800,3645000
1476192600,2.50600,2.59250,2.35000,2.55200,5394000
1476279000,2.53200,2.69600,2.53200,2.69000,3318000
1476365400,2.64000,2.67300,2.55000,2.59700,2453000
1476451800,2.61100,2.72400,2.60500,2.63600,2229000
1476711000,2.70200,2.72500,2.61400,2.62700,3376000
1476797400,2.62700,2.65080,2.58100,2.58800,1716000
1476883800,2.57500,2.62200,2.52510,2.54600,1116000
1476970200,2.51000,2.66600,2.50500,2.64900,1041000
1477056600,2.65100,2.75000,2.62400,2.74800,2359000
1477315800,2.73800,2.87000,2.70500,2.85200,2728000
1477402200,2.86100,2.94700,2.85680,2.88000,2805000
1477488600,2.89500,2.90900,2.78900,2.81800,1825000
1477575000,2.81600,2.85970,2.54400,2.55200,3674000
1477661400,2.57500,2.67550,2.55000,2.56100,1685000
1477920600,2.60100,2.60100,2.41700,2.51800,1765000
1478007000,2.54400,2.57000,2.50000,2.52400,889000
1478093400,2.50200,2.60000,2.42000,2.44300,1825000
1478179800,2.42600,2.45120,2.20100,2.29000,4019000
1478266200,2.29300,2.41890,2.27900,2.38700,1537000
1478529000,2.41600,2.43400,2.22750,2.29000,2068000
1478615400,2.42600,2.43000,2.25500,2.28000,5774000
1478701800,2.21500,2.35000,2.20000,2.29500,5573000
1478788200,2.39000,2.43400,2.31850,2.34300,5620000
1478874600,2.50100,2.64900,2.40200,2.54500,11264000
1479133800,2.55700,2.73500,2.55000,2.57700,6952000
