time,open,high,low,close,tick_volume
1472477400,54.55000,56.00000,53.20000,53.82000,4455700
1472563800,53.85000,54.93000,53.51000,53.80000,3393300
1472650200,53.99000,54.59000,52.14000,53.62000,2177900
1472736600,53.61000,56.74000,53.60000,54.38000,5952900
1472823000,54.93000,57.74000,54.93000,57.62000,3741000
1473168600,58.24000,60.69000,57.79100,59.18000,7321400
1473255000,60.20000,60.40000,56.31000,56.63000,5303600
1473341400,57.40000,58.45000,56.51000,57.45000,3661100
1473427800,57.00000,58.00000,55.02000,56.00000,4478700
1473687000,55.08000,57.88000,54.58000,56.70000,3497400
1473773400,55.78000,56.75000,53.60000,53.97000,4026100
1473859800,54.97000,55.00000,52.77000,53.12000,2714100
1473946200,53.88000,54.85000,53.26000,54.00000,2284200
1474032600,54.30000,56.99000,53.66000,56.75000,4355300
1474291800,57.54000,59.40000,56.90000,57.28000,4253400
1474378200,57.87000,58.98900,56.60000,56.76000,2233000
1474464600,57.50000,61.85000,56.85000,61.70000,5058300
1474551000,62.45000,66.48000,62.03000,64.92000,8998300
1474637400,64.45000,68.40000,63.80000,64.07000,7570100
1474896600,63.00000,65.68000,62.38000,64.24000,3880300
1474983000,66.00000,68.99000,65.56000,68.22000,7971000
1475069400,70.49000,70.96000,67.44000,68.97000,6732500
1475155800,69.13000,69.90000,68.20000,68.72000,3269900
1475242200,69.50000,69.61000,63.01000,64.36000,7818000
1475501400,62.50000,66.64000,62.43000,65.02000,3766900
1475587800,65.26000,65.73000,60.26000,60.94000,4149400
1475674200,62.09000,63.14000,61.05100,61.47000,2417300
1475760600,60.72000,62.77000,60.07200,60.69000,1921800
1475847000,61.33000,61.98000,59.27000,60.58000,1737300
1476106200,57.63000,58.91000,51.39000,52.02000,8667900
1476192600,54.43000,54.60000,51.34100,52.44000,5416000
1476279000,53.46000,53.59000,50.04000,50.80000,2594600
1476365400,49.87000,49.95000,47.05000,47.24000,9154400
1476451800,47.80000,49.59000,45.68000,46.11000,6714100
1476711000,45.39000,47.21800,44.31000,44.45000,5101600
1476797400,45.89000,48.94000,44.41100,47.77000,6565000
1476883800,48.10000,48.18000,45.50000,46.51000,2969900
1476970200,45.80000,46.94900,43.54000,44.14000,4040700
1477056600,41.00000,43.10000,40.19000,41.06000,18570100
1477315800,42.20000,42.80000,40.64000,40.73000,7135300
1477402200,40.73000,41.63000,38.55000,38.60000,7002500
1477488600,38.42000,40.43000,38.25000,39.24000,5316400
1477575000,39.52000,39.75000,36.72000,37.26000,7109700
1477661400,36.79000,37.70000,34.74000,35.42000,7189300
1477920600,35.41000,36.25000,33.75000,34.12000,8314200
1478007000,35.40000,36.79000,34.71000,35.88000,9924500
1478093400,35.73000,36.37000,33.45000,34.15000,5118300
1478179800,33.87000,34.55000,32.41000,32.60000,7687200
1478266200,34.16000,35.20000,31.50000,31.57000,10045300
1478529000,32.97000,33.10000,30.43000,30.52000,7362300
1478615400,30.60000,31.88000,29.92000,31.41000,6308200
1478701800,30.36000,33.70000,30.30000,31.81000,6409200
1478788200,33.14000,34.00000,30.72000,31.50000,5155100
1478874600,31.08000,32.28000,31.03000,31.56000,2274900
1479133800,31.71000,32.97000,31.21000,31.39000,4079200
1479220200,31.70000,34.85000,31.39000,34.73000,6075200
1479306600,35.39000,37.84000,35.00000,37.05000,10980200
1479393000,37.42000,37.44000,34.75000,35.21000,5879600
1479479400,35.41000,36.88000,34.55000,36.88000,4349000
1479738600,37.51000,38.88000,36.51000,36.80000,7352400
1479825000,37.60000,38.20000,36.80000,37.39000,3628600
1479911400,37.09000,37.85000,35.53000,35.68000,5314400
1480084200,35.68000,35.84000,34.85000,35.07000,1543300
1480343400,34.81000,35.49000,33.72000,33.85000,3233500
1480429800,33.99000,34.29000,32.66000,33.61000,3402500
1480516200,33.00000,35.24000,33.00000,33.92000,3302600
1480602600,33.66000,33.80000,31.54000,31.87000,3880700
1480689000,31.55000,31.74000,30.31000,30.38000,3552000
1480948200,30.89000,31.67000,30.35000,30.73000,3773100
1481034600,30.81000,32.49000,30.81000,32.14000,3771500
1481121000,32.00000,32.87000,30.98000,31.02000,3027000
