time,open,high,low,close,tick_volume
1472477400,38.02000,38.46130,37.70000,37.90000,520620
1472563800,37.74000,37.82000,37.14000,37.36000,633191
1472650200,36.85000,36.95000,35.56000,35.65000,1211708
1472736600,35.54000,35.81000,35.23000,35.70000,640605
1472823000,35.75000,35.75000,34.51000,34.58000,904905
1473168600,34.69000,35.09000,34.43000,34.76000,751348
1473255000,34.86000,35.71000,34.64760,35.58000,1029920
1473341400,35.23000,35.77990,34.89030,35.05000,480753
1473427800,34.69000,34.99000,34.00500,34.01000,731750
1473687000,33.86000,34.86000,33.76130,34.80000,1058864
1473773400,34.34000,34.63000,33.54000,33.89000,663327
1473859800,33.79000,34.37000,33.56000,33.79000,557953
1473946200,33.56000,33.97000,33.36000,33.86000,817903
1474032600,33.84000,34.37700,33.53000,34.21000,1048059
1474291800,34.30000,34.42000,33.75000,33.83000,834715
1474378200,33.90000,34.03000,33.40000,33.46000,755835
1474464600,33.61000,34.44000,33.40000,34.30000,560546
1474551000,34.49000,34.76000,34.33000,34.70000,500236
1474637400,34.76000,34.93500,34.25920,34.28000,454105
1474896600,34.00000,34.04920,33.45000,33.58000,462474
1474983000,33.45000,34.01000,33.16000,33.97000,832673
1475069400,34.05000,34.63000,33.86000,34.37000,977311
1475155800,34.23000,34.68000,33.67000,33.68000,457026
1475242200,33.99000,34.16000,33.64140,33.86000,814210
1475501400,33.63000,34.14000,33.48000,34.05000,814176
1475587800,33.91000,34.29000,33.49000,33.70000,957626
1475674200,33.71000,33.99000,33.34000,33.38000,1140184
1475760600,33.24000,33.26000,32.62800,32.90000,587518
1475847000,33.01000,33.09000,32.67000,32.85000,485301
1476106200,33.40000,33.48900,33.17000,33.27000,626684
1476192600,33.31000,33.85000,33.04000,33.21000,615770
1476279000,33.17000,33.99000,33.10000,33.76000,720596
1476365400,33.23000,33.46000,32.78000,33.39000,588463
1476451800,33.99000,34.20000,33.51000,33.62000,543863
1476711000,33.50000,33.62000,32.69000,32.76000,387916
1476797400,33.17000,33.45000,32.99000,33.31000,516782
1476883800,33.34000,34.16000,33.34000,34.02000,598530
1476970200,33.83000,33.88000,33.29000,33.42000,925543
1477056600,33.15000,33.23000,32.78000,32.96000,870825
1477315800,33.12000,33.40000,32.74520,32.90000,726299
1477402200,28.09000,28.74000,27.57990,28.37000,6816045
1477488600,28.28000,28.37000,27.42000,27.46000,6654762
1477575000,27.64000,27.69000,25.96000,26.49000,3365416
1477661400,26.64000,26.72000,25.91000,25.91000,2192129
1477920600,25.89000,26.14000,25.53000,25.86000,1483557
1478007000,26.01000,26.09840,25.02000,25.51000,1917801
1478093400,25.36000,26.09000,25.18010,25.35000,1637801
1478179800,25.31000,25.70000,24.93000,25.30000,1557421
1478266200,25.22000,25.65000,25.22000,25.61000,1293341
1478529000,25.98000,26.15000,25.82000,25.94000,1151279
1478615400,25.98000,26.12000,25.69000,26.09000,764567
1478701800,25.11000,26.15000,24.63000,25.90000,1353072
1478788200,26.08000,26.73000,25.61000,25.61000,860885
1478874600,25.64000,26.13000,25.45000,25.61000,938829
1479133800,25.73000,25.85000,24.83000,24.88000,1067024
1479220200,25.01000,25.57000,24.80000,25.36000,1148414
1479306600,25.28000,25.42000,24.98000,25.32000,1324180
1479393000,25.48000,25.49000,24.83000,25.27000,803381
1479479400,25.23000,25.23000,23.56500,23.75000,1805063
1479738600,23.84000,24.17900,23.80000,23.80000,1138437
1479825000,23.93000,24.09000,23.51000,24.01000,1845647
1479911400,24.19000,24.23000,23.72120,23.93000,1308133
1480084200,24.10000,24.24000,23.81000,24.14000,479124
1480343400,25.04000,26.63000,24.76000,26.29000,7457436
1480429800,26.77000,26.94000,25.64000,25.86000,3222311
1480516200,25.82000,26.22000,25.66000,25.78000,2199829
1480602600,25.98000,26.52000,25.14000,25.20000,1568197
1480689000,25.30000,25.32000,24.58000,24.77000,1736134
1480948200,24.97000,25.37000,24.90010,25.06000,1712967
1481034600,25.45000,25.52000,25.01000,25.41000,1202357
1481121000,26.65000,27.28000,26.02000,27.03000,6521858
1481207400,28.10000,28.85000,27.44000,28.82000,6932595
1481293800,29.41000,29.53000,28.28000,28.81000,4014148
1481553000,28.90000,29.06000,27.50000,27.61000,3196994
1481639400,27.70000,27.98000,27.17000,27.34000,2908443
1481725800,27.37000,27.40000,26.44000,26.57000,2829072
1481812200,26.79000,26.79000,25.50000,25.80000,3918687
1481898600,25.89000,26.16000,25.45000,25.48000,2964252
1482157800,25.74000,25.80000,25.26000,25.37000,2732523
1482244200,25.48000,25.92000,25.47000,25.69000,3067687
1482330600,25.96000,26.11000,25.48000,26.05000,3754031
1482417000,26.07000,26.16000,25.36000,25.48000,2436328
1482503400,25.63000,25.73330,25.16000,25.23000,1443579
1482849000,25.23000,25.50000,25.11000,25.18000,1686047
1482935400,25.22000,25.34500,24.86000,25.23000,1636145
1483021800,25.28000,25.36000,25.07000,25.12000,1784289
1483108200,25.17000,25.33000,24.92000,25.17000,3574647
1483453800,25.49000,25.85000,25.25000,25.76000,1996889
1483540200,26.00000,26.72000,25.93000,26.57000,2626138
1483626600,26.45000,26.47000,26.03000,26.21000,2523095
1483713000,26.46000,27.07000,26.41000,27.04000,3766342
1483972200,27.47000,27.53000,26.84410,27.02000,2815278
1484058600,27.12000,27.63520,27.06000,27.32000,1711064
1484145000,27.45000,27.48000,26.75000,26.98000,1777648
1484231400,26.91000,26.99000,26.57000,26.84000,1295228
1484317800,26.79000,26.92000,26.11900,26.50000,3140155
1484663400,26.44000,26.47000,25.97000,26.20000,2421022
1484749800,26.23000,26.25000,25.25000,25.35000,2692101
1484836200,25.60000,25.74000,24.90000,25.26000,3873137
1484922600,25.48000,25.54000,24.90000,25.16000,3215910
1485181800,25.19000,25.19000,24.50000,24.96000,3061834
1485268200,25.00000,25.21000,24.91000,25.12000,2384133
1485354600,25.44000,25.78000,25.40000,25.69000,2130101
1485441000,25.78000,26.25000,25.36000,25.50000,1402339
1485527400,25.50000,25.64000,25.10000,25.52000,1902504
1485786600,25.56000,25.59000,24.82470,25.09000,3272822
1485873000,18.78000,20.08000,18.52000,19.22000,56995152
1485959400,19.50000,19.56000,18.76000,18.80000,14794788
1486045800,18.81000,18.81000,18.05000,18.12000,12619956
1486132200,18.25000,18.30000,18.02000,18.19000,6405819
1486391400,18.31000,18.40000,18.10000,18.14000,5215603
1486477800,18.14000,18.28000,17.77000,17.79000,7798742
1486564200,17.80000,18.44000,17.80000,18.30000,6757277
1486650600,18.35000,19.33000,18.33000,19.30000,9276109
1486737000,19.56000,19.56000,18.86000,19.04000,6248292
1486996200,19.25000,19.26220,18.53000,18.65000,4709131
1487082600,18.86000,19.48000,18.85000,19.41000,6272411
1487169000,19.35000,19.91000,19.16000,19.86000,7105346
1487255400,19.94000,19.98000,19.45000,19.63000,4232236
1487341800,19.60000,19.89500,19.50000,19.75000,4778500
1487687400,19.81000,19.91000,19.60000,19.69000,2712461
1487773800,19.77000,20.23000,19.57000,19.78000,3964341
1487860200,19.87000,19.87000,19.57000,19.64000,3442002
1487946600,19.55000,19.88000,19.29500,19.83000,3527261
1488205800,19.45000,19.52000,19.18000,19.28000,4606649
1488292200,19.28000,19.35000,18.50000,18.56000,4603656
1488378600,18.75000,18.80000,18.42000,18.58000,3991225
1488465000,18.58000,19.03000,18.54000,18.96000,2784994
1488551400,18.98000,19.02410,18.52900,18.64000,2660460
1488810600,18.62000,18.64000,18.20000,18.31000,3002323
1488897000,18.25000,18.27000,17.82000,18.11000,4527291
1488983400,18.10000,18.15000,17.73500,17.75000,3671815
1489069800,17.75000,17.76000,17.37000,17.69000,4011954
1489156200,17.75000,18.23830,17.69470,17.75000,3194253
1489411800,17.81000,17.88000,17.51000,17.56000,3275631
1489498200,17.50000,17.70500,17.40000,17.62000,2771116
1489584600,17.67000,17.96000,17.52000,17.83000,2212946
1489671000,17.83000,18.33990,17.67000,18.17000,2747985
1489757400,18.27000,18.29000,17.91000,18.08000,3867386
1490016600,18.08000,18.28000,17.88000,18.26000,2101693
1490103000,18.16000,18.21000,17.27000,17.52000,4760830
1490189400,17.24000,17.53000,17.05000,17.51000,3975465
1490275800,17.47000,17.75000,17.35000,17.44000,2245096
1490362200,18.13000,18.52500,17.97980,18.16000,6698222
1490621400,18.06000,18.52000,17.94500,18.30000,3656977
1490707800,18.36000,18.57000,18.25000,18.49000,2665144
1490794200,18.43000,19.05000,18.30500,18.84000,4788240
1490880600,18.63000,18.74000,18.34000,18.37000,3347198
1490967000,18.40000,18.56000,18.23000,18.30000,2765895
1491226200,18.61000,18.63000,18.01000,18.35000,6416068
1491312600,18.22000,18.25000,17.88000,18.02000,4668607
1491399000,18.08000,19.08000,18.02000,18.56000,7405641
1491485400,18.72000,19.38000,18.60000,19.04000,5056812
