time,open,high,low,close,tick_volume
1557495000,42.00000,45.00000,41.06000,41.57000,186322500
1557754200,38.79000,39.24000,36.08000,37.10000,79442400
1557840600,38.31000,39.96000,36.85000,39.96000,46661100
1557927000,39.37000,41.88000,38.95000,41.29000,36086100
1558013400,41.48000,44.06000,41.25000,43.00000,38115500
1558099800,41.98000,43.29000,41.27000,41.91000,20225700
1558359000,41.19000,41.68000,39.46000,41.59000,29222300
1558445400,42.00000,42.24000,41.25000,41.50000,10802900
1558531800,41.05000,41.28000,40.50000,41.25000,9089500
1558618200,40.80000,41.09000,40.02000,40.47000,11119900
1558704600,41.28000,41.51000,40.50000,41.51000,8786800
1559050200,41.70000,41.80000,40.60000,40.95000,13391600
1559136600,40.52000,40.71000,39.14700,39.94000,14060400
1559223000,40.07000,40.38000,39.50000,39.80000,26451900
1559309400,41.15000,41.57000,39.41000,40.41000,23209800
1559568600,40.74400,41.85000,40.24000,41.25000,16605300
1559655000,42.56000,42.88000,40.70000,42.75000,23432100
1559741400,42.87000,45.66000,42.50000,45.00000,28609600
1559827800,45.00000,45.75000,44.28000,44.92000,16403700
1559914200,44.92000,45.67000,44.13000,44.16000,12654700
1560173400,44.02000,44.59000,42.53000,42.61000,11618700
1560259800,43.22000,43.65000,41.80000,42.45000,9095000
1560346200,42.52000,42.65000,41.71000,42.17000,5965300
1560432600,43.05000,44.35000,42.80000,44.31000,10178900
1560519000,44.75000,44.80000,43.11000,43.23000,7902200
1560778200,43.28000,44.07900,42.93000,43.78000,6557600
1560864600,44.30000,44.89000,43.75000,43.86000,7313600
1560951000,44.46000,45.50000,43.95000,44.86000,10331500
1561037400,45.03000,45.29000,43.51000,43.86000,9567400
1561123800,43.85000,44.14000,43.38000,44.00000,4974000
1561383000,44.00000,44.07000,42.82000,43.09000,5985100
1561469400,43.28000,43.79000,42.44300,43.09000,5753300
1561555800,43.25000,43.40000,42.36000,42.50000,8109100
1561642200,43.35000,45.30000,43.20000,45.13000,20155100
1561728600,45.10000,47.08000,45.08000,46.38000,28657000
1561987800,46.98000,47.04000,44.06000,44.27000,17660500
1562074200,44.55000,44.68000,43.75000,44.00000,11881300
1562160600,44.00000,44.46000,43.79000,44.23000,3380000
1562333400,44.31000,44.55000,43.01000,43.53000,8239500
1562592600,43.59000,43.85000,42.75000,42.95000,9304100
1562679000,43.18000,44.23000,42.98000,44.20000,5251600
