time,open,high,low,close,tick_volume
1472477400,52.48874,52.80405,52.46622,52.78153,418248
1472563800,52.77027,52.89414,52.38739,52.45496,751692
1472650200,52.13964,52.37613,51.99324,52.31982,1006814
1472736600,52.60135,52.96171,52.45496,52.90540,1012853
1472823000,54.61712,55.14640,54.43694,54.76352,2235629
1473168600,54.38063,54.69595,54.20045,54.52703,1151914
1473255000,54.57207,54.62838,54.18919,54.25676,1043578
1473341400,53.84009,54.05405,53.45721,53.49099,1022798
1473427800,53.07433,53.09685,52.27478,52.27478,1049705
1473687000,52.20721,53.00676,52.17342,52.93919,1159550
1473773400,52.31982,52.57883,51.98198,52.11712,1260871
1473859800,52.18468,52.51126,52.01577,52.13964,1296835
1473946200,52.29730,52.81532,52.12838,52.73648,1187078
1474032600,51.90315,51.97072,51.64414,51.82433,929381
1474291800,52.51126,52.66892,52.26352,52.34234,1013563
1474378200,52.36486,52.46622,52.13964,52.16216,826906
1474464600,51.80180,52.26352,51.66667,52.18468,1246752
1474551000,53.47973,53.68243,53.31081,53.43468,1096858
1474637400,53.06306,53.16441,52.90540,52.95045,682162
1474896600,52.48874,52.65766,52.30856,52.53378,632700
1474983000,52.96171,53.42342,52.84910,53.26577,1145342
1475069400,53.64865,53.77252,53.34460,53.69370,1101475
1475155800,53.44595,53.52478,52.83784,53.00676,1015694
1475242200,53.10811,53.61486,53.10811,53.37838,855588
1475501400,53.53604,53.64865,53.35586,53.56982,905849
1475587800,54.39189,54.40315,53.67117,53.77252,1802107
1475674200,53.14189,53.20946,52.81532,52.89414,1016050
1475760600,52.37613,52.81532,52.36486,52.65766,1023775
1475847000,52.30856,52.46622,51.83559,52.25225,1056542
1476106200,52.19595,52.40991,52.08333,52.15090,591852
1476192600,52.18468,52.20721,51.46396,51.59910,1266288
1476279000,51.43018,51.47522,50.83333,50.86712,3238891
1476365400,49.00901,49.49324,48.88514,49.07658,5451787
1476451800,48.70496,49.02027,48.42342,48.42342,2413318
1476711000,48.06306,48.20946,47.90540,47.99549,1189742
1476797400,48.56982,48.56982,48.24324,48.26577,1313796
1476883800,47.98423,48.08559,47.78153,47.81532,851858
1476970200,47.86036,48.19820,47.79279,48.16441,1211143
1477056600,47.73648,47.98423,47.68018,47.90540,1191696
1477315800,47.92793,47.97297,47.64640,47.78153,657919
1477402200,47.74775,47.78153,47.52252,47.64640,1020134
1477488600,47.02703,47.22973,46.93694,47.03829,862870
1477575000,47.29730,47.31982,46.91441,47.01577,721944
1477661400,47.09460,47.24099,46.93694,47.00451,913930
1477920600,46.79054,47.06081,46.74549,46.92567,694594
1478007000,47.56757,47.62387,47.30856,47.46622,2993626
1478093400,47.55630,47.56757,47.26352,47.33108,1314595
1478179800,47.15090,47.18468,46.81306,46.86937,1013563
1478266200,46.83559,46.91441,46.45270,46.48648,1381373
1478529000,46.74549,47.08333,46.66667,47.01577,1040825
1478615400,47.01577,47.47748,47.01577,47.30856,1218691
1478701800,45.87838,46.67793,45.87838,46.50901,1499033
1478788200,44.83108,45.31532,44.40315,45.19144,3631920
1478874600,44.76352,45.21396,44.72973,44.87613,1533310
1479133800,44.35811,44.43694,43.98648,44.26802,1750426
1479220200,44.38063,44.71847,44.32433,44.67342,1402774
1479306600,43.93018,44.24549,43.87387,44.09910,4181947
1479393000,43.85135,44.09910,43.82883,44.04279,1745630
1479479400,43.53604,43.78378,43.44595,43.67117,3679517
1479738600,43.86261,44.12162,43.85135,44.11036,4721851
1479825000,44.13288,44.26802,43.94144,44.13288,1809744
1479911400,43.68243,44.13288,43.68243,44.03153,1422842
1480084200,44.80856,45.01126,44.75225,44.88739,891730
1480343400,44.49324,44.61712,44.29054,44.43694,1196402
1480429800,44.41441,44.57207,44.32433,44.47072,1115328
1480516200,45.91216,45.92342,45.01126,45.02252,2999131
1480602600,44.35811,44.40315,43.90766,44.11036,1767653
1480689000,44.36937,44.80856,44.25676,44.67342,1141879
1480948200,45.20270,45.28153,44.92117,45.20270,2171071
1481034600,44.98874,45.30405,44.56081,44.69595,2524850
1481121000,44.56081,44.95496,44.47072,44.88739,2053944
1481207400,44.21171,44.33559,44.00901,44.07658,1801930
1481293800,44.52703,44.92117,44.49324,44.88739,2203306
1481553000,44.68468,45.03378,44.67342,44.95496,2154110
1481639400,45.68694,46.12613,45.66441,45.93468,1683026
1481725800,45.81081,45.93468,45.29279,45.33784,3569582
1481812200,44.63964,44.68468,44.45946,44.57207,2041867
1481898600,44.80856,44.95496,44.58333,44.70721,1851125
1482157800,45.22522,45.42793,45.03378,45.18018,1379952
1482244200,45.30405,45.55180,45.19144,45.46171,1310599
1482330600,45.39414,45.61937,45.24775,45.29279,1004772
1482417000,45.59685,45.69820,45.39414,45.57433,1443266
1482503400,45.67567,45.72072,45.49549,45.57433,712265
1482849000,45.60811,45.73198,45.50676,45.63063,616094
1482935400,45.32658,45.54054,45.29279,45.34910,748495
1483021800,45.56306,45.75451,45.55180,45.63063,872549
1483108200,45.92342,46.01352,45.74324,45.83333,1000687
1483453800,45.43919,45.69820,45.25901,45.65315,2252767
1483540200,45.86712,46.06982,45.77703,46.05856,1391230
1483626600,46.12613,46.58784,46.09234,46.41892,1465022
1483713000,46.05856,46.17117,46.00225,46.10360,1199333
1483972200,46.12613,46.45270,46.12613,46.38514,979375
1484058600,46.23874,46.23874,46.00225,46.03604,1005305
1484145000,46.21622,46.46396,45.93468,46.34009,1404461
1484231400,46.68919,46.85811,46.58784,46.81306,1657274
1484317800,46.66667,46.85811,46.41892,46.68919,1129802
1484663400,46.70045,46.99324,46.64414,46.85811,1743322
1484749800,46.84685,47.02703,46.77928,46.86937,1527715
1484836200,46.68919,46.86937,46.58784,46.80180,2120899
1484922600,46.92567,47.27478,46.92567,47.24099,1353845
1485181800,47.35360,47.72522,47.30856,47.64640,1247906
1485268200,47.50000,47.81532,47.47748,47.70270,1664201
1485354600,47.78153,47.99549,47.68018,47.95045,1508712
1485441000,45.59685,45.69820,45.39414,45.61937,2888042
1485527400,46.03604,46.29504,45.97973,46.25000,3088464
1485786600,45.70946,46.08108,45.61937,46.05856,3368717
1485873000,46.05856,46.34009,46.04730,46.29504,2817890
1485959400,46.17117,46.48648,45.96847,46.29504,3048682
1486045800,46.45270,46.62162,46.34009,46.35135,4363010
1486132200,46.72297,46.75676,46.47522,46.58784,2452745
1486391400,46.30630,46.40766,46.23874,46.32883,1109378
1486477800,46.81306,47.02703,46.72297,46.93694,2171071
1486564200,47.20721,47.31982,46.99324,47.30856,1720145
1486650600,47.30856,47.57883,47.26352,47.38739,1229525
1486737000,46.85811,47.19595,46.80180,47.03829,917570
1486996200,47.13964,47.20721,46.97072,47.10586,954422
1487082600,47.00451,47.06081,46.68919,46.92567,922987
1487169000,46.77928,47.62387,46.77928,47.48874,1632588
1487255400,47.53378,47.99549,47.46622,47.93919,1586945
1487341800,53.23198,54.97748,51.88063,54.65090,32886014
1487687400,50.10135,50.67567,49.92117,50.52928,9707083
1487773800,52.07207,54.00901,51.80180,52.84910,10130038
1487860200,52.98423,53.37838,52.77027,52.81532,2084935
1487946600,53.17567,53.24324,52.83784,53.06306,1308734
1488205800,53.45721,53.86261,53.35586,53.68243,2281272
1488292200,53.51352,53.79504,53.43468,53.46847,2172137
1488378600,53.51352,53.79504,53.49099,53.55856,1376222
1488465000,52.98423,53.45721,52.95045,53.24324,1758418
1488551400,53.25451,53.69370,52.99549,53.63739,1536684
1488810600,53.47973,53.64865,53.37838,53.59234,1196047
1488897000,53.71622,53.89640,53.56982,53.72748,978132
1488983400,53.44595,53.72748,53.37838,53.55856,1913196
1489069800,54.30180,54.89865,54.21171,54.75225,2545008
1489156200,55.15766,55.48423,55.05630,55.33784,1551070
1489411800,55.04504,55.22522,54.83108,54.93243,898922
1489498200,55.15766,55.56306,55.09009,55.13514,1148539
1489584600,55.11261,56.10360,54.95496,55.92342,1721654
1489671000,56.27252,56.43018,56.10360,56.31757,1301719
1489757400,56.49775,56.55405,56.19370,56.21622,1306603
1490016600,56.67793,56.76802,56.46396,56.53153,1023686
1490103000,56.88063,56.94820,56.32883,56.35135,1824307
1490189400,56.56532,56.63288,56.30630,56.47522,1326850
1490275800,56.27252,56.70045,56.23874,56.31757,1555332
1490362200,56.74549,56.77928,56.35135,56.49775,918814
1490621400,56.93694,56.99324,56.56532,56.64414,1716415
1490707800,56.32883,56.57658,56.31757,56.50901,1246752
1490794200,56.15991,56.46396,56.13739,56.37387,1180418
1490880600,56.04730,56.18243,55.87838,55.88964,1148184
1490967000,55.51802,55.82207,55.28153,55.56306,2623685
1491226200,55.43919,55.55180,55.09009,55.42793,2737260
1491312600,55.07883,55.42793,55.07883,55.42793,1987610
1491399000,55.39414,55.65315,55.30405,55.30405,1094993
1491485400,56.04730,56.04730,55.76577,55.79955,1608701
1491571800,56.02478,56.63288,56.01352,56.45270,1310777
1491831000,56.30630,56.80180,56.28378,56.59910,888355
1491917400,56.81306,56.94820,56.59910,56.79054,1699454
1492003800,56.82433,57.26352,56.80180,57.20721,1177399
1492090200,56.94820,57.03829,56.73423,56.75676,676745
1492435800,56.90315,57.09460,56.90315,57.03829,665556
1492522200,57.03829,57.15090,56.77928,57.02703,1276766
1492608600,56.89189,57.03829,56.47522,56.54279,1353134
1492695000,57.54504,57.56757,56.79054,56.80180,1265666
1492781400,56.54279,56.68919,56.39640,56.41892,1149161
1493040600,57.92793,58.01802,57.64640,57.87162,2064245
1493127000,58.04054,58.08559,57.82658,57.98423,804706
1493213400,57.98423,58.00676,57.63514,57.68018,1294526
1493299800,57.74775,57.78153,57.51126,57.61261,648862
1493386200,57.68018,57.89414,57.62387,57.81532,868286
1493645400,57.75901,57.87162,57.63514,57.66892,676301
1493731800,58.49099,58.58108,58.25451,58.33333,1412453
1493818200,57.75901,58.08559,57.63514,57.90540,878498
1493904600,58.04054,58.36712,57.99549,58.31081,1175712
1493991000,58.24324,58.29955,58.08559,58.23198,754800
1494250200,58.87387,59.05405,58.73874,58.84009,2163346
1494336600,59.23423,59.24549,58.65991,58.76126,2155531
1494423000,59.16667,59.36937,59.12162,59.32433,1435274
1494509400,59.40315,59.51577,59.14414,59.47072,1035852
1494595800,59.18919,59.47072,59.18919,59.42567,792185
1494855000,59.70721,59.89865,59.60586,59.88739,782772
1494941400,60.46171,60.50676,60.19144,60.24775,927250
1495027800,60.64189,60.83333,60.29279,60.30405,1374890
1495114200,59.97748,60.05630,59.69595,59.94370,841025
1495200600,60.55180,60.86712,60.48423,60.66441,825662
1495459800,61.23874,61.55405,61.14865,61.35135,914995
1495546200,61.52027,61.55405,60.93468,61.03604,1551780
1495632600,61.61036,61.63288,61.14865,61.49775,1497257
1495719000,62.24099,62.44370,62.09460,62.36486,1173048
1495805400,61.83559,62.13964,61.83559,62.08333,666178
1496151000,61.88063,62.40991,61.88063,62.27478,1105560
1496237400,63.01802,63.14189,62.54504,62.63514,1667664
1496323800,63.17567,63.17567,62.57883,63.15315,1378709
1496410200,63.28829,63.54730,63.14189,63.52478,1144366
1496669400,63.23198,63.56982,63.18694,63.55856,710311
1496755800,63.26577,63.51352,63.22072,63.37838,855766
1496842200,63.53604,63.60360,63.22072,63.33333,1360416
1496928600,62.56757,62.65766,62.01577,62.29730,1524962
1497015000,61.99324,62.09460,61.44144,61.82433,1831500
1497274200,61.49775,61.54279,61.15991,61.22748,1617048
1497360600,61.09234,61.29504,60.91216,61.06982,1832477
1497447000,61.35135,61.44144,60.73198,60.85586,1792961
1497533400,60.55180,61.15991,60.43919,61.00225,2098166
1497619800,61.71171,61.72297,61.21622,61.58784,2403816
1497879000,61.79054,61.93694,61.63288,61.79054,1491751
1497965400,61.89189,62.00451,61.13739,61.21622,905582
1498051800,61.35135,61.48648,61.28378,61.38514,888888
1498138200,61.34009,61.43018,61.11486,61.17117,860561
1498224600,61.35135,61.52027,61.08108,61.20496,1578953
1498483800,62.40991,62.40991,61.72297,61.74549,1617226
1498570200,61.81306,61.93694,61.61036,61.66667,1311576
1498656600,62.02703,62.29730,61.88063,62.08333,1640314
1498743000,61.54279,61.56532,60.16892,60.33784,1981039
1498829400,61.04730,61.08108,60.64189,60.94595,1553378
1499088600,60.63063,60.79955,60.57433,60.61937,668753
1499261400,60.41667,60.76577,60.33784,60.51802,1299322
1499347800,60.20270,60.43919,60.01126,60.21396,1103162
1499434200,60.51802,60.67567,60.32658,60.49549,935952
1499693400,61.05856,61.21622,60.73198,60.83333,1262736
1499779800,60.97973,61.34009,60.93468,61.18243,1476478
1499866200,61.83559,61.93694,61.70045,61.71171,1426750
1499952600,62.30856,62.35360,62.06081,62.26352,1214074
1500039000,62.68018,63.01802,62.59009,62.97297,691042
1500298200,62.96171,63.02928,62.73648,62.88288,805594
1500384600,62.81532,63.04054,62.77027,62.88288,898922
1500471000,63.33333,63.44595,62.91667,62.96171,1348606
1500557400,63.73874,64.26802,63.61486,64.03153,1307402
1500643800,64.16666,64.29054,63.68243,64.29054,1386346
1500903000,63.71622,63.78378,63.33333,63.62613,972449
1500989400,64.16666,64.20045,63.63739,63.79504,989587
1501075800,64.08784,64.33559,63.91892,64.27928,1178110
1501162200,64.58334,64.69595,63.98648,64.27928,633055
1501248600,63.79504,64.07658,63.37838,63.96396,924852
1501507800,64.36937,64.40315,63.98648,64.17793,887467
1501594200,64.02027,64.32433,63.91892,63.98648,839693
1501680600,63.55856,63.85135,63.36712,63.75000,994027
1501767000,63.90766,64.24550,63.81757,63.87387,724075
1501853400,64.04279,64.17793,63.81757,64.05405,678343
1502112600,64.08784,64.52702,64.08784,64.50450,746364
1502199000,64.44820,64.59460,64.33559,64.43694,664579
1502285400,64.33559,64.92117,64.16666,64.92117,1046419
1502371800,64.04279,64.17793,63.80630,63.84009,833743
1502458200,64.26802,64.31306,63.80630,63.89640,927605
1502717400,64.43694,64.60586,64.30180,64.48198,623731
1502803800,64.40315,64.85361,64.30180,64.84234,726473
1502890200,64.85361,65.01126,64.63964,64.79729,1112398
1502976600,64.75225,64.86487,64.21172,64.24550,633410
1503063000,64.34685,64.54955,64.21172,64.40315,518592
1503322200,64.60586,64.93243,64.51576,64.85361,836318
1503408600,65.06757,65.28153,64.98874,65.22523,1027416
1503495000,65.05630,65.25901,64.92117,65.13513,494971
1503581400,65.31532,65.42793,64.88739,64.93243,709334
1503667800,65.14639,65.50676,65.06757,65.34910,491419
1503927000,65.72072,65.77702,65.43919,65.45045,609346
1504013400,65.38288,65.60811,65.30405,65.45045,773803
1504099800,65.19144,65.25901,64.70721,64.90991,1850148
1504186200,65.13513,65.67567,65.10135,65.55180,876634
1504272600,65.91216,65.91216,65.48424,65.64189,921478
1504618200,65.40540,65.60811,65.13513,65.41666,718037
1504704600,65.94595,66.22748,65.73198,66.19370,958951
1504791000,66.65540,66.86937,66.53153,66.67793,1061515
1504877400,66.83559,66.93694,66.64414,66.80180,683494
1505136600,66.95946,67.20721,66.90315,67.15090,631901
1505223000,66.47523,66.57658,66.06982,66.18243,993938
1505309400,66.47523,66.47523,65.91216,65.97973,1311132
1505395800,65.93468,66.04729,65.81081,65.91216,831079
1505482200,66.45271,66.55405,66.27252,66.41892,1013297
1505741400,66.72298,66.89189,66.49775,66.70045,809234
1505827800,66.76802,66.86937,66.47523,66.59910,692551
1505914200,66.43018,66.54279,65.50676,65.93468,936662
1506000600,64.98874,65.23649,64.84234,64.93243,805061
1506087000,65.07883,65.19144,64.57207,64.68468,1190986
1506346200,64.74099,65.03378,64.63964,64.75225,982483
1506432600,64.66216,64.68468,64.30180,64.49324,821400
1506519000,64.13288,64.36937,64.03153,64.17793,942701
1506605400,64.23424,64.70721,64.17793,64.53828,650371
1506691800,65.12387,65.40540,65.05630,65.27027,1067642
1506951000,65.31532,65.58559,65.18018,65.22523,1038782
1507037400,65.12387,65.20271,64.94370,65.04504,762881
1507123800,65.06757,65.12387,64.97748,65.04504,1402685
1507210200,65.13513,65.25901,64.86487,65.00000,1363879
1507296600,64.41441,64.51576,64.14414,64.17793,2106336
1507555800,64.45946,64.52702,64.23424,64.27928,1088510
1507642200,65.05630,65.18018,64.86487,65.14639,2374157
1507728600,65.46172,65.75450,65.40540,65.68694,751692
1507815000,66.29504,66.92567,66.20496,66.83559,898034
1507901400,67.61261,67.71397,67.26351,67.47748,1248617
1508160600,67.40991,67.43243,67.09460,67.38739,1393094
1508247000,67.03828,67.04955,66.70045,66.99324,853723
1508333400,67.38739,67.60135,67.20721,67.40991,888266
1508419800,64.40315,64.45946,62.79279,63.10811,3318012
1508506200,62.40991,62.40991,61.64414,61.70045,2166276
1508765400,61.52027,61.54279,60.97973,61.12613,2608678
1508851800,61.23874,61.30630,60.74324,60.93468,1982726
1508938200,60.96847,61.23874,60.77703,61.12613,1719790
1509024600,62.12838,62.75901,61.93694,62.45496,1162481
1509111000,62.18468,62.56757,61.76802,62.53378,834454
1509370200,62.45496,62.63514,62.19595,62.52252,914196
1509456600,63.37838,63.95270,63.32207,63.79504,829392
1509543000,63.68243,63.79504,63.23198,63.26577,1013297
1509629400,62.77027,62.79279,62.27478,62.73648,1482427
1509715800,62.97297,63.19820,62.77027,62.88288,807991
1509978600,62.81532,62.93919,62.61261,62.81532,672926
1510065000,62.50000,62.74775,62.31982,62.62387,640337
1510151400,62.55630,63.33333,62.53378,63.29955,576312
1510237800,63.00676,63.52478,62.61261,63.20946,964457
1510324200,62.68018,63.18694,62.65766,63.13063,771139
1510583400,62.60135,63.06306,62.59009,62.90540,734731
1510669800,62.45496,62.92793,62.44370,62.84910,727094
1510756200,62.92793,62.93919,62.39865,62.51126,585547
1510842600,62.84910,62.98423,62.60135,62.79279,651970
1510929000,62.25225,62.33108,61.71171,61.93694,886402
1511188200,62.61261,63.08559,62.28604,62.30856,1752379
1511274600,62.91667,63.25451,62.88288,63.07433,1201553
1511361000,63.35586,63.36712,62.57883,62.88288,662270
1511533800,63.75000,64.05405,63.75000,64.02027,521256
1511793000,64.38063,64.39189,63.54730,63.79504,786058
1511879400,64.75225,64.86487,64.33559,64.79729,1085669
1511965800,63.86261,64.45946,63.61486,63.82883,1326938
1512052200,63.93018,63.96396,63.31081,63.60360,827083
1512138600,63.10811,63.18694,62.39865,62.90540,1000421
1512397800,62.97297,63.13063,62.64640,63.06306,1118258
1512484200,63.00676,63.23198,62.69144,62.90540,1410233
1512570600,63.02928,63.36712,62.95045,63.14189,2987676
1512657000,63.25451,63.42342,62.97297,63.01802,1827504
1512743400,63.09685,63.44595,62.88288,63.41216,849106
1513002600,63.13063,63.25451,62.89414,63.23198,709601
1513089000,63.09685,63.35586,62.99549,63.15315,936218
1513175400,63.02928,63.65991,62.99549,63.46847,954156
1513261800,62.93919,63.17567,62.44370,62.45496,803107
1513348200,62.75901,63.19820,62.53378,63.01802,859406
1513607400,63.26577,63.69370,63.17567,63.31081,812875
1513693800,63.31081,63.45721,62.75901,62.78153,720701
1513780200,62.71396,62.72522,62.25225,62.40991,750360
1513866600,62.07207,62.43243,62.00451,62.10586,729048
1513953000,62.17342,62.31982,62.08333,62.25225,477655
1514298600,62.33108,62.61261,62.25225,62.47748,287357
1514385000,62.29730,62.63514,62.27478,62.40991,410078
1514471400,62.62387,62.63514,62.24099,62.28604,522055
1514557800,62.69144,62.71396,62.29730,62.31982,466999
1514903400,62.15090,62.17342,61.71171,61.76802,905760
1514989800,61.76802,61.88063,61.57658,61.68919,844666
1515076200,61.93694,62.39865,61.89189,62.06081,1441490
1515162600,62.27478,62.62387,62.18468,62.54504,800621
1515421800,62.29730,62.65766,62.29730,62.64640,747785
1515508200,62.20721,62.30856,61.85811,62.01577,885070
1515594600,61.27252,61.29504,60.65315,60.91216,999622
1515681000,61.08108,61.28378,60.79955,60.83333,1092684
1515767400,61.09234,61.45270,60.97973,61.39640,1200842
1516113000,61.65540,62.09460,61.65540,61.97072,712975
1516199400,62.91667,63.17567,62.46622,62.75901,3760680
1516285800,62.59009,63.04054,62.48874,62.91667,3885977
1516372200,63.81757,64.35811,63.72748,64.27928,3253543
1516631400,63.97522,64.24550,63.89640,64.22298,3188808
1516717800,64.49324,64.85361,64.33559,64.58334,987278
1516804200,65.13513,65.13513,64.67342,64.93243,2078719
1516890600,64.74099,64.75225,63.79504,63.87387,4333706
1516977000,64.31306,64.31306,63.89640,64.23424,802397
1517236200,62.95045,63.20946,62.84910,63.00676,870506
1517322600,63.86261,63.90766,63.40090,63.53604,845465
1517409000,64.02027,64.17793,63.38964,63.59234,1060716
1517495400,64.77477,65.15766,64.54955,64.68468,962237
1517581800,64.56081,64.67342,63.89640,63.90766,1415561
1517841000,62.69144,62.87162,60.66441,60.72072,1996224
1517927400,60.31532,61.41892,60.10135,61.31757,2444309
1518013800,60.48423,61.14865,60.38288,60.38288,1251991
1518100200,60.63063,60.82207,59.40315,59.40315,1263446
1518186600,59.27928,59.47072,57.86036,58.99775,1390786
1518445800,59.59460,60.37162,59.56081,60.10135,952291
1518532200,59.62838,59.88739,59.44820,59.77478,1581528
