time,open,high,low,close,tick_volume
1608129000,26.00000,30.01000,22.61000,29.47000,13459800
1608215400,28.64300,39.85000,28.25000,35.77000,7042200
1608301800,38.02000,48.66000,37.06000,44.09000,7266500
1608561000,44.00000,47.99000,40.00000,41.10000,2833800
1608647400,43.10000,48.08000,40.65000,47.84000,3727400
1608733800,47.50000,51.39800,43.02000,46.32000,3142400
1608820200,46.59000,47.47000,42.50500,43.96000,873100
1609165800,44.31000,45.00000,38.05000,42.63000,1882200
1609252200,42.04000,42.49000,39.51000,40.75000,646400
1609338600,41.20000,41.50000,38.11000,38.87000,1049500
1609425000,38.20000,40.95000,36.26000,40.75000,969000
1609770600,40.34000,45.00000,38.05000,43.99000,1347100
1609857000,45.10000,53.63000,44.20000,48.37000,3590700
1609943400,47.05000,57.00000,45.14000,52.14000,2903200
1610029800,55.99000,61.26000,55.04000,55.39000,1518900
1610116200,58.00000,58.00000,50.28000,52.73000,1407700
1610375400,51.00000,56.00000,50.53000,54.71000,1338200
1610461800,56.11000,63.50000,55.53000,62.48000,1829500
1610548200,60.61000,69.48000,57.70000,57.88000,1785600
1610634600,60.92000,67.43000,59.49000,60.64000,1288700
1610721000,60.64000,62.60000,55.60000,56.00000,1409500
1611066600,58.13000,61.63000,53.00000,54.28000,1872400
1611153000,54.51000,56.22000,53.25000,55.22000,935500
1611239400,55.05000,65.29000,55.05000,63.77000,1702400
1611325800,62.40000,64.88000,58.53000,64.47000,1241600
1611585000,65.00000,72.67000,64.01000,67.36000,1781000
1611671400,67.71000,68.69000,63.30000,64.45000,1506600
1611757800,60.07000,70.80000,58.00000,64.70000,1398400
1611844200,64.54000,67.41300,63.52000,65.15000,617800
1611930600,64.56000,67.40000,60.12000,62.19000,721700
1612189800,63.00000,70.85000,61.90000,70.25000,813000
1612276200,71.04000,80.00000,71.04000,75.47000,1061300
1612362600,76.93000,81.91000,76.51000,79.75000,854600
1612449000,80.55000,81.09000,74.19000,75.75000,718600
1612535400,76.14000,79.78000,74.01000,75.24000,542300
1612794600,77.34000,78.34000,74.10000,76.00000,712600
1612881000,75.92000,82.75000,75.51700,80.25000,902200
1612967400,80.91000,91.39000,78.71000,91.04000,1080800
1613053800,93.50000,105.58000,92.55000,95.13000,1433000
1613140200,93.00000,102.21000,92.62000,102.18000,646000
1613485800,104.77000,105.00000,90.27000,92.28000,1053900
1613572200,91.75000,92.26900,84.13500,87.24000,941800
1613658600,84.00000,84.52000,78.50000,82.32000,1016600
1613745000,83.75000,93.00000,83.50000,89.73000,753500
1614004200,87.30000,89.49000,75.06000,77.01000,1081700
1614090600,72.95000,75.38000,61.01000,73.06000,1703100
1614177000,73.74000,83.29000,72.01000,74.51000,985600
1614263400,74.08000,79.62000,66.08000,68.52000,1423200
1614349800,68.79000,71.88000,63.35000,65.64000,1558600
1614609000,66.78000,73.46000,65.87000,66.65000,1309100
1614695400,67.21000,67.76000,58.29000,60.36000,1772300
1614781800,61.70000,63.00500,55.60000,57.58000,1610300
1614868200,56.15000,59.54500,49.09000,54.92000,2218900
1614954600,54.54000,55.29000,42.51100,51.16000,2322100
1615213800,50.66600,52.22300,45.14200,46.87000,1382300
1615300200,49.39500,55.45000,49.05000,53.24000,2035200
1615386600,57.30000,58.55000,52.12000,52.99000,1540900
1615473000,54.75000,59.55000,54.05000,59.24000,1260700
1615559400,53.50000,58.50000,53.50000,58.00000,1130200
1615815000,58.89000,63.01000,56.83000,62.93000,1432500
1615901400,62.27000,64.50000,56.85000,60.05000,1266400
1615987800,56.77500,62.26000,54.50000,60.79000,2762900
1616074200,83.54000,124.75000,81.96000,115.09000,21497900
1616160600,108.00000,128.80000,106.59700,125.28000,8769700
1616419800,127.94000,165.66000,124.05400,164.87000,8566600
1616506200,159.97400,164.06000,115.58000,118.48000,11899100
1616592600,121.87900,134.16000,110.11000,112.28000,5499400
1616679000,106.30000,130.35899,105.95000,123.73000,3820900
1616765400,125.00000,144.86000,118.25000,142.95000,3260400
1617024600,140.80000,156.92999,132.53000,134.49001,2652400
1617111000,133.48000,137.61000,122.60000,129.28000,1521900
1617197400,131.63000,137.78799,128.00000,128.86000,1137700
1617283800,133.94000,147.48000,133.00000,144.28000,1871600
1617629400,147.70799,156.27000,136.00000,140.52000,2029200
1617715800,140.28999,145.78000,138.06000,144.30000,1018700
1617802200,136.55000,138.97000,123.81000,126.07000,2674500
1617888600,128.50999,128.98000,119.18000,123.33000,2548900
1617975000,122.00000,134.00000,118.00000,127.29000,4545400
1618234200,127.75000,127.95000,111.20000,112.46000,2891100
1618320600,111.88000,114.27000,102.69000,110.46000,3733100
1618407000,110.23000,115.56000,104.30000,104.51000,2062500
1618493400,109.29000,116.96000,105.69000,110.40000,2347300
1618579800,111.08000,111.23000,103.00000,104.65000,1584800
1618839000,104.42000,104.42000,93.62200,97.55000,2723600
1618925400,96.33000,101.00000,90.37500,91.79000,1626200
1619011800,91.40000,101.34000,89.33000,100.61000,1713100
1619098200,102.50000,108.30000,99.23000,101.44000,2104600
1619184600,102.98000,111.95000,102.46000,107.38000,2117700
1619443800,108.80900,114.80000,108.01000,111.24000,1936400
1619530200,114.94000,123.08800,112.30000,116.33000,2629900
1619616600,116.93000,120.46000,111.23900,113.75000,1648300
1619703000,115.70000,116.00000,103.00000,108.56000,2145300
1619789400,103.90000,112.50000,103.68000,109.02000,1199500
1620048600,111.12000,117.99000,105.73000,114.20000,1773500
1620135000,115.00000,115.00000,101.10000,107.36000,2081700
1620221400,109.14800,109.14800,97.50000,98.19000,1387400
1620307800,97.26000,98.00000,88.38000,92.04000,2312400
1620394200,96.46900,100.86000,94.20000,95.97000,1648200
1620653400,93.05000,94.57000,86.21000,88.21000,2291300
1620739800,83.43000,89.49000,81.20000,89.44000,3806700
1620826200,115.28000,115.47700,88.88000,91.82000,12764700
1620912600,96.25000,97.87000,80.85000,84.05000,5638200
