time,open,high,low,close,tick_volume
1472477400,109.25000,109.37000,108.91000,109.12000,1924600
1472563800,109.29000,109.58000,109.04000,109.38000,1360100
1472650200,109.06000,109.41000,108.68000,109.22000,2272800
1472736600,109.51000,110.00000,109.14000,109.50000,2739200
1472823000,110.29000,110.42000,109.19000,109.59000,1920300
1473168600,109.52000,109.53000,108.76000,109.50000,1789600
1473255000,109.38000,109.66000,109.03000,109.48000,1517800
1473341400,109.23000,109.46000,108.94000,108.94000,2524900
1473427800,108.44000,109.00000,107.61000,107.63000,3533700
1473687000,107.35000,108.90000,107.11000,108.55000,2718400
1473773400,107.74000,107.77000,106.53000,106.86000,3023600
1473859800,106.07000,107.34000,106.07000,106.86000,1955300
1473946200,106.63000,107.32000,106.41000,107.08000,2134200
1474032600,106.62000,107.20000,106.16000,106.86000,3618600
1474291800,107.16000,107.72000,106.95000,107.12000,2168900
1474378200,107.59000,108.72000,107.59000,108.35000,3242400
1474464600,109.16000,109.90000,108.67000,109.66000,2937500
1474551000,110.02000,110.72000,109.51000,109.67000,2693800
1474637400,109.53000,109.93000,109.20000,109.21000,1651600
1474896600,109.09000,109.28000,108.63000,108.84000,2360800
1474983000,108.86000,110.23000,108.51000,110.01000,2466000
1475069400,109.76000,109.79000,108.66000,109.25000,2752700
1475155800,109.36000,109.54000,108.20000,108.21000,2473400
1475242200,108.82000,109.79000,108.63000,109.36000,2952500
1475501400,109.36000,109.36000,108.31000,109.18000,1445300
1475587800,109.19000,109.41000,108.22000,108.52000,1742000
1475674200,108.52000,109.53000,108.39000,109.16000,3019100
1475760600,108.91000,109.46000,108.65000,109.12000,1861600
1475847000,109.04000,109.36000,108.48000,108.80000,1443000
1476106200,109.28000,109.61000,108.96000,109.05000,1307700
1476192600,108.90000,109.43000,108.30000,108.70000,1944400
1476279000,109.03000,109.06000,108.44000,108.74000,1483900
1476365400,108.19000,108.72000,107.36000,108.30000,2088600
1476451800,108.71000,109.06000,108.41000,108.42000,1566000
1476711000,108.31000,108.77000,107.91000,108.03000,1759900
1476797400,108.45000,108.97000,108.05000,108.13000,1692300
1476883800,108.23000,108.53000,107.80000,108.05000,1991400
1476970200,107.91000,107.91000,107.19000,107.40000,1946100
1477056600,106.74000,107.22000,106.39000,107.16000,2816400
1477315800,107.82000,108.52000,107.75000,108.45000,1808300
1477402200,108.41000,108.73000,107.78000,107.84000,2242500
1477488600,107.60000,109.04000,107.59000,108.61000,3310100
1477575000,109.25000,109.25000,105.87000,108.08000,3532000
1477661400,108.30000,108.46000,106.99000,107.70000,2397500
1477920600,108.08000,108.20000,107.53000,107.76000,2328700
1478007000,108.02000,108.03000,106.16000,106.84000,2906600
1478093400,106.92000,107.42000,106.60000,106.90000,2568900
1478179800,107.22000,108.17000,106.68000,107.48000,2245500
1478266200,107.39000,108.05000,106.89000,106.94000,2559300
1478529000,107.96000,109.80000,107.96000,109.80000,3615400
1478615400,109.61000,112.88000,109.51000,112.03000,5834300
1478701800,110.33000,112.70000,110.24000,112.70000,6744000
1478788200,112.91000,114.11000,112.82000,113.31000,4532600
1478874600,113.13000,114.31000,113.00000,114.23000,3092600
1479133800,114.51000,114.75000,112.84000,112.91000,3396800
1479220200,113.02000,113.33000,112.15000,113.18000,3690800
1479306600,113.18000,113.39000,112.36000,112.81000,2297800
1479393000,112.92000,113.56000,112.51000,113.49000,1621400
1479479400,113.73000,114.31000,113.25000,114.09000,1992400
1479738600,114.09000,114.73000,113.62000,114.70000,1942500
1479825000,114.94000,115.00000,114.40000,114.63000,1987300
1479911400,114.85000,115.75000,114.85000,115.68000,1855400
1480084200,115.79000,116.39000,115.77000,116.26000,1077600
1480343400,116.26000,116.47000,115.45000,115.69000,2659100
1480429800,115.94000,116.48000,115.77000,116.28000,2772400
1480516200,116.46000,116.96000,115.92000,115.92000,3353600
1480602600,116.04000,116.76000,115.88000,116.43000,2485200
1480689000,116.69000,117.01000,116.00000,116.35000,2088700
1480948200,116.91000,116.95000,116.36000,116.56000,2310000
1481034600,116.50000,116.72000,116.03000,116.54000,1755400
1481121000,116.27000,118.79000,116.27000,118.62000,2539300
1481207400,119.00000,119.27000,118.15000,118.98000,2157800
1481293800,118.91000,119.79000,118.44000,119.60000,3196800
1481553000,119.41000,120.44000,119.33000,120.13000,2760200
1481639400,120.33000,120.43000,119.36000,120.16000,3123400
1481725800,119.85000,119.92000,116.93000,117.26000,4983900
1481812200,117.21000,117.88000,116.44000,117.28000,3045700
1481898600,117.38000,117.53000,115.09000,115.81000,5543300
1482157800,116.26000,117.30000,116.06000,116.98000,2209900
1482244200,117.19000,117.77000,117.11000,117.52000,2074900
1482330600,117.04000,117.42000,116.02000,116.10000,3028400
1482417000,116.64000,116.74000,115.79000,116.30000,1969700
1482503400,116.32000,116.54000,115.88000,115.97000,1229800
1482849000,116.30000,116.78000,116.07000,116.13000,990800
1482935400,116.18000,116.28000,115.13000,115.20000,1541700
1483021800,115.23000,115.50000,114.53000,114.98000,1412300
1483108200,115.24000,115.43000,114.36000,114.64000,1734000
1483453800,115.52000,116.07000,114.64000,115.08000,2390700
1483540200,115.30000,115.85000,114.96000,115.11000,1830800
1483626600,115.00000,115.98000,114.85000,115.17000,1856200
1483713000,115.00000,115.66000,114.52000,115.40000,1767000
1483972200,115.00000,115.19000,114.50000,114.77000,1965200
1484058600,114.63000,114.81000,113.41000,113.92000,2892600
1484145000,113.64000,114.47000,113.64000,114.18000,2302700
1484231400,114.21000,114.21000,113.30000,113.91000,1917000
1484317800,114.20000,114.60000,114.03000,114.24000,1788000
1484663400,113.69000,114.11000,113.41000,114.07000,2474700
1484749800,114.37000,115.45000,114.02000,114.96000,2040000
1484836200,114.97000,115.15000,114.01000,114.27000,1848000
1484922600,114.44000,115.00000,114.32000,114.96000,2372900
1485181800,114.99000,115.04000,114.14000,114.46000,1689500
1485268200,114.60000,116.26000,114.15000,116.05000,2157200
1485354600,116.23000,117.13000,115.87000,116.99000,2045000
1485441000,116.97000,117.36000,116.54000,116.93000,1796400
1485527400,117.00000,118.19000,116.59000,118.09000,2283800
1485786600,117.91000,117.92000,116.26000,117.03000,2910300
1485873000,111.81000,111.81000,108.68000,109.13000,12755500
1485959400,107.79000,108.55000,103.23000,105.35000,14684600
1486045800,105.29000,105.70000,104.41000,105.10000,4353400
1486132200,105.70000,107.20000,105.33000,106.95000,4859700
1486391400,106.62000,107.00000,105.75000,106.06000,3444300
1486477800,106.38000,106.49000,105.31000,105.69000,3589500
1486564200,105.81000,106.40000,105.51000,106.16000,3398500
1486650600,106.16000,107.01000,106.02000,106.46000,2416000
1486737000,106.50000,107.50000,106.26000,107.34000,4012800
1486996200,107.66000,108.53000,107.53000,108.50000,3877700
1487082600,108.68000,109.34000,107.62000,108.99000,5878800
1487169000,108.87000,109.17000,108.28000,109.02000,2843000
1487255400,108.10000,108.13000,106.66000,107.22000,5150000
1487341800,106.96000,107.05000,106.41000,106.90000,2919000
1487687400,106.90000,107.87000,106.60000,107.72000,3822500
1487773800,105.44000,106.83000,105.24000,105.62000,5234400
1487860200,106.00000,106.09000,104.89000,105.09000,3976300
1487946600,104.86000,106.19000,104.77000,106.18000,2717400
1488205800,106.14000,106.77000,105.75000,106.73000,2776200
1488292200,106.68000,106.99000,105.48000,105.76000,3793900
1488378600,106.97000,107.38000,106.69000,106.87000,3386200
1488465000,106.99000,106.99000,105.86000,105.95000,2490900
1488551400,106.13000,106.60000,105.76000,105.93000,2732500
1488810600,105.52000,106.37000,105.23000,106.10000,2481900
1488897000,106.00000,106.39000,105.51000,105.64000,2186500
1488983400,105.64000,106.11000,105.24000,105.73000,2269800
1489069800,106.13000,106.24000,105.62000,105.90000,2301000
1489156200,106.27000,106.85000,105.75000,106.73000,2957100
1489411800,106.53000,107.50000,106.31000,107.49000,2644500
1489498200,107.19000,107.42000,106.44000,106.83000,2748900
1489584600,107.29000,108.29000,106.85000,107.74000,3253800
1489671000,107.80000,107.92000,107.29000,107.80000,2409400
1489757400,107.91000,108.97000,107.65000,108.15000,4412200
1490016600,108.05000,108.20000,106.93000,107.12000,2370900
1490103000,107.51000,108.14000,106.37000,106.51000,3088500
1490189400,106.96000,107.17000,105.88000,106.52000,2282200
1490275800,106.53000,106.89000,105.37000,105.65000,2414200
1490362200,105.69000,105.84000,104.80000,105.05000,2526900
1490621400,104.48000,104.98000,103.75000,104.78000,2148400
1490707800,104.72000,106.52000,104.50000,106.19000,3191600
1490794200,105.65000,106.35000,105.46000,106.03000,1889300
1490880600,105.81000,106.84000,105.35000,106.66000,1721600
1490967000,106.48000,107.70000,106.48000,107.30000,2478100
1491226200,107.66000,107.73000,106.08000,106.40000,2645900
1491312600,106.30000,106.70000,105.70000,106.63000,2138600
1491399000,106.94000,107.78000,106.54000,106.74000,2622900
1491485400,106.77000,106.94000,106.51000,106.67000,2824600
1491571800,106.31000,106.60000,104.91000,104.99000,3212200
1491831000,105.45000,106.88000,105.37000,106.42000,3687700
1491917400,106.15000,106.16000,105.23000,105.75000,3029400
1492003800,105.06000,105.34000,104.18000,104.23000,3036000
1492090200,104.18000,104.56000,103.70000,103.74000,2840900
1492435800,104.06000,104.87000,103.92000,104.87000,1723800
1492522200,104.52000,104.74000,103.56000,104.10000,3042300
1492608600,104.58000,105.09000,104.33000,104.46000,2047100
1492695000,104.75000,105.74000,104.57000,105.53000,2424700
1492781400,105.71000,106.13000,105.45000,105.77000,3040600
1493040600,106.75000,107.23000,106.28000,106.97000,2441500
1493127000,107.09000,107.82000,107.08000,107.36000,2626100
1493213400,107.23000,108.59000,106.96000,107.62000,4565600
