time,open,high,low,close,tick_volume
1600435800,75.00000,76.79000,67.00000,68.35000,20621000
1600695000,67.11000,73.98000,65.11000,72.96000,5055200
1600781400,76.64000,84.98000,75.11000,84.82000,6893700
1600867800,88.67000,88.88000,79.90000,81.85000,4343900
1600954200,77.75000,83.89000,75.70000,83.20000,2487200
1601040600,84.79000,93.36000,84.25000,89.85000,3681700
1601299800,94.46000,100.00000,94.10000,95.80000,3999900
1601386200,98.16000,102.63000,93.50000,94.92000,2814000
1601472600,94.90000,96.36000,85.03000,87.28000,3670700
1601559000,89.33000,90.97000,83.50000,84.56000,4530800
1601645400,81.55000,87.61900,81.55000,83.53000,2771300
1601904600,85.83000,85.84900,82.30000,84.00000,1260500
1601991000,84.61000,84.76000,82.71000,82.79000,1014400
1602077400,84.04000,89.50000,83.75800,88.65000,1767800
1602163800,91.19000,93.50000,88.80000,91.40000,1892900
1602250200,92.85000,100.42000,92.70000,99.11000,2587700
1602509400,100.13000,101.00000,89.80000,90.00000,3868000
1602595800,92.35000,94.78000,91.00000,92.11000,2000700
1602682200,93.52000,96.10000,89.20000,90.02000,2196100
1602768600,88.20000,93.39000,87.00000,91.43000,1362700
1602855000,92.19000,93.60000,90.87800,92.56000,958600
1603114200,94.00000,95.40000,88.21000,89.30000,1669100
1603200600,89.83000,90.62000,86.10000,87.15000,1224800
1603287000,87.27000,91.27000,87.27000,91.00000,1270200
1603373400,90.82000,101.00000,88.28000,100.96000,4738100
1603459800,101.00000,103.97000,93.00000,97.28000,3246200
1603719000,98.00000,103.49000,91.63000,99.96000,2933300
1603805400,100.00000,108.35000,95.50000,104.00000,5984300
1603891800,100.00000,102.00000,96.20000,99.76000,2391500
1603978200,101.79000,109.28000,98.50000,108.84000,2805300
1604064600,105.81000,107.30000,92.22000,94.88000,5100700
1604327400,96.67000,98.69000,93.37100,94.13000,2514500
1604413800,96.00000,99.50000,94.60000,98.07000,2161600
1604500200,101.81000,106.88000,100.50000,106.45000,2788900
1604586600,110.00000,112.79000,107.23000,110.76000,2106600
1604673000,110.50000,119.88000,108.15000,119.00000,1727700
