time,open,high,low,close,tick_volume
1472477400,60.17891,60.81921,60.08475,60.30132,1388565
1472563800,59.80226,59.86817,58.61582,58.87006,2398102
1472650200,58.67232,58.92656,57.75895,58.42749,2327054
1472736600,57.75895,57.98494,57.30697,57.96610,3345619
1472823000,57.36346,57.54237,56.09228,56.52542,3276376
1473168600,55.48022,56.70433,55.48022,56.29002,3399887
1473255000,56.02636,57.08098,55.80038,57.08098,3912620
1473341400,56.91149,57.08098,56.14878,56.34652,2533826
1473427800,56.15819,56.19586,55.00941,55.01883,2385464
1473687000,57.14689,57.14689,54.89642,56.15819,2513754
1473773400,56.54425,56.54425,54.84934,55.06591,2876002
1473859800,55.24482,55.28249,54.37853,54.65160,3173044
1473946200,52.02448,53.37100,51.98682,52.91902,9238657
1474032600,52.59887,52.97552,52.12806,52.88136,8855912
1474291800,53.30508,53.66290,52.93785,53.27684,3060790
1474378200,53.65348,53.74765,52.74011,52.86252,3075021
1474464600,53.44633,53.49341,52.81544,53.40866,3000150
1474551000,53.56874,53.94538,53.33333,53.55932,2049872
1474637400,53.51224,53.76648,53.44633,53.62524,3145113
1474896600,53.54991,53.54991,52.47646,52.56121,2789980
1474983000,52.78719,53.30508,52.32580,53.27684,2437821
1475069400,53.25800,53.29567,51.97740,52.41996,5619998
1475155800,52.46704,52.89077,52.10923,52.15631,2908924
1475242200,52.77778,53.07910,52.52354,52.77778,3300908
1475501400,52.68362,52.91902,52.45763,52.71186,1771097
1475587800,52.41996,53.18267,52.22222,52.90960,5226633
1475674200,52.51413,52.87194,51.32768,51.51601,4877447
1475760600,51.43126,51.73258,51.12053,51.48776,3209258
1475847000,51.62900,51.85499,51.00753,51.37476,2875153
1476106200,51.76083,52.14689,51.61959,51.82674,1761433
1476192600,51.91149,51.92090,50.96045,51.01695,2205562
1476279000,51.10170,51.69492,51.02636,51.53484,2158621
1476365400,51.20527,51.72316,50.63089,51.45951,2112530
1476451800,51.69492,52.00565,51.41243,51.41243,1869014
1476711000,51.38418,51.59134,50.92279,50.97928,1860624
1476797400,51.55367,51.61959,51.12994,51.29943,1726812
1476883800,51.44068,51.58192,51.12994,51.43126,2826832
1476970200,51.25235,51.42184,50.85687,51.12994,3263314
1477056600,50.84746,51.72316,50.44256,51.47834,4022113
1477315800,51.27119,52.44821,49.70810,49.97175,12230098
1477402200,48.98305,50.14124,48.73823,49.97175,5206349
1477488600,49.90584,51.35593,49.72693,50.95103,3363566
1477575000,50.97928,51.36535,50.88512,51.21469,3161786
1477661400,51.41243,51.71375,50.67797,51.14878,2865807
1477920600,51.12053,51.19586,50.65913,51.04520,3135130
1478007000,51.11111,51.48776,50.29190,50.86629,2164568
1478093400,50.51789,51.41243,50.51789,50.77213,2068564
1478179800,50.93220,51.01695,50.16008,50.32015,2130053
1478266200,50.29190,51.01695,50.29190,50.41431,2020667
1478529000,51.32768,51.76083,51.08286,51.69492,2168923
1478615400,51.62900,51.76083,50.89454,51.37476,2297849
1478701800,50.73446,52.09040,49.59510,51.95857,3064720
1478788200,52.25989,53.53107,52.16573,53.04143,3306325
1478874600,52.67420,53.83239,52.56121,53.71940,2465645
1479133800,54.02072,54.89642,53.87947,54.00188,2755890
1479220200,54.00188,54.28437,52.74011,53.34275,3000681
1479306600,53.05085,53.26742,52.64595,52.85311,2335019
1479393000,53.04143,53.52166,52.58945,53.52166,2659779
1479479400,53.39925,53.52166,51.26177,51.33710,3946286
1479738600,51.38418,52.16573,51.35593,52.07156,4358554
1479825000,52.31638,54.81168,52.11864,54.66102,7025024
1479911400,54.60452,54.94350,53.44633,53.82298,3830103
1480084200,53.88889,54.27495,53.63465,53.91714,1365095
1480343400,53.74765,53.87947,52.92844,53.56874,2625158
1480429800,53.68173,53.68173,52.25047,52.38230,3594020
