time,open,high,low,close,tick_volume
1472477400,17.40000,17.40000,16.78000,16.80000,534900
1472563800,16.60000,16.86000,16.50000,16.77000,237900
1472650200,16.73000,16.77500,16.19000,16.31000,837400
1472736600,16.32000,16.59000,16.30000,16.46000,308100
1472823000,16.58000,16.61500,16.21000,16.27000,254400
1473168600,16.30000,16.45000,16.24500,16.41000,339000
1473255000,16.41000,16.58000,16.24000,16.45000,500500
1473341400,16.46000,16.85000,16.32000,16.85000,498400
1473427800,16.80000,17.17000,16.75000,16.91000,608800
1473687000,16.82000,17.12000,16.70000,17.10000,352900
1473773400,17.13000,17.16000,16.90000,16.95000,158200
1473859800,16.98000,17.06000,16.61000,16.65000,176600
1473946200,16.58000,16.94500,16.29000,16.91000,328100
1474032600,16.97000,17.07500,16.72000,16.96000,1039100
1474291800,16.97000,17.09000,16.60000,16.67000,180800
1474378200,16.66000,16.76000,16.49000,16.64000,146000
1474464600,16.63000,16.72000,16.45000,16.53000,178400
1474551000,16.50000,16.66000,15.95000,16.20000,768700
1474637400,16.33000,16.40000,16.08000,16.09000,250200
1474896600,15.96000,16.01500,15.32000,15.42000,506400
1474983000,15.36000,15.51000,15.31000,15.49000,312700
1475069400,15.57000,15.69000,15.18000,15.32000,296900
1475155800,15.31000,15.35000,14.97000,15.01000,340900
1475242200,15.08000,15.19000,14.96000,14.97000,294900
1475501400,15.00000,15.18500,14.66000,14.92000,388600
1475587800,14.98000,15.25000,14.86000,14.88000,183400
1475674200,14.86000,15.10000,14.78100,14.96000,465000
1475760600,14.96000,15.02500,14.70000,14.87000,191700
1475847000,14.83000,14.88000,14.47000,14.63000,463300
1476106200,14.66000,14.82000,14.50000,14.57000,224600
1476192600,14.45000,14.49500,14.25000,14.35000,342600
1476279000,14.38000,14.38000,14.03000,14.05000,257300
1476365400,13.89000,13.95500,13.60000,13.63000,427600
1476451800,13.66000,13.92000,13.66000,13.87000,275100
1476711000,13.95000,13.95000,13.45000,13.55000,221500
1476797400,13.70000,14.03000,13.60000,13.65000,353800
1476883800,13.70000,13.80000,13.40000,13.65000,320800
1476970200,13.50000,13.60000,13.00000,13.25000,461400
1477056600,13.20000,13.65000,13.00000,13.55000,329900
1477315800,13.70000,13.75000,13.50000,13.60000,218000
1477402200,13.55000,13.75000,13.51300,13.55000,154100
1477488600,13.50000,13.62500,13.40000,13.40000,231900
1477575000,13.45000,13.45000,13.15000,13.15000,217900
1477661400,13.20000,13.30000,13.05000,13.25000,209900
1477920600,13.25000,13.25000,12.80000,12.80000,317800
1478007000,12.90000,13.00000,12.40000,12.60000,270600
1478093400,12.50000,12.75000,12.40000,12.60000,277400
1478179800,12.65000,12.80000,12.35000,12.55000,289500
1478266200,12.90000,13.50000,12.40000,13.15000,916100
1478529000,13.10000,13.70000,13.07500,13.35000,510700
1478615400,13.25000,13.32000,12.85000,13.05000,349600
1478701800,13.15000,14.10000,13.15000,14.00000,689500
1478788200,14.00000,14.25000,13.75000,13.85000,416100
1478874600,13.85000,13.95000,13.65000,13.85000,403200
1479133800,13.95000,14.15000,13.70000,13.90000,432700
1479220200,13.95000,14.05000,13.70000,13.85000,290900
1479306600,13.85000,14.05000,13.70000,13.80000,186800
1479393000,13.90000,14.00000,13.75000,13.80000,304300
1479479400,13.85000,13.90000,13.64700,13.80000,212200
1479738600,13.65000,13.80000,13.17500,13.35000,400200
1479825000,13.40000,13.62500,13.25000,13.40000,536200
1479911400,13.45000,13.50000,13.35000,13.45000,255400
1480084200,13.45000,13.50000,13.35000,13.45000,179300
1480343400,13.50000,13.70000,13.25000,13.60000,632100
1480429800,13.40000,13.95000,13.30000,13.90000,364500
1480516200,13.75000,13.90000,13.50000,13.85000,279300
1480602600,13.95000,14.75000,13.65000,14.50000,602800
1480689000,14.50000,14.50000,13.85000,14.00000,275800
1480948200,14.05000,14.25000,13.90000,14.00000,348200
1481034600,14.05000,14.65000,13.92500,14.40000,583600
1481121000,14.45000,14.75000,14.25000,14.70000,389000
1481207400,14.75000,15.30000,14.70000,15.05000,584100
1481293800,15.10000,15.60000,14.90000,15.55000,394900
1481553000,15.65000,16.20100,15.65000,15.90000,924300
1481639400,16.20000,16.40000,15.90000,16.05000,769700
1481725800,15.90000,16.02500,15.70000,15.85000,477700
1481812200,16.00000,16.35000,15.90000,15.95000,457300
1481898600,16.00000,16.20000,15.85000,16.20000,1583600
1482157800,16.15000,16.30000,15.55000,15.55000,623500
1482244200,15.55000,16.05000,15.44400,15.70000,527700
1482330600,15.75000,15.90000,15.65000,15.80000,384000
1482417000,15.85000,16.00000,15.50000,15.50000,388700
1482503400,15.45000,15.80000,15.45000,15.80000,226600
1482849000,15.70000,16.03500,15.65000,15.75000,216000
1482935400,15.85000,16.10000,15.75000,16.00000,239000
1483021800,16.10000,16.35000,15.90000,15.95000,251300
1483108200,15.95000,16.05000,15.85000,15.95000,221900
1483453800,16.15000,16.35000,15.90000,16.05000,370200
