time,open,high,low,close,tick_volume
1472477400,97.48000,97.77000,95.57000,96.94000,595200
1472563800,96.77000,97.45000,95.58000,95.80000,674400
1472650200,95.98000,96.16000,94.01000,94.51000,797500
1472736600,95.03000,95.88000,93.14000,94.75000,966600
1472823000,94.76000,95.54000,93.65000,95.11000,843100
1473168600,95.18000,96.81000,94.53000,95.78000,877600
1473255000,95.80000,96.69000,95.17000,95.60000,928300
1473341400,95.69000,97.80000,94.43000,97.31000,1021700
1473427800,96.31000,97.31000,93.44000,93.68000,1313600
1473687000,93.41000,98.05000,93.10000,97.86000,1123600
1473773400,96.61000,96.83000,93.75000,95.27000,927300
1473859800,95.02000,97.77000,88.16000,90.12000,4992600
1473946200,90.60000,94.43000,89.35000,93.10000,2569300
1474032600,92.90000,93.13000,90.67000,92.71000,2130300
1474291800,93.21000,93.59000,91.09000,91.26000,1183200
1474378200,92.07000,92.52000,90.98000,91.69000,934800
1474464600,91.99000,92.71000,89.08000,91.82000,1936800
1474551000,92.83000,93.35000,90.01000,92.12000,1191800
1474637400,92.27000,92.96000,90.27000,90.63000,1222200
1474896600,90.05000,91.23000,88.10000,88.29000,1608100
1474983000,88.23000,89.19000,87.25000,89.12000,1520300
1475069400,90.51000,90.73000,86.87000,88.84000,1715000
1475155800,88.45000,90.77000,84.99000,85.00000,2381100
1475242200,85.25000,88.91000,83.50000,87.21000,2545700
1475501400,86.46000,87.48000,84.62000,86.79000,1371300
1475587800,86.94000,87.25000,85.75000,86.42000,1081100
1475674200,86.85000,88.24000,86.09000,87.65000,964400
1475760600,86.74000,86.88000,84.88000,84.96000,1375000
1475847000,85.36000,85.95000,84.23000,85.70000,983300
1476106200,86.35000,86.95000,85.83000,85.98000,799800
1476192600,85.15000,86.08000,80.78000,81.66000,2329300
1476279000,81.81000,82.82000,80.04000,80.15000,2255400
1476365400,79.55000,81.56000,79.52000,80.56000,2114100
1476451800,81.13000,82.23000,79.20000,79.23000,1977000
1476711000,79.36000,81.54000,78.50000,80.50000,1934600
1476797400,81.73000,83.14000,81.73000,82.96000,1510200
1476883800,82.79000,82.89000,81.21000,81.83000,1318800
1476970200,81.40000,83.26000,81.40000,82.92000,1045900
1477056600,82.34000,82.60000,80.69000,80.76000,1142900
1477315800,80.00000,80.40000,77.90000,78.73000,2032700
1477402200,78.88000,79.75000,77.43000,78.71000,2557700
1477488600,81.90000,82.81000,76.67000,78.71000,4337900
1477575000,79.39000,81.05000,75.01000,75.84000,3549000
1477661400,75.35000,79.30000,74.95000,77.58000,3400700
1477920600,77.61000,77.88000,75.77000,75.86000,1928200
1478007000,75.09000,77.99000,73.31000,77.88000,2458200
1478093400,77.60000,78.43000,76.77000,78.00000,2580400
1478179800,78.43000,78.52000,77.55000,77.69000,2371000
1478266200,77.39000,80.92000,77.39000,78.96000,1902100
1478529000,80.38000,83.94000,79.31000,83.22000,2170100
1478615400,82.73000,84.21000,81.85000,82.99000,1768000
1478701800,88.92000,93.80000,87.79000,92.88000,3988000
1478788200,94.07000,97.93000,94.06000,95.36000,4130900
1478874600,94.28000,95.25000,89.97000,92.00000,2631100
1479133800,92.33000,94.51000,89.64000,94.42000,2485100
1479220200,94.14000,94.68000,91.96000,93.06000,2265700
1479306600,92.58000,93.06000,90.43000,90.47000,1487000
1479393000,90.67000,92.40000,90.01000,91.20000,1320100
