time,open,high,low,close,tick_volume
1533216600,9.98000,9.99000,9.98000,9.99000,21000
1533303000,9.99000,9.99000,9.99000,9.99000,0
1533562200,10.09000,10.09000,9.95000,9.96000,6600
1533648600,9.95000,9.95000,9.95000,9.95000,500
1533735000,9.95000,9.95000,9.95000,9.95000,0
1533821400,9.90000,9.90000,9.90000,9.90000,500
1533907800,9.90000,10.36000,9.85000,9.85000,4100
1534167000,9.85000,9.90500,9.80000,9.81000,710800
1534253400,10.75000,10.77000,9.80000,9.80000,50100
1534339800,9.85000,9.88000,9.84000,9.85000,524700
1534426200,9.85000,9.86000,9.85000,9.86000,22900
1534512600,9.82000,9.83000,9.80000,9.83000,402100
1534771800,9.83000,9.83000,9.83000,9.83000,0
1534858200,9.80000,9.80000,9.80000,9.80000,2100
1534944600,9.83500,9.83500,9.80000,9.80000,24800
1535031000,9.81000,9.85000,9.75000,9.81000,334300
1535117400,9.80000,9.80000,9.80000,9.80000,100000
1535376600,9.80000,9.80000,9.75000,9.75000,2381000
1535463000,9.76000,9.76000,9.72000,9.75000,685100
1535549400,9.79700,9.80000,9.77000,9.80000,52600
1535635800,9.80000,9.80000,9.80000,9.80000,300
1535722200,9.75000,9.80000,9.73000,9.73000,10600
1536067800,9.79000,9.79000,9.79000,9.79000,100
1536154200,9.75000,9.80000,9.75000,9.80000,2100
1536240600,9.80000,9.80000,9.80000,9.80000,3800
1536327000,9.78000,9.78000,9.78000,9.78000,4300
1536586200,9.75000,9.87000,9.75000,9.87000,125100
1536672600,9.75000,9.75000,9.74000,9.75000,179800
1536759000,9.75000,9.80000,9.75000,9.80000,483000
1536845400,9.80000,9.80000,9.80000,9.80000,0
1536931800,9.73500,9.80000,9.73500,9.80000,600
1537191000,9.84000,9.84000,9.75000,9.75000,264600
1537277400,9.77000,9.77000,9.75000,9.77000,7200
1537363800,9.78000,9.84000,9.77000,9.78000,280800
1537450200,9.75000,9.78000,9.73000,9.73000,47900
1537536600,9.75000,9.77000,9.75000,9.75000,74300
1537795800,9.78000,9.78000,9.77000,9.77000,400
1537882200,9.74100,9.77000,9.74100,9.77000,47300
1537968600,9.75000,9.75000,9.74900,9.74900,2300
1538055000,9.75000,9.77000,9.75000,9.75000,9000
1538141400,9.75000,9.77000,9.73000,9.75000,65400
1538400600,9.74900,9.75000,9.71500,9.75000,8200
1538487000,9.73000,9.76000,9.72000,9.73000,359600
1538573400,9.73300,9.73300,9.73300,9.73300,800
1538659800,9.74000,9.76000,9.72000,9.76000,62800
1538746200,9.76000,9.76000,9.72000,9.72000,41300
1539005400,9.72000,9.75000,9.72000,9.75000,2000
1539091800,9.78000,9.78000,9.72000,9.72000,3300
1539178200,9.72000,9.74000,9.70000,9.74000,391300
1539264600,9.74000,9.74000,9.70500,9.74000,15900
1539351000,9.73000,9.75000,9.73000,9.75000,284400
1539610200,9.70000,9.75000,9.70000,9.73000,6200
1539696600,9.75000,9.75000,9.70000,9.74000,10100
1539783000,9.73000,9.75000,9.73000,9.75000,19000
1539869400,9.75700,9.76000,9.75700,9.76000,400
1539955800,9.77000,9.82000,9.74000,9.82000,2600
1540215000,9.80000,9.80000,9.75000,9.75000,4900
1540301400,9.76000,9.76000,9.70300,9.76000,1300
1540387800,9.75000,9.75000,9.70000,9.70000,2600
1540474200,9.70000,9.76000,9.70000,9.76000,700
1540560600,9.75000,9.75000,9.70000,9.70000,5300
1540819800,9.75000,9.75000,9.75000,9.75000,1000
1540906200,9.76700,9.76700,9.74000,9.74000,8900
1540992600,9.76000,9.76000,9.71000,9.71000,1000
1541079000,9.71000,9.71000,9.71000,9.71000,100
1541165400,9.76000,9.76000,9.71000,9.75000,1200
1541428200,9.85000,9.85000,9.72000,9.72000,13800
1541514600,9.77000,9.77000,9.70000,9.77000,4100
1541601000,9.78000,9.82000,9.70000,9.70000,69300
1541687400,9.75000,9.85000,9.70000,9.70000,279700
1541773800,9.70000,9.85000,9.70000,9.84000,15300
1542033000,9.83800,9.85000,9.83000,9.83000,3200
1542119400,9.84000,9.84000,9.75000,9.75000,500
1542205800,9.83000,9.85000,9.80000,9.80000,63900
1542292200,9.80000,9.85000,9.80000,9.80000,1200
1542378600,9.85000,9.85000,9.85000,9.85000,300
1542637800,9.82300,9.84000,9.75000,9.75000,119400
1542724200,9.84000,9.84000,9.81000,9.81000,7600
1542810600,9.83000,9.83000,9.75000,9.75000,8800
1542983400,9.83000,9.83000,9.81000,9.83000,900
1543242600,9.83000,9.83000,9.75000,9.75000,15700
1543329000,9.83000,10.06000,9.83000,10.06000,11300
1543415400,9.85000,9.86000,9.81000,9.81000,2000
1543501800,10.00000,10.00000,9.81000,9.87000,4300
1543588200,9.87000,9.87000,9.85000,9.85000,2100
1543847400,9.88000,9.90000,9.82000,9.82000,19700
1543933800,9.98000,10.00000,9.82000,9.82000,1100
1544106600,9.95000,9.95000,9.84000,9.85000,50500
1544193000,9.85000,9.85000,9.76000,9.78000,62800
1544452200,9.82000,9.88000,9.82000,9.88000,27000
1544538600,9.86000,9.86500,9.80500,9.85000,52300
1544625000,9.85000,9.87000,9.82000,9.87000,51100
1544711400,9.83000,9.86000,9.80000,9.80000,20200
1544797800,9.70000,9.85000,9.70000,9.72000,45700
1545057000,9.75000,9.84000,9.75000,9.75000,2200
1545143400,9.85000,9.85000,9.75000,9.75000,42700
1545229800,9.83000,9.83000,9.81000,9.82000,10700
1545316200,9.82000,9.82000,9.80000,9.80000,6800
1545402600,9.80000,9.80000,9.80000,9.80000,212100
1545661800,9.80000,9.80000,9.80000,9.80000,100
1545834600,9.84000,9.84000,9.80000,9.80000,2300
1545921000,9.79000,9.80000,9.73000,9.73000,2800
1546007400,9.83000,9.83000,9.73000,9.73000,8600
1546266600,9.77000,9.80000,9.73000,9.80000,21400
1546439400,9.75000,9.83000,9.75000,9.75000,2300
1546525800,9.75000,9.81000,9.75000,9.75000,1800
1546612200,9.75000,9.79000,9.75000,9.78000,16000
1546871400,9.78000,9.84000,9.78000,9.81000,18400
1546957800,9.85000,9.88000,9.76000,9.80000,221400
1547044200,9.81000,9.84000,9.78000,9.82000,25400
1547130600,9.80000,9.85000,9.77000,9.77000,39900
1547217000,9.85000,9.85000,9.77000,9.84000,35000
1547476200,9.76000,9.85000,9.76000,9.83000,27100
1547562600,9.84000,9.85000,9.79100,9.85000,16300
1547649000,9.85000,9.86000,9.81000,9.81000,21600
1547735400,9.85000,9.85000,9.81000,9.85000,400
1547821800,9.84600,9.85000,9.82000,9.85000,326000
1548167400,9.84000,9.85100,9.80000,9.83000,426900
1548253800,9.87000,9.88000,9.87000,9.88000,400
1548340200,9.82000,9.87000,9.82000,9.87000,395600
1548426600,9.85000,9.87000,9.85000,9.86000,101100
1548685800,9.86000,9.88000,9.86000,9.87000,103800
1548772200,9.87000,9.90000,9.86000,9.86000,2400
1548858600,9.87000,9.89000,9.87000,9.89000,4900
1548945000,9.87000,9.93000,9.86000,9.87000,7200
1549031400,9.95000,9.95000,9.95000,9.95000,700
1549290600,9.92000,9.95000,9.83000,9.83000,92000
1549377000,9.87000,9.87000,9.84000,9.86000,594400
1549463400,9.88000,9.95000,9.87000,9.95000,6300
1549549800,9.90000,9.95000,9.90000,9.95000,8800
1549636200,9.93000,9.95000,9.93000,9.95000,1800
1549895400,9.94000,9.94000,9.88500,9.94000,4000
1549981800,9.93000,9.98000,9.93000,9.98000,51100
1550068200,9.98000,9.98000,9.92000,9.93000,15100
1550154600,9.92000,9.95000,9.89000,9.93000,600700
1550241000,9.88000,9.95000,9.88000,9.89000,7400
1550586600,9.95000,9.95000,9.89000,9.89000,3100
1550673000,9.90000,9.90000,9.86000,9.86000,92700
1550759400,9.95000,9.95000,9.95000,9.95000,2700
1550845800,9.93500,9.94000,9.90000,9.90000,3000
1551105000,9.90000,9.90000,9.90000,9.90000,100
1551191400,9.93000,9.95000,9.91000,9.95000,3300
1551277800,9.92000,9.95000,9.88000,9.93000,74000
1551364200,9.93000,9.93000,9.93000,9.93000,0
1551450600,9.95000,9.95000,9.94000,9.94000,23600
1551709800,9.93000,9.95000,9.93000,9.95000,1400
1551796200,9.93000,10.00000,9.93000,10.00000,488600
1551882600,10.00000,10.03000,9.95000,10.03000,9300
1551969000,10.00000,10.01000,9.97000,9.97000,52200
1552055400,9.97000,9.97000,9.94900,9.97000,11600
1552311000,9.95000,9.97000,9.95000,9.96000,140100
1552397400,9.97000,9.97000,9.93000,9.93000,65800
1552483800,9.97000,9.98000,9.95000,9.95000,513800
1552570200,9.95000,9.97000,9.95000,9.95000,10200
1552656600,9.94000,9.98000,9.94000,9.98000,800
1552915800,9.97000,9.99000,9.97000,9.99000,8100
1553002200,10.00000,10.00000,9.97000,9.98000,133700
1553088600,9.98400,9.99000,9.97000,9.97000,127200
1553175000,9.95000,9.96000,9.94000,9.94000,3800
1553261400,9.99000,9.99000,9.94000,9.95000,198000
1553520600,9.99000,9.99000,9.97000,9.97000,1800
1553607000,9.99000,10.04000,9.99000,10.01000,238100
1553693400,9.99000,10.02000,9.97000,9.99000,141400
