time,open,high,low,close,tick_volume
1472477400,83.25000,83.75000,82.82000,83.36000,1041200
1472563800,83.19000,85.00000,83.18000,84.97000,1308200
1472650200,84.79000,85.10000,84.27000,84.79000,1418600
1472736600,84.05000,87.94000,84.00000,87.89000,3605500
1472823000,87.29000,89.40000,86.85000,88.98000,2471100
1473168600,89.34000,90.30000,88.98000,90.10000,2077900
1473255000,89.98000,90.73000,88.89000,89.28000,1766100
1473341400,88.84000,89.70000,88.43000,88.73000,2569000
1473427800,88.07000,88.62000,86.70000,87.22000,1500400
1473687000,86.41000,87.86000,86.03000,87.51000,1576600
1473773400,87.00000,87.45000,85.37000,86.67000,1518600
1473859800,86.44000,87.38000,85.86000,86.73000,1453000
1473946200,86.94000,88.94000,86.46000,88.50000,1430700
1474032600,87.70000,89.06000,86.99000,88.93000,1703100
1474291800,89.28000,90.15000,88.37000,88.65000,1463200
1474378200,89.23000,89.62000,88.12000,88.69000,890800
1474464600,89.36000,90.73000,88.81000,90.52000,917600
1474551000,89.98000,90.88000,89.97000,90.28000,1124100
1474637400,90.28000,90.28000,89.27000,89.51000,788700
1474896600,88.99000,88.99000,87.82000,88.32000,1503500
1474983000,88.32000,89.86000,88.01000,89.79000,1094100
1475069400,90.58000,90.95000,89.27000,90.88000,1803600
1475155800,90.70000,91.39000,90.21000,90.36000,1370700
1475242200,91.00000,92.46000,90.70000,91.69000,1524100
1475501400,91.56000,92.11000,90.25000,91.18000,1011300
1475587800,91.18000,91.75000,90.22000,90.49000,1173800
1475674200,90.79000,92.50000,90.61000,92.05000,1507800
1475760600,92.79000,93.00000,91.09000,91.56000,1385000
1475847000,91.13000,91.62000,90.14000,91.04000,873600
1476106200,91.45000,93.35000,91.45000,91.78000,837900
1476192600,91.46000,91.60000,87.85000,88.29000,1357700
1476279000,87.94000,88.27000,87.02000,87.62000,962800
1476365400,86.90000,87.56000,86.24000,87.15000,900700
1476451800,87.95000,89.09000,86.77000,87.01000,1111800
1476711000,87.01000,87.44000,85.93000,86.08000,1045100
1476797400,87.38000,87.72000,86.47000,86.54000,938900
1476883800,87.02000,87.94000,86.64000,87.30000,903900
1476970200,86.85000,88.29000,86.80000,88.07000,857900
1477056600,87.82000,88.51000,87.09000,88.48000,603800
1477315800,89.07000,89.35000,88.29000,88.54000,874700
1477402200,88.36000,88.84000,87.52000,87.71000,804000
1477488600,87.14000,87.75000,86.31000,86.68000,830300
1477575000,87.90000,88.49000,85.51000,85.76000,1296000
1477661400,85.92000,87.39000,85.92000,86.20000,812100
1477920600,86.58000,87.05000,85.53000,86.68000,1147300
1478007000,87.22000,87.26000,84.37000,84.96000,1091400
1478093400,84.09000,84.93000,82.38000,83.10000,1127800
1478179800,83.10000,83.82000,82.63000,83.00000,633300
1478266200,83.06000,83.78000,82.30000,82.77000,892600
1478529000,84.28000,86.15000,84.10000,85.59000,750800
1478615400,85.09000,86.76000,84.67000,85.70000,974200
1478701800,83.75000,86.59000,83.75000,84.97000,1195700
1478788200,85.38000,86.78000,81.26000,82.08000,1933000
1478874600,82.00000,83.03000,81.47000,82.74000,1255200
1479133800,83.07000,83.34000,80.43000,80.52000,2008300
1479220200,81.01000,82.30000,80.34000,81.41000,1539700
1479306600,80.14000,81.73000,78.05000,80.92000,1902300
1479393000,80.92000,83.39000,80.83000,83.14000,928900
