time,open,high,low,close,tick_volume
1472477400,35.44973,35.82011,35.39682,35.58579,3714323
1472563800,35.75208,35.97884,35.32124,35.60091,3267413
1472650200,35.37415,35.57067,34.79970,35.27589,4414190
1472736600,35.27589,35.58579,34.54271,35.01134,3988977
1472823000,35.43462,36.05442,34.96598,35.50265,3731654
1473168600,35.60091,36.05442,35.39682,35.94104,5972154
1473255000,37.46032,40.95238,37.46032,40.28723,24617193
1473341400,40.12849,40.74074,39.93197,40.41572,9421612
1473427800,40.02267,41.12623,38.77551,38.99471,7983379
1473687000,38.54875,39.70522,37.86848,39.53893,8645144
1473773400,39.69766,40.39305,38.94180,39.58428,7321482
1473859800,39.60695,39.81860,39.14588,39.29705,5099239
1473946200,39.38776,40.31746,39.28949,40.27211,5261968
1474032600,41.36810,42.29025,41.04308,41.52683,12578952
1474291800,41.84429,42.66818,41.06576,41.29252,6276180
1474378200,41.51171,41.76115,40.89947,41.13379,4040574
1474464600,41.11867,42.47166,41.11111,42.42630,5553160
1474551000,42.72109,42.99320,42.18443,42.38095,6037775
1474637400,42.28269,42.93273,42.19199,42.27513,5269112
1474896600,42.02570,43.61300,41.95011,43.09146,7807685
1474983000,42.92517,44.83749,42.82691,44.48980,10494698
1475069400,44.59562,44.79970,43.09902,43.84732,6453462
1475155800,44.16478,45.24566,43.51474,44.04384,7100012
1475242200,44.16478,44.70900,43.60544,44.19501,5816966
1475501400,44.61073,45.70673,44.39909,44.48980,6831840
1475587800,44.86016,45.01134,44.02116,44.36130,6087388
1475674200,44.21013,45.11716,43.98337,44.77702,5876766
1475760600,44.74679,44.79214,43.28798,43.87755,6568166
1475847000,43.77173,44.67876,43.74150,44.34618,4652991
1476106200,44.85261,45.14739,44.39153,44.79214,4976332
1476192600,44.79214,44.86016,42.36583,42.79667,8451059
1476279000,42.89494,43.73394,42.30537,42.65306,5678978
1476365400,42.04082,42.04837,40.61224,41.78382,6585894
1476451800,42.04082,42.68330,41.35299,41.45125,5070927
1476711000,41.43613,42.11640,39.62963,40.19652,8723201
1476797400,40.86924,41.08844,40.06047,40.80877,4145885
1476883800,39.83371,40.79365,39.38020,40.51398,4902244
1476970200,40.50642,41.04308,40.28723,40.71051,2930710
1477056600,40.46107,40.54422,39.77324,40.11338,3656640
1477315800,40.30234,40.62736,40.18140,40.45351,4177108
1477402200,40.85412,41.14890,40.14361,40.53666,4412470
1477488600,40.45351,42.83447,40.16629,42.72109,11676798
1477575000,44.25548,46.84052,44.21769,45.03402,19958117
1477661400,45.10960,46.10733,44.67120,44.75434,6297745
1477920600,44.78458,45.31368,44.16478,44.17234,4449514
1478007000,44.22525,44.52003,42.55480,43.26530,5055315
1478093400,43.16705,43.56009,41.67801,41.72335,5578033
1478179800,41.89720,42.31292,41.47392,41.67801,4223810
1478266200,41.36054,42.30537,41.01285,41.58730,3579509
1478529000,42.63794,43.80952,42.55480,43.59032,5957469
1478615400,43.34089,43.66591,42.81935,43.28042,3935793
1478701800,42.38851,43.86999,41.60998,43.44671,7698934
1478788200,43.82464,44.96598,42.82691,42.96296,6424885
1478874600,42.87226,44.58806,42.52457,44.51247,8229060
1479133800,44.33862,45.75964,44.33107,44.95843,5841839
1479220200,44.96598,45.34391,44.37642,45.13227,5355107
1479306600,44.98866,45.22298,44.48980,44.99622,3917668
1479393000,45.13227,45.54044,43.55253,44.44444,8752968
1479479400,44.57294,46.05442,44.06652,46.05442,6399748
1479738600,46.18292,47.12018,46.00907,46.23583,5142766
1479825000,46.44747,46.78004,45.59335,46.25095,3567205
1479911400,45.95616,46.47014,45.57823,46.13757,2912717
1480084200,46.07710,46.65155,45.85034,46.55329,1740274
1480343400,46.13001,47.70975,46.13001,47.06727,6253424
1480429800,47.08239,48.59410,47.08239,47.36961,6685119
1480516200,47.81557,48.65457,47.43008,48.11791,7121709
1480602600,48.27665,49.87906,46.38700,46.56841,7287613
1480689000,46.49282,48.11036,46.49282,47.88360,4626399
1480948200,48.48072,49.04006,45.94104,46.93122,9083189
1481034600,46.91610,48.57899,46.74981,48.26153,6680489
1481121000,51.33787,52.60771,50.12094,52.26757,20473425
1481207400,52.32804,52.53212,51.07332,51.58730,6312165
1481293800,51.70068,52.45654,51.07332,51.17914,4102226
1481553000,51.16402,51.16402,49.19123,50.10582,4812677
1481639400,50.33258,52.00302,50.33258,51.32275,4696915
1481725800,50.98262,51.61753,50.44596,50.77097,3384499
1481812200,50.86924,52.03326,50.49131,51.31519,3709824
1481898600,51.98791,51.99546,50.57445,50.77853,6418931
1482157800,50.89947,51.72335,50.65760,51.67044,3372989
1482244200,52.31292,54.17234,51.95011,52.11640,5669849
1482330600,52.16175,52.75132,51.60242,52.32048,3619728
1482417000,53.96069,54.42933,52.76644,53.05367,7221728
1482503400,53.01587,53.43159,52.67574,53.17460,2986143
1482849000,52.68330,53.27287,52.56992,53.03855,2781608
1482935400,52.80423,53.78685,51.87453,52.31292,4163481
1483021800,52.16931,52.48677,51.25472,51.72335,4324226
1483108200,51.81406,52.45654,51.10355,51.36054,3736284
1483453800,52.11640,53.13681,51.83673,52.47921,5925717
1483540200,52.59259,54.10431,52.56992,53.31821,4833184
1483626600,53.71126,54.52003,53.00831,53.32578,4813471
1483713000,53.27287,53.80952,52.87982,53.19728,4331899
1483972200,53.59032,54.64853,53.23507,54.31595,5172401
1484058600,54.28571,54.57294,53.49962,53.54498,4830538
1484145000,53.79441,54.84505,53.34089,54.00605,5782436
1484231400,53.61300,53.68859,52.22978,53.47695,4565541
1484317800,53.35601,54.28571,53.35601,53.66591,2749723
1484663400,53.46939,54.67876,53.46183,54.13454,5961041
1484749800,54.41421,55.53288,54.10431,55.35903,5838531
