time,open,high,low,close,tick_volume
1472477400,64.10000,64.56000,63.98000,64.37000,2233500
1472563800,64.52000,64.52000,63.84000,64.05000,1671400
1472650200,63.88000,64.04000,63.61000,63.94000,1520300
1472736600,63.98000,64.13000,63.67000,64.00000,2225300
1472823000,64.32000,64.62000,64.08000,64.35000,1514000
1473168600,64.51000,64.84000,64.20000,64.65000,2494100
1473255000,64.20000,64.30000,63.83000,64.11000,2023100
1473341400,63.95000,64.44000,63.86000,64.31000,1790100
1473427800,63.87000,63.87000,62.74000,62.75000,2536500
1473687000,62.89000,63.56000,62.63000,63.34000,3803200
1473773400,63.00000,63.22000,62.60000,62.69000,3682900
1473859800,62.78000,62.94000,62.41000,62.65000,1964900
1473946200,62.58000,63.14000,62.45000,62.83000,2712600
1474032600,62.51000,62.90000,62.48000,62.81000,2975500
1474291800,62.66000,63.17000,62.57000,62.99000,2500800
1474378200,63.48000,63.70000,63.17000,63.22000,3085300
1474464600,63.36000,64.05000,63.25000,64.00000,2558200
1474551000,64.20000,64.25000,63.70000,64.01000,5233200
1474637400,63.12000,63.74000,63.12000,63.36000,1922500
1474896600,63.31000,63.67000,63.09000,63.50000,1450100
1474983000,63.71000,64.03000,63.71000,63.89000,2660600
1475069400,63.96000,64.16000,63.72000,63.85000,1455700
1475155800,63.73000,63.78000,63.21000,63.27000,1650800
1475242200,63.49000,64.04000,63.40000,63.76000,2471700
1475501400,63.70000,63.76000,63.38000,63.46000,1230600
1475587800,63.47000,63.58000,62.38000,62.65000,1813900
1475674200,62.82000,62.96000,62.26000,62.41000,1665500
1475760600,62.37000,63.00000,62.06000,62.78000,2706100
1475847000,62.73000,62.85000,62.28000,62.28000,2323000
1476106200,62.34000,62.86000,62.34000,62.78000,2356800
1476192600,62.61000,62.85000,62.22000,62.43000,1440900
1476279000,62.54000,63.14000,62.36000,62.82000,1826000
1476365400,62.10000,62.22000,61.08000,61.70000,2567400
1476451800,61.85000,62.46000,61.74000,61.88000,1869100
1476711000,61.87000,62.82000,61.81000,62.64000,1733100
1476797400,63.05000,63.15000,62.45000,62.54000,941100
1476883800,62.55000,62.59000,61.98000,62.43000,1394700
1476970200,62.40000,62.59000,62.17000,62.44000,979500
1477056600,62.02000,62.25000,61.59000,62.21000,1158400
1477315800,62.40000,62.71000,62.40000,62.58000,1263500
1477402200,62.48000,63.39000,62.33000,62.74000,2363200
1477488600,64.04000,64.25000,62.96000,63.97000,2276500
1477575000,64.19000,64.44000,63.22000,63.36000,2113000
1477661400,63.51000,64.43000,63.51000,63.98000,2556300
1477920600,64.93000,65.87000,64.92000,65.66000,3529600
1478007000,64.92000,65.00000,63.79000,63.95000,2696000
1478093400,64.07000,64.28000,63.50000,63.64000,1853500
1478179800,63.64000,63.64000,63.19000,63.41000,1069700
1478266200,63.41000,63.72000,63.35000,63.37000,1136600
1478529000,64.26000,64.75000,64.04000,64.70000,1905000
1478615400,64.68000,65.58000,64.52000,65.30000,1704000
1478701800,64.68000,66.10000,64.32000,65.96000,2532900
1478788200,66.00000,66.66000,65.56000,66.54000,2748500
1478874600,66.40000,67.87000,66.40000,67.61000,2424900
1479133800,67.65000,68.00000,67.14000,67.72000,1956900
1479220200,67.84000,68.68000,67.75000,68.65000,2988200
1479306600,68.66000,69.45000,68.30000,68.71000,2564500
1479393000,68.58000,68.91000,68.42000,68.77000,1864000
1479479400,68.76000,68.97000,68.52000,68.90000,2078900
1479738600,68.99000,69.58000,68.81000,69.53000,1635200
1479825000,69.67000,69.90000,69.49000,69.57000,1591100
1479911400,69.54000,69.92000,69.37000,69.54000,1422100
1480084200,69.59000,70.13000,69.53000,70.03000,750500
1480343400,70.00000,70.36000,69.76000,70.23000,1514700
1480429800,70.02000,70.67000,69.90000,70.39000,2391200
1480516200,70.36000,70.36000,69.52000,69.52000,2896700
1480602600,69.62000,69.81000,68.93000,69.29000,2392900
1480689000,69.58000,70.41000,69.41000,69.87000,1834600
1480948200,69.90000,70.22000,68.88000,69.00000,2621300
1481034600,68.89000,69.53000,68.84000,69.51000,2257400
1481121000,69.46000,69.95000,68.97000,69.94000,2539200
1481207400,69.91000,70.28000,69.79000,70.06000,1385200
1481293800,70.07000,70.23000,69.76000,70.02000,1628100
1481553000,69.94000,70.77000,69.87000,70.70000,1402100
1481639400,70.76000,71.17000,70.39000,70.83000,1788000
1481725800,71.03000,71.10000,69.99000,70.04000,2384200
1481812200,69.89000,70.41000,69.87000,70.10000,3199700
1481898600,70.33000,70.81000,70.00000,70.08000,3669900
1482157800,70.74000,71.36000,70.66000,71.09000,2249700
1482244200,71.25000,71.78000,71.10000,71.14000,1460800
1482330600,71.10000,71.35000,70.68000,70.69000,1440700
1482417000,70.69000,70.93000,70.61000,70.79000,1608700
1482503400,70.96000,71.11000,70.76000,70.92000,910700
1482849000,70.96000,71.11000,70.85000,70.96000,708400
1482935400,71.00000,71.40000,70.90000,70.96000,1098800
1483021800,71.00000,71.24000,70.93000,71.01000,871200
1483108200,71.27000,71.50000,70.75000,70.91000,1230600
1483453800,71.00000,71.28000,70.19000,70.52000,1744000
1483540200,70.75000,71.18000,70.32000,70.32000,1606300
1483626600,70.37000,71.10000,70.29000,70.59000,2464200
1483713000,70.41000,70.80000,70.18000,70.19000,1570600
1483972200,70.35000,70.48000,69.67000,69.78000,2262500
1484058600,69.58000,69.98000,69.18000,69.49000,2089900
1484145000,69.46000,70.27000,69.35000,70.13000,1731900
1484231400,69.96000,70.11000,69.39000,69.89000,1337800
1484317800,70.11000,70.29000,69.72000,69.79000,1611500
1484663400,69.54000,69.72000,69.38000,69.48000,1795000
1484749800,69.43000,69.67000,69.43000,69.59000,1422300
1484836200,69.37000,69.69000,69.25000,69.57000,1162100
1484922600,69.72000,69.83000,69.45000,69.66000,1331300
1485181800,69.69000,69.87000,69.23000,69.34000,1005000
1485268200,69.35000,69.62000,69.00000,69.56000,1090900
1485354600,69.56000,69.98000,69.56000,69.67000,1931800
1485441000,69.69000,69.85000,69.60000,69.73000,1137000
1485527400,69.85000,69.85000,69.54000,69.64000,1134600
1485786600,69.69000,69.69000,69.37000,69.60000,1146200
1485873000,69.71000,69.98000,69.34000,69.50000,1374100
1485959400,69.32000,69.61000,69.00000,69.18000,1719000
1486045800,69.15000,69.70000,69.06000,69.64000,1613200
1486132200,69.78000,69.99000,69.58000,69.65000,1351300
1486391400,69.81000,69.93000,69.31000,69.42000,1006200
1486477800,69.48000,70.09000,69.46000,69.90000,1554800
1486564200,69.85000,70.13000,69.75000,70.01000,1604200
1486650600,70.01000,70.31000,69.74000,70.25000,1512100
1486737000,70.16000,70.83000,70.04000,70.54000,1617300
1486996200,70.59000,70.99000,70.51000,70.84000,1548800
1487082600,70.79000,71.05000,70.72000,70.86000,1230100
1487169000,70.64000,71.44000,70.50000,71.35000,1499000
1487255400,69.64000,71.23000,69.55000,71.18000,2252600
1487341800,71.17000,72.47000,71.15000,72.45000,2436500
1487687400,72.35000,73.20000,72.21000,72.82000,1717000
1487773800,72.85000,73.21000,72.57000,73.01000,1319200
1487860200,73.14000,73.30000,72.59000,72.91000,1490200
1487946600,72.98000,73.15000,72.76000,73.15000,1150600
1488205800,73.07000,73.45000,73.00000,73.24000,1144200
1488292200,73.21000,73.53000,73.13000,73.32000,2115300
1488378600,73.35000,73.65000,72.85000,73.37000,1746800
1488465000,73.15000,73.55000,73.06000,73.28000,1108200
1488551400,73.27000,73.29000,72.68000,72.83000,2133800
1488810600,72.58000,73.08000,72.43000,73.01000,1994600
1488897000,72.85000,73.26000,72.68000,72.70000,1762500
1488983400,72.21000,72.58000,72.01000,72.19000,1517300
1489069800,72.21000,72.41000,71.94000,72.30000,1568300
1489156200,72.54000,73.10000,72.51000,73.00000,1638900
1489411800,72.87000,73.15000,72.67000,73.10000,1359600
1489498200,73.09000,73.22000,72.72000,72.98000,1070100
1489584600,73.03000,73.86000,72.86000,73.78000,1575600
1489671000,73.65000,73.90000,72.94000,73.11000,1462400
1489757400,73.36000,73.79000,73.17000,73.54000,3203300
1490016600,73.58000,73.61000,73.07000,73.11000,1444800
1490103000,73.35000,73.37000,72.41000,72.52000,2194400
1490189400,72.78000,72.95000,72.54000,72.65000,1399200
1490275800,72.56000,72.89000,72.47000,72.56000,1213500
1490362200,72.60000,72.87000,72.15000,72.32000,1578000
1490621400,72.18000,72.18000,71.56000,71.88000,1624200
1490707800,71.62000,72.46000,71.53000,72.34000,1619800
1490794200,71.85000,72.43000,71.82000,72.15000,1768500
1490880600,72.19000,72.94000,72.15000,72.93000,1351800
1490967000,72.72000,73.14000,72.68000,72.92000,1331000
1491226200,73.08000,73.09000,72.50000,72.59000,1528700
1491312600,72.67000,72.92000,72.43000,72.53000,2316300
1491399000,72.78000,73.73000,72.78000,73.27000,1559200
1491485400,73.15000,73.26000,72.74000,73.09000,1257100
1491571800,73.19000,73.52000,73.05000,73.21000,1175000
1491831000,73.11000,73.24000,72.76000,72.89000,1226900
1491917400,72.88000,72.97000,72.51000,72.87000,1212100
1492003800,72.71000,72.82000,72.15000,72.30000,1551500
1492090200,72.12000,72.39000,71.91000,72.02000,1927500
1492435800,72.22000,72.71000,72.22000,72.50000,1241100
1492522200,72.40000,72.55000,72.23000,72.45000,1322100
1492608600,72.61000,72.85000,72.49000,72.71000,1429600
1492695000,72.87000,72.97000,72.70000,72.84000,1138300
1492781400,72.90000,73.57000,72.85000,73.38000,1356100
1493040600,73.82000,74.20000,73.72000,74.10000,1407800
1493127000,74.20000,74.58000,74.13000,74.23000,1616200
1493213400,74.08000,74.27000,72.16000,72.30000,2914700
1493299800,72.84000,73.62000,72.61000,72.84000,1663400
1493386200,72.78000,73.10000,72.56000,72.78000,1501000
1493645400,73.08000,73.11000,72.27000,73.01000,1721000
1493731800,73.21000,73.29000,72.56000,72.86000,1256300
1493818200,72.83000,72.95000,72.50000,72.88000,1351600
1493904600,73.05000,73.13000,72.63000,72.95000,1367400
1493991000,73.03000,73.43000,72.93000,73.39000,904000
1494250200,73.44000,73.62000,73.11000,73.26000,1210400
1494336600,73.11000,73.44000,72.53000,72.76000,1316500
1494423000,72.63000,73.24000,72.53000,73.09000,1457800
1494509400,72.85000,72.91000,72.41000,72.55000,1429100
1494595800,72.77000,72.77000,71.87000,71.96000,1223800
1494855000,71.85000,72.27000,71.58000,72.17000,1334700
1494941400,72.18000,72.30000,71.16000,71.25000,1898200
1495027800,71.25000,71.25000,70.68000,70.73000,1644700
1495114200,70.66000,71.19000,70.25000,70.96000,2235700
1495200600,70.88000,70.99000,70.08000,70.50000,3271900
1495459800,70.68000,71.10000,70.61000,70.97000,2345500
1495546200,71.13000,71.50000,70.72000,71.02000,1603200
1495632600,71.30000,71.47000,71.10000,71.38000,1521500
1495719000,71.49000,71.74000,71.34000,71.57000,1291900
1495805400,71.37000,71.93000,71.28000,71.84000,1076300
1496151000,71.78000,72.25000,71.62000,72.14000,1365800
1496237400,72.15000,72.99000,72.11000,72.91000,2364200
1496323800,72.96000,73.50000,72.72000,73.46000,1630000
1496410200,73.71000,74.42000,73.59000,74.25000,1856800
1496669400,74.03000,74.50000,73.73000,73.91000,1523900
1496755800,73.96000,74.09000,73.25000,73.41000,1775000
1496842200,73.20000,73.50000,73.11000,73.33000,1633800
1496928600,73.33000,73.52000,72.31000,72.54000,2232600
1497015000,72.47000,72.77000,72.24000,72.65000,2025000
1497274200,72.65000,73.00000,72.50000,72.88000,1961500
1497360600,72.88000,73.62000,72.76000,73.37000,1431800
1497447000,73.63000,73.88000,73.27000,73.42000,1492600
1497533400,73.15000,74.17000,73.15000,74.05000,2523300
1497619800,74.20000,74.48000,73.94000,74.14000,2601600
1497879000,74.19000,74.52000,73.91000,74.18000,2244600
1497965400,74.07000,74.44000,73.77000,73.77000,1275300
1498051800,73.77000,74.03000,73.12000,73.40000,2568100
1498138200,73.34000,73.56000,73.02000,73.36000,1062800
1498224600,73.27000,73.59000,73.20000,73.43000,1649200
1498483800,73.60000,73.80000,73.33000,73.46000,1233900
1498570200,73.23000,73.54000,73.11000,73.11000,1033800
1498656600,73.53000,74.15000,73.45000,73.52000,1289900
1498743000,73.49000,73.70000,72.58000,73.02000,2280900
1498829400,73.38000,73.65000,73.22000,73.35000,1460900
1499088600,73.44000,73.84000,73.32000,73.40000,758200
1499261400,73.80000,73.85000,73.40000,73.72000,1413900
1499347800,73.41000,73.58000,73.18000,73.39000,1552200
1499434200,73.55000,74.19000,73.49000,73.99000,1468300
1499693400,73.97000,74.29000,73.76000,73.98000,1399300
1499779800,73.98000,74.20000,73.74000,73.86000,1202900
1499866200,74.22000,74.53000,74.16000,74.17000,1167300
1499952600,74.17000,74.22000,73.73000,73.99000,1012700
1500039000,74.09000,74.30000,74.01000,74.27000,773500
1500298200,74.21000,74.62000,74.03000,74.50000,1162000
1500384600,74.60000,74.97000,74.40000,74.79000,1383600
1500471000,74.82000,75.07000,74.72000,74.92000,2227400
1500557400,74.81000,75.28000,74.65000,75.00000,2184800
1500643800,74.89000,75.42000,74.86000,75.37000,1385600
1500903000,75.30000,75.46000,75.03000,75.09000,1516900
1500989400,75.27000,75.97000,75.12000,75.64000,2202100
1501075800,76.00000,76.00000,73.48000,74.66000,3670400
1501162200,74.95000,75.49000,74.49000,75.45000,1882000
1501248600,75.46000,75.64000,74.61000,74.80000,1494300
1501507800,74.94000,75.34000,74.81000,75.15000,1362600
1501594200,75.33000,75.50000,75.15000,75.22000,1485700
1501680600,74.99000,75.42000,74.82000,75.25000,1311700
1501767000,75.38000,75.73000,75.24000,75.62000,1889700
1501853400,75.66000,75.95000,75.38000,75.52000,1519400
1502112600,75.52000,75.68000,75.27000,75.39000,868200
1502199000,75.27000,75.54000,75.17000,75.34000,1325300
1502285400,75.24000,75.46000,75.13000,75.23000,1454600
1502371800,75.06000,75.42000,74.76000,74.81000,1628100
1502458200,74.96000,75.22000,74.61000,74.61000,958400
1502717400,75.13000,75.67000,75.09000,75.55000,1091500
1502803800,75.55000,75.87000,75.47000,75.70000,1161800
1502890200,75.85000,76.25000,75.73000,76.00000,1663700
1502976600,76.00000,76.33000,75.49000,75.53000,1476700
1503063000,75.43000,75.66000,75.20000,75.25000,1555100
1503322200,75.29000,75.88000,75.28000,75.54000,1819900
1503408600,75.72000,76.20000,75.72000,76.20000,1526400
1503495000,75.88000,76.16000,75.81000,76.03000,1067300
1503581400,76.17000,76.25000,75.60000,75.65000,864400
1503667800,75.95000,76.32000,75.88000,75.89000,972500
1503927000,76.01000,76.36000,75.78000,76.26000,1986100
1504013400,76.12000,76.85000,76.00000,76.75000,1407500
1504099800,76.72000,76.96000,76.37000,76.95000,1847300
1504186200,77.03000,77.18000,76.75000,77.11000,2115500
1504272600,77.24000,77.52000,77.13000,77.19000,1782400
1504618200,77.18000,77.19000,75.83000,75.94000,2792100
1504704600,76.03000,76.29000,75.96000,76.13000,1857200
1504791000,75.94000,76.11000,75.72000,76.08000,1836000
1504877400,75.99000,77.25000,75.77000,77.12000,2240600
1505136600,77.60000,77.81000,77.29000,77.72000,2340800
1505223000,77.59000,78.38000,77.50000,78.32000,1470000
1505309400,78.31000,78.39000,77.70000,77.81000,1697300
1505395800,77.74000,78.00000,77.62000,77.84000,1630300
1505482200,77.81000,78.04000,77.35000,78.00000,2335800
1505741400,78.10000,78.35000,77.97000,78.18000,1233600
1505827800,78.21000,78.33000,77.92000,78.26000,1137900
1505914200,78.37000,78.71000,78.27000,78.39000,1625700
1506000600,78.48000,78.56000,77.78000,78.28000,1737900
1506087000,78.24000,78.55000,78.19000,78.20000,1003500
1506346200,78.44000,78.60000,78.25000,78.60000,1463600
1506432600,78.62000,78.79000,78.40000,78.62000,1266200
1506519000,78.64000,78.82000,78.19000,78.32000,1817100
1506605400,78.10000,78.47000,77.79000,78.41000,2376800
1506691800,78.36000,78.53000,78.06000,78.27000,1917400
1506951000,78.50000,78.77000,78.30000,78.77000,1775500
1507037400,78.76000,79.28000,78.44000,79.28000,1922200
1507123800,77.88000,77.99000,75.86000,76.33000,5727700
1507210200,76.26000,76.90000,76.13000,76.67000,2500700
1507296600,76.41000,76.55000,75.97000,76.28000,2530600
1507555800,76.44000,76.88000,76.39000,76.79000,1124000
1507642200,77.06000,77.18000,76.63000,76.74000,1870400
1507728600,76.99000,77.30000,76.80000,77.08000,2337400
1507815000,77.00000,77.21000,76.86000,76.92000,2592300
1507901400,77.17000,77.50000,76.93000,77.02000,2086800
1508160600,77.00000,77.20000,76.61000,76.69000,1549000
1508247000,76.60000,77.01000,76.55000,76.84000,1793500
1508333400,77.00000,77.15000,76.85000,76.94000,1444500
1508419800,76.85000,77.49000,76.84000,77.37000,1285900
1508506200,77.65000,77.88000,77.55000,77.73000,1357500
1508765400,77.26000,77.94000,77.14000,77.72000,1716500
1508851800,77.95000,78.15000,77.84000,77.95000,1320500
1508938200,77.93000,77.93000,77.38000,77.51000,1849800
1509024600,78.58000,81.43000,78.00000,81.31000,3795100
1509111000,81.67000,82.70000,81.37000,82.31000,2767400
1509370200,82.31000,82.87000,81.59000,81.87000,2005700
1509456600,81.75000,82.28000,81.61000,82.17000,2000500
1509543000,82.21000,82.45000,80.86000,81.10000,2754700
1509629400,81.25000,82.04000,81.25000,81.65000,2629500
1509715800,81.87000,82.63000,81.70000,81.70000,2001000
1509978600,81.63000,81.71000,81.24000,81.24000,1313300
1510065000,81.28000,81.71000,81.21000,81.63000,2088600
1510151400,81.54000,82.21000,81.53000,81.84000,1301600
1510237800,81.55000,81.76000,81.01000,81.40000,1213100
1510324200,81.21000,81.53000,81.07000,81.32000,1815600
1510583400,81.32000,82.19000,81.27000,82.14000,1902800
1510669800,81.71000,82.50000,81.53000,82.38000,1438800
1510756200,82.20000,82.25000,78.33000,81.73000,1129900
1510842600,81.85000,82.25000,81.53000,81.70000,2141200
1510929000,81.61000,81.72000,80.54000,80.65000,2157800
1511188200,80.88000,81.31000,80.69000,80.92000,1963800
1511274600,81.02000,81.17000,80.65000,80.87000,1371700
1511361000,80.87000,80.88000,80.24000,80.26000,2363700
1511533800,80.33000,80.50000,79.76000,80.38000,540700
1511793000,80.50000,81.05000,80.36000,80.85000,996500
1511879400,81.04000,81.65000,80.86000,81.61000,877500
1511965800,81.49000,82.97000,81.34000,82.62000,1930900
1512052200,82.44000,82.88000,81.99000,82.25000,3620200
1512138600,82.39000,82.65000,80.82000,81.81000,2383800
1512397800,82.38000,83.93000,82.29000,83.15000,2263400
1512484200,83.40000,83.90000,83.07000,83.32000,2469500
1512570600,83.43000,83.69000,83.12000,83.50000,1431100
1512657000,83.81000,83.95000,83.29000,83.91000,1171200
1512743400,84.00000,84.57000,83.68000,84.57000,1668400
1513002600,85.87000,85.87000,84.99000,85.37000,2861500
1513089000,85.13000,85.49000,84.53000,84.64000,2223700
