time,open,high,low,close,tick_volume
1472477400,38.99000,39.01000,37.59000,38.36000,1325900
1472563800,38.26000,38.72000,37.99000,38.46000,1169100
1472650200,38.40000,38.85000,38.17000,38.51000,533500
1472736600,38.55000,39.64000,38.37000,39.29000,769600
1472823000,39.50000,39.97000,38.65000,38.79000,593700
1473168600,38.99000,40.76000,38.86000,40.49000,1311400
1473255000,40.28000,40.77000,39.93000,40.60000,1286700
1473341400,40.60000,41.47000,40.54000,41.39000,1312700
1473427800,41.31000,41.49000,37.96000,38.18000,2041900
1473687000,38.12000,38.71000,37.78000,38.62000,900400
1473773400,38.27000,38.75000,37.00000,37.55000,1177300
1473859800,38.57000,39.61000,38.50000,39.55000,1138100
1473946200,39.39000,40.40000,39.27000,40.33000,1463600
1474032600,40.06000,43.29000,40.06000,42.10000,2647400
1474291800,41.89000,42.04000,40.61000,41.56000,991500
1474378200,41.66000,42.51000,41.16000,42.06000,593300
1474464600,42.92000,43.21000,41.90000,42.76000,1157900
1474551000,43.01000,43.05000,42.33000,42.81000,869600
1474637400,42.48000,42.92000,41.64200,41.98000,1027500
1474896600,41.70000,41.85000,41.04000,41.24000,1360500
1474983000,41.40000,41.44000,40.48000,41.24000,792000
1475069400,40.85000,41.40000,40.39000,40.52000,532100
1475155800,40.74000,40.74000,39.42000,39.44000,866700
1475242200,39.73000,39.92000,39.11000,39.37000,1318500
1475501400,39.07000,39.30000,38.10000,38.42000,1186800
1475587800,38.80000,39.79000,38.11000,38.53000,1246600
1475674200,38.48000,39.41000,38.05000,39.15000,618500
1475760600,39.23000,39.71000,38.76000,39.09000,718600
1475847000,39.32000,39.51900,37.69000,37.99000,860100
1476106200,38.39000,38.69000,37.37000,37.42000,676400
1476192600,37.27000,37.58000,36.00000,36.19000,1264700
1476279000,36.30000,37.12000,36.12000,36.59000,637500
1476365400,36.33000,36.81000,35.55000,36.47000,1554200
1476451800,36.49000,36.56000,35.32000,35.43000,1361900
1476711000,35.34000,35.87000,34.83500,35.73000,918600
1476797400,36.34000,36.55000,35.44500,36.42000,900700
1476883800,36.36000,36.74000,35.99000,36.72000,606000
1476970200,36.59000,36.93000,36.11000,36.26000,1285700
1477056600,35.85000,36.81000,35.77000,36.28000,1100500
1477315800,36.69000,36.74000,36.35000,36.56000,976800
1477402200,36.58000,36.62000,34.98000,35.24000,1826500
1477488600,34.91000,35.13000,34.24000,34.53000,1310700
1477575000,34.81000,35.03000,33.52500,34.15000,1175300
1477661400,34.15000,34.20000,33.16000,33.37000,1466800
1477920600,33.30000,33.78000,32.93300,33.33000,604500
1478007000,33.20000,33.40000,32.21000,32.29000,776300
1478093400,32.17000,32.33000,31.53000,31.96000,872600
1478179800,31.97000,32.71000,31.87500,32.28000,1038800
1478266200,32.02000,33.00000,31.55000,32.51000,2391300
1478529000,33.02000,34.11000,32.63000,33.65000,3295800
1478615400,29.28000,32.95000,27.60000,32.26000,9759400
1478701800,31.72000,34.23000,31.38000,34.01000,3437800
1478788200,34.22000,36.78000,34.01000,35.50000,2394700
1478874600,35.26000,35.78000,34.54000,35.71000,1106400
1479133800,35.83000,36.95000,35.50000,36.09000,1318300
1479220200,36.00000,38.16000,36.00000,36.81000,1384500
1479306600,36.81000,37.38000,36.55000,36.68000,786000
1479393000,36.42000,36.79000,35.35000,35.51000,1019100
1479479400,35.15000,35.15000,33.25000,33.30000,2055300
1479738600,33.49000,33.92000,32.97100,33.60000,1379000
1479825000,33.27000,35.00000,32.60500,34.92000,1352000
1479911400,35.18000,35.24000,33.93000,35.04000,718500
1480084200,35.25000,35.28000,34.62000,35.02000,295500
1480343400,34.80000,34.90000,33.60000,34.03000,1316400
1480429800,34.16000,35.03000,34.03000,34.74000,1281900
1480516200,34.72000,36.80000,34.17000,36.45000,1894300
1480602600,36.29000,37.29000,35.91000,36.41000,1133900
1480689000,36.58000,37.36000,36.45000,37.11000,894100
1480948200,37.07000,37.30000,36.62000,36.72000,1217900
1481034600,36.78000,37.70000,36.00000,37.02000,1961100
1481121000,37.07000,37.48000,36.75000,37.22000,948000
1481207400,37.47000,38.76000,37.00000,38.58000,863700
1481293800,38.31000,38.69000,37.45000,37.93000,904400
1481553000,37.99000,38.49000,37.27000,38.13000,713600
1481639400,38.25000,38.94000,37.97000,38.53000,440000
1481725800,38.60000,38.67000,38.07000,38.28000,429800
1481812200,37.84000,38.84000,37.36000,38.31000,470700
1481898600,38.59000,39.32000,37.41000,37.47000,1498700
1482157800,37.47000,38.46000,37.47000,37.99000,696000
1482244200,38.10000,38.35000,37.32000,37.64000,1298200
1482330600,37.64000,38.14000,37.09000,37.19000,1139500
1482417000,37.68000,38.38000,36.18000,36.40000,1575900
1482503400,36.39000,36.86000,34.82000,35.25000,1209300
1482849000,35.29000,36.49000,35.29000,36.25000,585500
1482935400,36.02000,36.43000,35.47000,35.96000,516900
1483021800,35.65000,36.40000,35.09000,35.47000,617800
1483108200,35.51000,35.71000,34.63000,35.05000,761300
1483453800,34.89000,35.78000,34.30000,35.18000,1016400
1483540200,35.16000,36.94500,35.11000,36.48000,1111500
1483626600,36.41000,37.29000,36.00000,37.17000,1202300
1483713000,37.20000,37.55000,36.75000,37.36000,1304000
1483972200,37.39000,38.17500,36.76000,38.05000,708600
1484058600,38.35000,41.98000,37.95000,41.04000,3070000
1484145000,40.63000,41.03000,40.24000,40.85000,1042800
1484231400,40.50000,40.85000,38.93900,40.37000,1030800
1484317800,40.52000,40.52000,39.10000,39.67000,993400
1484663400,39.51000,40.92000,39.15000,40.55000,1508600
1484749800,40.55000,40.55000,39.79500,40.23000,619400
1484836200,40.44000,40.44000,40.06500,40.12000,677800
1484922600,40.23000,40.86000,40.00000,40.15000,467000
1485181800,39.89000,40.54000,39.75500,39.88000,748700
1485268200,40.14000,41.12000,39.90000,41.07000,778000
1485354600,41.14000,41.66000,40.99000,41.56000,766800
1485441000,41.56000,42.53000,41.06500,42.25000,1045200
1485527400,42.39000,42.70000,41.83000,42.31000,978200
1485786600,41.99000,42.53000,40.96000,41.73000,1508400
1485873000,41.56000,41.88000,40.67000,41.56000,901900
1485959400,41.48000,41.86000,41.03000,41.57000,796100
1486045800,41.49000,42.41000,41.24000,41.82000,512500
1486132200,42.25000,42.28000,41.66000,42.19000,949100
1486391400,42.00000,42.72000,41.70000,42.60000,699300
1486477800,42.76000,43.49000,42.23000,42.59000,1242700
1486564200,42.79000,42.79000,41.05000,42.24000,1106500
1486650600,42.48000,43.08000,42.10000,42.28000,802400
1486737000,42.54000,43.00000,42.41500,42.79000,436600
1486996200,42.87000,42.94000,41.68000,41.91000,613100
1487082600,42.01000,42.05000,40.89000,41.20000,763400
1487169000,41.20000,41.83000,40.66000,41.49000,1090800
1487255400,41.35000,41.85000,40.01000,40.17000,977000
1487341800,40.20000,40.66000,39.52000,40.13000,909900
1487687400,40.09000,40.62500,39.90000,40.26000,1196200
1487773800,40.27000,41.32000,40.02000,41.26000,1526900
1487860200,37.95000,40.67000,37.00000,38.58000,6727300
1487946600,37.55000,39.98000,37.45000,39.30000,3158300
1488205800,39.35000,39.82000,39.00000,39.13000,1123400
1488292200,38.13000,39.00000,37.59000,37.81000,1487900
1488378600,38.28000,38.33000,37.26000,37.88000,696000
1488465000,37.96000,38.15000,37.11000,37.23000,1394900
1488551400,37.96000,37.96000,36.30000,36.37000,1776900
1488810600,35.96000,36.30300,35.40000,35.80000,1249600
1488897000,35.48000,35.98500,35.36000,35.78000,849400
1488983400,35.87000,36.46000,35.70000,35.92000,911200
1489069800,35.90000,36.20000,35.45000,36.14000,822300
1489156200,36.27000,37.00000,36.04000,36.10000,801000
1489411800,36.39000,37.51000,36.30000,37.25000,1091600
1489498200,37.75000,37.78000,36.59000,37.01000,497700
1489584600,37.35000,37.92000,36.05000,37.74000,883500
1489671000,37.85000,38.85000,37.76000,38.74000,822500
1489757400,38.85000,38.97000,38.11000,38.81000,936700
1490016600,38.99000,39.85000,38.97000,39.69000,1081500
1490103000,39.22000,39.38000,38.08000,38.58000,676800
1490189400,38.38000,39.07000,37.90000,38.73000,695500
