time,open,high,low,close,tick_volume
1472477400,41.52000,41.86000,41.52000,41.70000,2026100
1472563800,41.69000,41.91000,41.16000,41.19000,2684400
1472650200,41.24000,41.38000,41.07000,41.36000,2706900
1472736600,41.33000,41.47000,41.11000,41.27000,2721400
1472823000,41.32000,41.83000,41.21000,41.71000,2625200
1473168600,41.99000,42.32000,41.77000,42.20000,2576600
1473255000,42.19000,42.46000,41.84000,42.38000,3510300
1473341400,42.27000,42.61000,42.14000,42.37000,2908200
1473427800,42.02000,42.02000,40.77000,40.78000,4166600
1473687000,40.80000,41.53000,40.80000,41.42000,3603500
1473773400,41.20000,41.20000,40.34000,40.60000,3460000
1473859800,40.74000,41.16000,40.56000,40.76000,2606500
1473946200,40.63000,40.95000,40.56000,40.86000,2932000
1474032600,40.67000,41.25000,40.57000,41.20000,3577800
1474291800,41.39000,41.78000,41.23000,41.68000,3766000
1474378200,41.84000,41.97000,41.50000,41.52000,3090200
1474464600,41.53000,42.61000,41.52000,42.55000,3526100
1474551000,42.75000,42.94000,42.51000,42.90000,2822100
1474637400,42.78000,43.24000,42.61000,43.07000,4346600
1474896600,43.01000,43.23000,42.85000,43.10000,4269500
1474983000,43.21000,43.49000,42.28000,42.37000,3301700
1475069400,42.48000,42.50000,41.86000,42.25000,2453400
1475155800,42.08000,42.14000,41.47000,41.81000,4214800
1475242200,41.98000,42.14000,40.92000,41.14000,4039100
1475501400,41.05000,41.14000,40.30000,40.58000,3110700
1475587800,40.57000,40.57000,39.31000,39.59000,4653000
1475674200,39.74000,40.22000,39.39000,39.51000,3977600
1475760600,39.30000,39.72000,39.08000,39.62000,3740600
1475847000,39.82000,40.26000,39.49000,39.61000,4627300
1476106200,39.68000,39.91000,39.56000,39.89000,1952500
1476192600,39.82000,39.89000,39.32000,39.45000,3965000
1476279000,39.50000,39.91000,39.50000,39.72000,3236200
1476365400,39.76000,40.62000,39.72000,40.34000,4197000
1476451800,40.14000,40.53000,40.00000,40.05000,2539300
1476711000,40.25000,40.46000,40.14000,40.34000,2809000
1476797400,40.60000,40.83000,40.05000,40.54000,2721300
1476883800,40.54000,40.55000,40.13000,40.32000,2500700
1476970200,40.39000,40.65000,40.20000,40.39000,2771400
1477056600,40.19000,40.29000,39.75000,39.95000,2367800
1477315800,40.14000,40.28000,39.87000,40.20000,1740200
1477402200,40.08000,40.52000,40.03000,40.48000,2790700
1477488600,40.44000,40.71000,40.22000,40.60000,2583700
1477575000,40.33000,40.71000,40.14000,40.44000,2414800
1477661400,40.51000,40.81000,40.36000,40.68000,2775500
1477920600,40.81000,41.80000,40.77000,41.55000,2874200
1478007000,41.57000,41.60000,40.72000,40.86000,2679900
1478093400,40.71000,40.75000,40.12000,40.46000,4096900
1478179800,40.35000,40.79000,40.22000,40.62000,2299900
1478266200,40.78000,41.14000,40.34000,40.36000,2344700
1478529000,40.59000,41.16000,40.13000,41.15000,1938900
1478615400,41.22000,41.75000,41.21000,41.52000,2555000
1478701800,40.93000,40.93000,39.50000,39.58000,6679400
1478788200,39.42000,39.42000,38.00000,38.68000,8051100
1478874600,38.64000,39.36000,38.64000,38.84000,3142700
1479133800,38.56000,38.66000,38.20000,38.51000,5151400
1479220200,38.69000,39.46000,38.69000,39.25000,3436000
1479306600,39.24000,39.51000,38.75000,39.01000,2037100
1479393000,38.85000,39.21000,38.74000,39.00000,2358500
1479479400,38.96000,39.20000,38.69000,38.87000,2279500
1479738600,38.93000,39.36000,38.88000,39.34000,2453500
1479825000,39.35000,39.59000,39.08000,39.29000,3967200
1479911400,38.87000,39.32000,38.70000,38.77000,2613500
1480084200,38.95000,39.61000,38.95000,39.52000,1282600
1480343400,39.65000,40.39000,39.64000,40.32000,2311600
