time,open,high,low,close,tick_volume
1472477400,25.63900,25.74440,25.48090,25.53360,1462783
1472563800,25.53360,25.87615,25.50725,25.84980,2263528
1472650200,25.79710,25.98156,25.69170,25.95520,2804695
1472736600,26.03426,26.11331,25.61265,26.00790,2671642
1472823000,26.08696,26.11331,25.90250,26.06061,2277645
1473168600,26.00790,26.06061,25.48090,25.82345,2163492
1473255000,25.77075,26.03426,25.71805,26.03426,2391305
1473341400,25.95520,26.11331,25.84980,26.08696,3174100
1473427800,25.90250,25.98156,25.27009,25.27009,3152544
1473687000,25.05929,25.90250,24.92754,25.84980,3061275
1473773400,25.84980,26.08696,25.63900,25.79710,3792533
1473859800,25.79710,25.87615,25.34914,25.63900,3188976
1473946200,25.61265,25.90250,25.50725,25.84980,3462824
1474032600,25.74440,25.82345,25.40185,25.82345,9356762
1474291800,25.98156,26.19236,25.90250,25.95520,3253302
1474378200,26.16601,26.16601,25.84980,25.84980,1776781
1474464600,26.03426,26.27141,25.95520,26.19236,2367245
1474551000,26.24506,26.40316,26.21871,26.37681,1983419
1474637400,26.32411,26.40316,26.13966,26.13966,1512801
1474896600,26.06061,26.42951,25.95520,26.29776,3748511
1474983000,26.13966,26.48221,26.13966,26.42951,3949343
1475069400,26.32411,26.58761,26.27141,26.56127,3021655
1475155800,26.58761,27.16732,26.42951,26.82477,5037255
1475242200,26.82477,26.87747,26.40316,26.69302,2913573
1475501400,26.82477,26.82477,26.50856,26.66667,2124669
1475587800,26.66667,26.66667,25.84980,25.92885,2327587
1475674200,26.06061,26.42951,26.03426,26.27141,1648131
1475760600,26.24506,26.45586,26.19236,26.37681,2093929
1475847000,26.42951,26.53491,26.08696,26.08696,1956209
1476106200,26.19236,26.37681,26.16601,26.24506,1808280
1476192600,26.19236,26.24506,25.53360,25.71805,2881468
1476279000,25.71805,25.90250,25.48090,25.82345,2049945
1476365400,25.63900,25.66535,25.08564,25.16469,3241689
1476451800,25.29644,25.58630,25.24374,25.42820,2256128
1476711000,25.45454,25.58630,25.21739,25.21739,1880460
1476797400,25.48090,25.69170,25.42820,25.58630,1705966
1476883800,25.61265,25.79710,25.55995,25.58630,1474889
1476970200,25.58630,25.63900,25.27009,25.34914,1660844
1477056600,25.24374,25.24374,24.95389,25.03294,2021141
