time,open,high,low,close,tick_volume
1601472600,9.75000,10.99000,6.98000,7.00000,13234100
1601559000,7.21000,7.34000,6.26000,6.92000,2438800
1601645400,6.45000,6.84000,6.40000,6.70000,1169200
1601904600,6.70000,6.70000,6.27000,6.60000,1039000
1601991000,6.62000,7.49000,6.60000,7.41000,1866200
1602077400,7.60000,8.48000,7.60000,8.08000,2542100
1602163800,8.30000,9.43000,8.08000,9.00000,2189700
1602250200,9.30000,9.33000,8.15000,8.60000,2059400
1602509400,8.71000,9.06000,8.51000,8.51000,549200
1602595800,8.51000,8.60000,8.15000,8.35000,431500
1602682200,8.28000,8.50000,7.50000,7.76000,992400
1602768600,7.75000,8.99000,7.57800,8.96000,1498500
1602855000,9.00000,9.05000,8.58000,8.91000,1582700
1603114200,8.91000,9.20000,8.33000,8.48000,829400
1603200600,8.45000,8.79000,8.12000,8.48000,514800
1603287000,8.44000,8.70000,8.05000,8.22000,288100
1603373400,8.12000,8.31000,7.88000,8.14000,202300
1603459800,8.16000,9.01000,8.16000,8.99000,970100
1603719000,8.39000,8.69800,8.12000,8.15000,560200
1603805400,8.28000,8.53000,8.25000,8.52000,225100
1603891800,8.20000,8.50000,8.14000,8.22000,508600
1603978200,8.22000,9.00000,8.22000,8.80000,698500
1604064600,8.55000,8.85000,8.27000,8.41000,240600
1604327400,8.67000,9.68000,8.52000,8.65000,1533800
1604413800,8.76000,9.08000,8.65000,8.84000,528400
1604500200,9.00000,9.50000,8.31000,8.52000,2401300
1604586600,8.64000,9.15000,8.62000,8.94000,536700
1604673000,8.94000,10.35000,8.82000,10.29000,2024500
1604932200,11.09000,11.88000,10.29000,11.53000,2402600
1605018600,9.82000,10.46000,9.08000,9.51000,2076000
1605105000,10.05000,10.08000,9.12000,9.21000,1039100
1605191400,9.21000,9.36000,8.68000,9.03000,1723900
1605277800,9.03000,9.03000,8.60000,9.00000,767800
1605537000,9.00000,9.30000,8.50000,8.66000,979800
1605623400,8.73000,9.60000,8.68000,9.56000,1353100
1605709800,9.30000,9.96000,9.01000,9.02000,1279100
1605796200,9.20000,9.59000,9.08000,9.22000,531300
1605882600,9.23000,9.77200,9.15000,9.60000,910900
1606141800,9.82000,10.80000,9.70000,10.65000,2176500
1606228200,10.67000,11.58000,10.46000,10.88000,2195800
1606314600,10.70000,11.04000,10.05000,10.50000,1096100
1606487400,10.65000,11.09000,10.55000,10.81000,654500
1606746600,11.00000,15.65500,10.48000,15.41000,6590600
1606833000,15.40000,15.58500,13.02000,13.35000,5007500
1606919400,13.50000,13.78000,12.61000,13.48000,1839600
1607005800,13.79000,15.00000,13.75000,14.58000,2393300
1607092200,14.78000,18.03000,14.58000,17.14000,5350800
1607351400,18.45000,18.51000,16.22000,16.98000,2794600
1607437800,17.13000,19.87000,17.03000,19.87000,3276800
1607524200,19.49000,23.18000,17.51000,18.68000,6355800
1607610600,19.07000,20.60000,18.70000,20.15000,2196800
1607697000,20.15000,22.26000,19.48000,19.99000,3132600
1607956200,20.24000,20.24000,17.83000,18.67000,2315900
1608042600,18.07000,18.39800,15.84000,16.15000,3084900
1608129000,16.71000,17.50000,16.35000,16.98000,1868200
1608215400,16.98000,17.23000,15.72000,15.81000,1713700
1608301800,15.97000,18.85000,15.89000,17.90000,3375900
1608561000,17.42000,19.50000,16.86000,17.90000,3003800
1608647400,18.41000,20.70000,18.00000,18.15000,2714500
1608733800,19.08000,19.34000,16.86000,17.48000,2911900
1608820200,17.49000,17.83000,16.26000,17.01000,1341600
1609165800,17.30000,17.30000,15.01000,16.50000,2475000
1609252200,16.72000,16.72000,15.20000,16.12000,1459900
1609338600,16.51000,16.51000,15.10000,15.25000,1859800
1609425000,15.36000,15.47000,13.85000,14.33000,2019600
1609770600,14.14000,15.97900,14.01000,15.20000,1629400
1609857000,15.30000,15.59000,14.73000,15.54000,891000
1609943400,15.43000,15.43000,14.14800,14.38000,2136800
1610029800,14.60000,15.75000,14.21000,15.50000,1479200
1610116200,15.49000,15.65000,14.73000,15.19000,1086300
1610375400,15.20000,18.60000,14.68000,17.71000,4625600
1610461800,17.97000,18.19000,16.06000,17.79000,2717400
1610548200,17.79000,19.47000,17.79000,18.10000,2290500
1610634600,18.50000,18.58000,17.11000,17.34000,1213700
1610721000,17.81000,18.10000,16.20000,16.36000,2028300
1611066600,16.77000,17.85000,16.02000,17.02000,1775600
1611153000,17.78000,19.00000,17.17000,18.57000,2623200
1611239400,18.73000,19.64000,17.85000,18.01000,2108800
1611325800,18.10000,18.95000,17.68000,18.60000,1644000
1611585000,19.65000,24.78000,19.45000,24.64000,6814600
1611671400,24.63000,27.47000,21.80000,25.88000,6304300
1611757800,24.20000,26.32000,22.51000,23.16000,2612200
1611844200,24.28000,25.60000,21.02000,24.72000,3755000
1611930600,23.76000,28.40000,23.75000,25.49000,3769000
1612189800,26.17000,29.18000,25.15000,28.78000,2850500
1612276200,30.00000,31.00000,28.01000,29.38000,2282200
1612362600,30.00000,31.88000,28.75000,28.98000,2149200
1612449000,30.76000,31.86000,28.20000,29.79000,1777100
1612535400,30.00000,35.40000,29.98400,35.28000,2727500
1612794600,37.35000,37.35000,34.11000,35.60000,2087700
1612881000,34.60000,36.65600,32.51000,34.20000,2228600
1612967400,34.90000,36.60000,31.20000,32.03000,2179500
1613053800,33.45000,41.35000,33.00000,40.62000,3773800
1613140200,38.01000,40.81000,37.17000,39.20000,1536900
1613485800,39.50000,39.60000,35.35000,37.14000,2030000
1613572200,36.00000,36.21500,33.00000,33.85000,2001100
1613658600,32.20000,32.39000,26.10000,27.26000,5046800
1613745000,29.10000,31.97000,28.21000,28.47000,2691000
1614004200,26.80000,27.71000,25.25000,25.89000,2585800
1614090600,23.56000,26.55000,21.00000,26.39000,3353000
1614177000,25.57000,27.74000,24.20000,25.50000,2204400
1614263400,26.32000,26.65000,22.02000,22.75000,2600900
1614349800,22.26000,23.12000,20.68000,21.71000,3029400
1614609000,23.11000,25.94000,22.61600,25.75000,3194200
1614695400,25.33000,27.75000,23.50000,23.73000,2995000
1614781800,24.60000,25.00000,22.15000,22.50000,1694400
1614868200,21.09000,22.37700,19.40000,20.52000,2567900
1614954600,21.33000,21.35000,17.56400,19.63000,2364200
1615213800,19.31000,19.84000,17.70000,17.94000,1596800
1615300200,18.50000,20.18000,18.30000,19.55000,2599200
1615386600,20.65000,21.37000,19.47200,19.76000,2231700
1615473000,21.29000,23.45000,20.87400,23.29000,3637900
1615559400,22.03000,24.68000,21.52000,23.91000,3276300
1615815000,27.50000,27.58000,22.83000,23.55000,7169500
1615901400,24.08000,28.50000,23.75000,27.15000,5621300
1615987800,25.77000,29.48000,25.18000,28.20000,4114200
1616074200,27.35000,28.00000,25.53000,25.95000,2119400
1616160600,25.74000,28.95000,25.20000,27.79000,3179700
1616419800,28.31000,28.83000,25.36000,26.49000,3356500
1616506200,26.35000,26.45800,22.25000,23.13000,3993200
1616592600,23.89000,23.90000,20.00000,20.32000,3101300
1616679000,19.96000,22.20000,19.40000,21.25000,2130100
1616765400,22.90000,23.25700,20.23000,20.94000,2672600
1617024600,21.50000,23.10000,21.14000,21.99000,1941300
1617111000,22.13000,24.39000,21.71000,24.25000,1564300
1617197400,24.72000,26.22800,24.44000,25.01000,1651400
1617283800,26.00000,27.10000,25.33000,26.52000,1526700
1617629400,27.00000,27.00000,24.25000,25.33000,2338800
1617715800,24.56000,25.70000,24.13000,24.91000,1115700
1617802200,24.32000,25.48000,23.57900,23.86000,1217100
1617888600,24.12000,24.97000,23.88000,24.50000,826600
1617975000,23.91000,24.48000,22.38000,22.85000,1185800
1618234200,22.98000,23.70000,22.77000,23.05000,868700
1618320600,23.10000,23.65000,22.71000,23.19000,683000
1618407000,23.65000,25.08000,22.96000,23.52000,1873100
1618493400,23.52000,24.18000,21.46100,21.99000,1291300
1618579800,22.07000,23.19000,21.19000,22.84000,1085500
1618839000,22.75000,23.89000,22.41000,23.13000,914700
1618925400,23.00000,23.00000,21.32000,22.50000,1175100
1619011800,21.93000,23.55000,21.57000,23.02000,876800
1619098200,23.58000,24.72000,22.10000,22.67000,1798000
1619184600,22.92000,25.00000,22.82000,24.56000,1908600
1619443800,24.91000,25.75000,24.31000,25.34000,2542500
1619530200,25.97000,26.00000,23.40000,24.36000,2323000
1619616600,23.90000,24.28000,22.56200,22.61000,2005900
1619703000,23.00000,23.25500,20.40000,20.66000,3024800
1619789400,20.50000,21.95000,20.50000,21.80000,1171800
1620048600,21.71000,22.58000,21.34000,21.57000,712700
1620135000,21.26000,21.39000,19.93000,21.18000,916900
1620221400,21.23000,21.49000,20.03000,20.37000,697800
1620307800,20.41000,20.41000,19.00000,20.07000,1262400
1620394200,20.50000,20.99000,20.21000,20.49000,824900
1620653400,19.98000,20.10000,18.52000,19.55000,1686400
1620739800,19.06000,20.38000,18.82000,19.90000,1732200
1620826200,20.10000,22.10000,19.92000,20.59000,2356900
1620912600,20.64000,20.99000,18.28000,18.64000,2060000
1620999000,19.21000,20.42000,18.83000,20.13000,1262500
1621258200,19.94000,20.08000,18.10000,18.36000,2606400
1621344600,18.49000,19.35100,18.00000,18.32000,1859900
1621431000,17.60000,18.36000,16.73000,17.01000,4848000
1621517400,16.89000,17.18000,15.33000,15.96000,4690100
1621603800,17.57000,19.50000,16.53000,16.90000,9496100
1621863000,17.21000,17.21000,15.44000,15.50000,3486100
1621949400,15.64000,16.15000,14.85000,14.85000,2370800
1622035800,15.05000,16.28000,14.61000,16.05000,2844400
1622122200,15.96000,16.88000,15.70000,15.94000,1346900
1622208600,16.01000,16.37500,15.51000,15.57000,1059000
1622554200,16.02000,18.62000,16.02000,17.88000,3183500
1622640600,18.09000,19.05000,17.15000,18.33000,2488000
