time,open,high,low,close,tick_volume
1472477400,70.45000,71.61000,70.05000,71.19000,247300
1472563800,70.72000,71.42000,70.24000,70.87000,389100
1472650200,70.48000,70.52000,69.49000,69.96000,465100
1472736600,69.71000,70.66000,68.44000,69.29000,695000
1472823000,69.62000,69.93000,68.89000,69.63000,676000
1473168600,69.56000,70.23000,68.99000,69.23000,378300
1473255000,68.71000,69.55000,68.35000,68.95000,564800
1473341400,68.98000,69.04000,67.98000,68.19000,455700
1473427800,67.95000,68.35000,65.83000,66.12000,503100
1473687000,65.46000,67.27000,65.46000,66.88000,596200
1473773400,66.56000,67.03000,65.82000,66.18000,367800
1473859800,66.30000,66.36000,64.87000,65.12000,430400
1473946200,65.13000,67.43000,64.62000,67.14000,325000
1474032600,66.72000,67.39000,66.40000,67.26000,412500
1474291800,67.35000,69.51000,66.72000,68.77000,482100
1474378200,69.14000,69.14000,68.11000,68.56000,295100
1474464600,68.70000,70.57000,68.70000,70.44000,317700
1474551000,71.00000,71.42000,70.41000,71.06000,335400
1474637400,70.60000,71.09000,68.89000,69.00000,239600
1474896600,68.84000,69.23000,68.27000,68.57000,259500
1474983000,68.43000,69.55000,68.36000,68.95000,190600
1475069400,69.28000,70.30000,69.19000,69.84000,318000
1475155800,69.62000,69.89000,68.67000,69.04000,233500
1475242200,69.18000,69.83000,68.78000,69.61000,394900
1475501400,69.14000,70.53000,69.07000,69.92000,334300
1475587800,69.93000,70.61000,69.34000,69.41000,257600
1475674200,69.98000,70.95000,68.61000,70.00000,398300
1475760600,69.97000,70.06000,68.88000,69.06000,395400
1475847000,68.90000,69.14000,67.87000,68.72000,287300
1476106200,69.29000,69.93000,68.64000,68.68000,215500
1476192600,68.57000,68.58000,65.86000,66.81000,682900
1476279000,66.73000,67.13000,66.18000,66.57000,436900
1476365400,65.89000,65.89000,63.85000,64.88000,490300
1476451800,65.57000,66.82000,64.41000,65.01000,289400
1476711000,65.13000,65.50000,64.80000,65.28000,188500
1476797400,66.15000,66.15000,64.90000,65.36000,195300
1476883800,65.42000,66.04000,64.94000,65.46000,204900
1476970200,65.12000,66.03000,65.12000,65.27000,297500
1477056600,65.07000,65.31000,64.48000,64.70000,261500
1477315800,64.91000,65.96000,64.91000,65.43000,218700
1477402200,65.45000,65.74000,64.86000,65.07000,237600
1477488600,64.67000,67.38000,64.67000,67.15000,349800
1477575000,67.46000,67.46000,66.17000,66.33000,198600
1477661400,66.50000,67.38000,65.88000,66.27000,230900
1477920600,66.03000,66.99000,65.68000,65.84000,403900
1478007000,65.70000,66.63000,65.03000,66.58000,486800
1478093400,66.24000,66.48000,64.47000,65.45000,595200
1478179800,65.46000,66.06000,63.87000,64.08000,453400
1478266200,64.29000,64.44000,62.91000,62.97000,497400
1478529000,64.04000,65.29000,63.80000,64.69000,532700
1478615400,64.71000,65.27000,63.81000,64.81000,394500
1478701800,63.97000,67.64000,63.54000,67.15000,370200
1478788200,67.84000,69.68000,67.55000,68.18000,952900
1478874600,67.96000,68.20000,66.46000,66.88000,787000
1479133800,67.18000,67.18000,65.69000,66.81000,686600
1479220200,67.92000,76.61000,67.28000,75.46000,3211300
1479306600,75.40000,75.88000,72.22000,72.95000,1273200
1479393000,72.97000,74.19000,71.55000,73.94000,718200
