time,open,high,low,close,tick_volume
1627430400,38029.55000,40916.09000,37940.05000,39926.65000,303060
1627516800,39923.67000,40636.40000,39239.40000,39714.90000,229431
1627603200,39715.39000,41609.86000,38306.40000,40681.65000,174607
1627776000,41515.70000,42584.13000,41150.21000,41547.50000,31584
1627862400,41250.08000,41303.15000,38658.91000,38822.19000,231626
1627948800,38821.49000,39766.15000,37591.90000,38047.70000,216151
1628035200,38050.00000,39847.91000,37457.77000,39746.65000,197242
1628121600,39746.65000,41388.77000,37280.07000,40876.29000,231593
1628208000,40871.29000,43376.90000,39854.90000,42727.40000,255749
1628380800,43957.50000,45333.30000,43536.10000,45020.98000,52065
1628467200,43868.00000,46486.90000,42785.10000,45466.52000,266545
1628553600,45465.02000,46722.54000,44634.27000,45623.70000,260253
1628640000,45622.65000,46769.62000,45218.90000,46321.90000,227626
1628726400,46321.90000,46384.15000,43766.58000,44475.65000,241876
1628812800,44473.55000,47911.32000,43868.15000,47608.40000,223779
1628985600,46647.11000,47359.31000,45567.50000,45811.87000,39713
1629072000,46751.83000,48060.15000,45651.40000,46066.15000,247655
1629158400,46059.65000,47159.67000,44510.90000,44963.40000,276066
1629244800,44960.40000,45974.78000,44203.29000,44519.15000,299692
1629331200,44519.15000,46876.90000,43928.90000,46587.42000,307504
1629417600,46571.00000,49125.44000,46336.42000,48661.90000,261204
1629590400,49002.46000,49470.17000,48620.50000,48878.25000,45762
1629676800,48380.70000,50512.15000,48251.69000,49504.40000,269241
1629763200,49511.05000,49867.32000,47715.84000,48324.40000,264047
1629849600,48324.40000,49160.40000,47099.91000,48661.07000,261341
1629936000,48662.67000,49353.65000,46287.85000,47006.32000,289478
1630022400,47028.60000,49177.52000,46349.65000,48905.65000,244223
1630195200,48737.92000,49632.89000,47765.50000,48361.33000,27964
1630281600,48923.83000,49415.14000,47384.82000,48628.65000,199772
1630368000,48628.90000,48663.10000,46678.70000,47006.07000,244232
1630454400,46988.35000,49106.04000,46498.40000,48257.90000,206059
1630540800,48257.50000,50379.65000,48235.15000,49558.52000,211341
1630627200,49546.50000,51070.65000,48320.88000,50110.21000,238760
1630800000,50165.17000,50387.68000,49476.50000,50099.50000,26294
1630886400,51693.58000,52215.24000,51001.50000,51931.65000,198971
1630972800,51928.00000,52949.17000,42987.10000,46786.09000,293537
1631059200,46784.89000,47373.27000,44415.15000,46032.47000,300678
1631145600,46032.59000,47390.69000,45508.50000,46222.17000,275448
1631232000,46222.17000,47029.40000,44703.15000,45048.15000,257292
1631318400,45555.95000,45962.50000,45089.70000,45290.05000,16609
1631404800,45290.05000,46173.03000,44724.90000,45994.10000,39080
1631491200,45020.63000,46891.90000,43510.26000,45151.72000,295811
1631577600,45151.87000,46969.15000,44663.65000,46827.39000,257438
1631664000,46826.02000,48447.15000,46377.30000,47924.65000,243768
